abnormality	〈U〉異常,変則 / 〈U〉異常なもの(事件)
absolute pitch	絶対音高(毎秒の震動数によって表す音の高さ) / 絶対音感(音高を聞き分け,歌い分ける能力)
absolute temperature	《the ~》絶対温度(Kで表す)
absolute value	絶対値
absolute zero	絶対零度(絶対温度の0K=‐273.15℃)
absolutely	『絶対的に』,完全に / 無条件に,断然 / 《話》(返事や合いの手として)そのとおり,まったく
absolution	(特に宗教で罪を告白して与えられる正式の)免罪 / (罰金・責任などの)免除《+『from』+『名』+(do『ing』)》
absolutism	専制政治
absolve	(特に宗教で)(…から)〈人〉を赦免する《+『名』〈人〉+『of』+『名』》 / (罰金・責任などから)〈人〉を免除する《+『名』〈人〉+『from』+『名』(do『ing』)》
absorb	〈液体〉を『吸収する』,吸い込む / 〈光・音・熱・エネルギーなど〉を吸収する / 〈思想など〉を取り入れる / 〈国・町・村など〉を併合する;(…に)…を併合する《+『名』+『into』+『名』》 / 〈心・注意・時間〉を『すっかり奪う』
absorbedly	夢中になって
absorbent	吸収性の,吸収する
absorbing	吸収する / 心を奪う,夢中にさせる
absorption	吸収,併合 / (…に)夢中になること,専心すること《+『in』+『名』》
abstain	(…を)控える,慎む《+『from』+『名』(do『ing』)》 / 棄権する
abstainer	節制する人,(特に)禁酒する人
abstemious	(飲食物・享楽を)慎む,節制する;(食事が)節約した
abstention	(…を)節制すること,控えること《+『from』+『名』(do『ing』)》 / (投票の)棄権
abstinence	(特に宗教的な理由による)(飲食の)禁欲,節制《+『from』+『名』(do『ing』)》
abstinent	節酒する;禁欲的な
abstr.	abstract
abstract	『抽象的な』 / 理論的な,観念的な / (美術において)抽象派の / 〈U〉抽象 / 〈C〉抜粋,摘要(summary) / 〈C〉抽象美術作品 / (いくつかのものから)〈ある概念〉を抽象する,抽出する《+『名』+『from』+『名』》 / 〈本・スピーチなど〉を要約する(summarize),抜粋する / (…から)〈金属など〉を抽出する,分離する《+『名』+『from』+『名』》
abstract expressionism	(絵画の)抽象表現主義
abstract noun	抽象名詞
abstracted	抽出された / ぼんやりした
abstraction	〈U〉抽象[作用] / 〈C〉抽象的概念 / 〈U〉(化学的な)抽出[作用] / 〈U〉放心[状態] / 〈C〉抽象美術の作品
abstruse	(教義・論理など)難解な,深遠な
absurd	『道理に合わない』(unreasonable);ばかばかしい(foolish)
absurdity	不合理,ばかばかしさ;〈C〉《しばしば複数形で》ばかげたこと
abt.	about
abundance	(あり余るほど)『たくさん』,『豊富』;《an~》たくさん(の…)《+『of』+『名』》
abundant	『豊富な』,十分な
abundantly	豊富に,たっぷり
abuse	〈U〉〈C〉(自分の,あるいは人の権利などの)『乱用』,悪用《+『of』+『名』》 / 〈C〉《しばしば複数形で》悪習,悪弊 / 〈U〉『悪口』,悪態,ののしり / 〈地位・権力など〉を『乱用する』,悪用する / …を『虐待する』(maltreat),酷使する / …を『ののしる』,の悪口をいう
abusive	悪用された,乱用の / 虐待する / ののしる,口ぎたない
abut	(…に)接する,隣接する《+『on』(『upon』,『onto』)+『名』》 / (他の建物に)よりかかる《+『against』+『名』》
abutment	迫持(せりもち)受け(建物の弓形門(arch)の両端を受ける部分)
abuttal	土地の境界線,隣接部 / 境界記述
abysmal	底知らずの / 《話》とても悪い
abyss	底知れぬほど深いもの,奈落
abyssal	深淵(えん)の;深海の
