antimagnetic	抗磁力性の;(時計などが)耐磁性の
antonym	反意語(hotに対するcoldなど)
antrum	骨の空洞,(特に)上あご骨の空洞
anus	肛門(こうもん)
anvil	(かじ屋が使う)金敷き,金床 / (耳の)きぬた骨
anxiety	〈U〉(…についての)『心配』,不安,気がかり《+『about(for)』+『名』》 / 〈C〉心配事,心配の種 / 〈U〉《話》『切望』,熱望;〈C〉切望する事(物)
anxious	(物事が)『気になる』,不安な / 《話》《補語にのみ用いて》『切望して』,熱望して
anxiously	心配して,不安気に
any	《疑問文・条件節で》『いくらかの』,何か,だれか;《否定文で》『少しも』,何も,だれも / 《肯定文で,単数名詞につけて》『どんな…でも』 / 《否定文で》『少し[も],だれも』;《疑問文・条件節で》(…の)『どれか』,いくらか,だれか《+『of』+『名』》 / 《肯定文で》『どれでも,だれでも』,少しでも;(…の)どれでも,だれでも《+『of』+『名』》 / 《比較級とともに用いて》『少しでも』,いくらかでも / 《米》《動詞を修飾して》少しは,少しでも
any road	=anyway
anybody	《疑問文・条件節で》『だれか』;《否定文で》『だれも』 / 《肯定文で》『だれでも』 / 《否定文・疑問文・条件節で》偉い人,ひとかどの人間 / 《肯定文で複数に用いて》つまらない人,普通の人
anyhow	《否定文で》『どうしても』,なんとしても(by any means) / 《接続詞的に》いずれにせよ,とにかく(in any case) / どうにかこうにか
anyone	=anybody
anyplace	=anywhere
anything	《疑問文・条件節で》『何か』;《否定文で》『何も』,どんなことも / 《肯定文で》『なんでも』,どんなものでも
anytime	いつでも(at any time) / きまって,常に
anyway	=anyhow
anywhere	《疑問文・条件節で》『どこかへ』(『に』),《否定文で》『どこへも』(『にも』) / 《肯定文で》『どこにでも』,どこへでも / (数量が)(…から…まで)ぐらい,(ざっと…)ぐらい
anywise	どうしても,なんとしても
aorta	大動脈
aoudad	アフリカ北部産の野生の羊
apace	速く(swiftly)
apanage	=appanage
apart	(時間的・空間的に)『離れて』,隔って;(…から)離れて《+『from』+『名』》 / 区別して;(…と)別々に《+『from』+『名』》 / ばらばらに
apartheid	(特に南アフリカにおける)人種隔離政策
apartment	《米》『アパート』,(共同住宅内の)1家族分の[数]部屋 / 《複数形で》《英》(通例家具つきで貸す)一組の部屋 / 〈C〉部屋(room)
apartment complex	アパートの集合住宅
apartment house	《米》アパート,共同[貸し]住宅
apathetic	無感動な;無関心の,冷淡な(indifferent)
apathy	(…に対する)無感動,冷淡(indifference)《+『to』(『toward』)+『名』》
apatite	リン灰石(リン酸肥料の製造に用いる)
ape	サル(monkey);(特に,チンパンジー・ゴリラなどの)尾なしザル,類人猿 / 人まねをする人 / …のまねをする,をまねる(mimic)
ape-man	〈C〉猿人(えんじん)(猿人類と人間との中間の霊長類)
apeak	(いかり・オールなど)ほぼ垂直な / ほぼ垂直に[立てて]
apercu,aperçu	一べつ / 洞察 / 概要
aperient	《現在まれ》[緩]下剤 / 通じをつける,緩下作用のある
aperitif,apéritif	食前酒,アペリチフ(食欲増進のため食前に飲むベルモットやシェリー酒など)
aperture	すき間,穴 / (カメラの)しぼり穴
apex	頂上,頂点 / 《文》最高潮,絶頂
aphasia	失語症
aphasic	失語症患者 / 失語症の,失語症にかかっている
aphelion	遠日点(月・遊星が太陽から最も離れる点)
aphid	アブラムシ(草木の害虫)(plant louse)
aphis	=aphid
aphorism	アフォリズム,警句,格言(maxim)
aphoristic	警句のような;警句に富んだ / 警句(金言,格言)をしきりに引用したがる
aphotic	(深海底のように)光のない,暗やみの
aphrodisiac	催淫(さいいん)剤,媚薬(びやく) / 性欲を起こさせる,催淫の
apiarist	養蜂(ようほう)家
apiary	ミツバチ飼養場
apical	頂点の,頂点(頂上)をなす / 舌先で調音する / 舌尖(ぜっせん)音(舌先で調音する[t][d][l]など)
apices	apexの複数形
apiculture	養蜂(ようほう)
apiece	ひとりにつき,1個につき;各自に,めいめいに
apish	(特に行動が)サルのような,馬鹿なことをする
