aplenty	たっぷりした数(量)の / どっさり,たっぷり
app.	apparatus / appendix / apprentice
appal	=appall
appall,appal	《しばしば受動態で》…をぞっとさせる,の肝をつぶす
appalling	ぞっとするような,恐ろしい / 《話》ひどい
appanage	《文》(生まれ・身分・地位に付随する)財産,特権,役得 / 《文》特性,属性 / 《古》(王子・王女に与えられる)領地,扶持(ふち)
apparat	旧ソ連の政治機構
apparatus	〈U〉〈C〉(一式の)『器具』;装置 / 《集合的に》(ある機能を営む一系統の身体の)器官 / 〈U〉〈C〉(ある目的のための)道具立て
apparel	衣服,服装 / 〈人〉に服を着せる,衣装をまとわせる
apparent	『明白な』,はっきりした / 『外見上の』,見かけの,うわべの
apparently	『明らかに』(obviously) / 『見かけは』,見たところは(…らしい)
apparition	幽霊,亡霊(ghost) / (突然現れる)不思議なもの,思いがけないもの
appeal	『訴える』,呼びかける / (上級裁判機関に)『控訴する』,上告する《+『to』+『名』》 / 〈物事が〉(人の)気持に訴える《+『to』+『名』》 / (ゲームで)(審判に)規則の裁定を求める《+『to』+『名』》 / (助力などの)『訴え』;哀願《+『for』+『名』》 / (権威などへの)訴え《+『to』+『名』》 / 控訴,上告 / (…に)訴える魅力《+『to』+『名』》
appealing	心を動かす,魅力的な
appear	『姿を現す』,出現する / 〈本・記事などが〉公になる,出版される / (劇などに)出演する;(法廷などに)出廷する,出頭する / (…のように)『見える』,『思われる』
appearance	〈C〉『現れること』,出現;出演,出廷;出版,発刊 / 〈U〉〈C〉『外観』,見かけ,風さい(outward look) / 《複数形で》形勢
appease	(特に相手の要求に応じて)〈人・怒りなど〉を静める,なだめる,和らげる / 〈欲望など〉を満たす
appeasement	〈U〉鎮静;(欲望などの)満足 / 〈C〉外交上の融和政策
appellant	上訴人,控訴人
appellate	上訴の
appellation	《文》名称,称号(title)
appellee	被上訴(控訴)人
append	(…に)〈付録・署名など〉を添える,つけ加える《+『名』+『to』+『名』》
appendage	付加物,付属物 / (生物の)付属器官(手・足など)
appendectomy	虫垂切除[手術]
appendices	appendixの複数形
appendicitis	虫垂炎
appendix	(本・論文などの)付録,補遺,追加 / 虫様突起
appertain	(…に)属する,関連する《+『to』+『名』》
appetency	強い欲望 / 本能的(先天的)傾向
appetite	『食欲』 / (…に対する)『欲求』,切望(desire)《+『for』+『名』》
appetizer	食欲を促す食物(飲物);前菜,食前酒
appetizing	食欲をそそる,うまそうな;欲しくなるような
applaud	『拍手かっさいする』,拍手してほめる / …に『拍手かっさいする』;…を拍手してほめる
applause	『拍手かっさい』;称賛
apple	『リンゴ』;リンゴの木
apple butter	リンゴジャム(リンゴに香料・砂糖を加えて煮つめたジャム)
apple green	澄んだ淡い緑色
apple-pie-order	《話》整然とした状態,秩序整然
apple-polish	(贈物などで)〈人〉のきげんをとる,に取り入る / 人のきげんをとる,へつらう
applecart	リンゴ売りの手押し車
applejack	《米》リンゴブランデー(発酵させたリンゴ酒を蒸溜して作る)
applesauce	リンゴソース(リンゴをつぶして甘く煮たもの)
appliance	(特に家庭で用いる)器具,機械,装置
applicable	適用(応用)できる;(…に)適用できる《+『to』+『名』》
applicant	(…に対する)志願者,応募者《+『for』+『名』》
application	〈U〉(…の…への)『適用』,応用《+『of』+『名』+『to』+『名』》 / 〈U〉〈C〉『申し込み』,志願;〈C〉願書 / 〈U〉(薬などを)塗ること,はること;〈C〉外用薬,化粧品 / 〈U〉(…に)心を傾けること,専心すること《+『to』+『名』》
applicator	(特に)薬を塗る用具(へら,綿棒など)
applied	実用的,応用の
applique	アップリケ,縫いつけ飾り / …にアップリケをする
apply	(…に)…を『適用する』,応用する《+『名』+『to』+『名』(do『ing』)》 / (…に)…を『当てる』,当てがう《+『名』+『to』+『名』》 / (…に)〈心・努力など〉を傾ける,注ぐ《+『名』+『to』+『名』(do『ing』)》 / …を作用させる,動かす / (…に)『適用される』,当てはまる《+『to』+『名』》 / 申し込む,出願する;(…に…を)申し込む《+『to』+『名』+『for』+『名』》
appoint	《文》(…のために)〈日時・場所など〉を『決める』(fix)《+『名』+『for』+『名』》 / 〈人〉を『任命する』
appointed	定められた,決められた;約束の,指定の / 設備された
appointee	任命された人;(法律で)被指定人
appointive	任命(任用)による
appointment	〈C〉(時・場所を決めて会う)(…との)『約束』《+『with』+『名』》 / 〈U〉『任命』;(…を…として)任命すること《+『of』+『名』+『as』+『名』》;〈C〉(任命された)官職,地位 / 《複数形で》(特に家庭の)設備,装備
apportion	…を割り当てる,配分する
apportionment	配分,配当 / 《米》(下院議員数の)各州への割当て
appose	…を並べる,隣りに(近くに)置く
apposite	適切な,ぴったりとした;(…に)適切な《+『to』(『for』)+『名』》
apposition	並置 / (文法で)同格(文中の名詞あるいは語句を,それに相当する他の語句で置き換えたとき,両者は同格である)
appositive	(文法で)同格の / 同格語(句,節)
appraisal	評価;鑑定;(物の)値踏み
appraise	〈財産など〉の価値を決める,を鑑定する / 〈人・物・状況など〉を判断する
appraiser	評価(査定鑑定)人;《米》(税関の)査定官
appreciable	評価できる / 感知されるほどの,かなりの
appreciably	いくぶんか,評価されるほどに
