Q	(チェスの)queen
quadruplicate	…を4倍にする;〈文書など〉を4通作る / (文書などの)4通作成[の1通] / 4倍の;4通作成した
quaff	…をがぶがぶ飲む,痛飲する / がぶ飲みする,痛飲する / がぶ飲み,痛飲
quagga	クワッガ(シマウマに似た動物;南アフリカにいたが現在は絶滅)
quagmire	沼地,湿地 / 苦境,どろ沼
quahog	ホンビノスガイ(殻の厚い食用貝)
quail	ウズラ(キジ科の小鳥) / (危険・困難などを前にして)ひるむ《+『at』(『before』)+『名』》
quaint	『古風で趣のある』 / 風変りでおもしろい(楽しい)
quake	(衝突・地震などで)〈物が〉揺れる,震動する(shake) / (寒気・憎しみ・恐怖などで)〈人が〉震える,身震いする / 揺れ,震動 / 地震(earthquake)
qualification	〈U〉『資格を与えること』,『資格があること』,〈U〉『資格』,能力;《複数形で》『免許状』,資格証明書 / 〈U〉〈C〉制限;条件;修正
qualified	資格のある,適任の / 制限された,条件付きの
qualifier	資格を与える人(物);限定する物 / (文法で)修飾語,限定詞(形容詞,副詞など)
qualify	〈才能・技術などが〉〈人〉に『資格を与える』 / (…で)を緩和する,適度にする《+『名』+『with』+『名』》 / 〈人〉を(…と)称する《+『名』〈人〉+『as』+『名』》 / (文法で)…を修飾する(modify) / 『資格を得る』,検定を取る / (スポーツで)予選を通過する《+『in』+『名』》
qualitative	質の,質的な
quality	〈C〉(人・物の)『特質』,『特性』《+of+名》 / 〈U〉(…の)『本質』(nature)《+『of』+『名』》 / 〈U〉『質』,品質 / 〈U〉良質(excellence),優秀性(superiority) / 〈U〉高い身分
qualm	(…についての)突然の不安(疑惑)《+『about』+『名』(do『ing』)》 / 《しばしば複数形で》(…についての)良心のかしゃく《+『about』+『名』(do『ing』)》 / (一時的な)めまい,吐き気
quandary	(…についての)当惑,困惑《+『about』(『over』)+『名』(『wh』‐『節』・『句』)》
quanta	quantumの複数形
quantify	…の量を定める,を定量化する
quantitative	量の,量的な
quantity	〈U〉『量』 / 〈C〉(…の)『量』,数,額,高《+『of』+『名』》 / 〈C〉『多量』,多数 / 〈C〉(数学で)量,数量
quantity surveyor	(建築の)積算士
quantum	量子
quantum theory	量子論
quarantine	(伝染病予防のための人・動物・船・積み荷などの)隔離 / 〈U〉隔離(検疫)期間 / 〈C〉隔離所,検疫所;停船港 / 〈U〉(一般に)強制的隔離 / 〈伝染病患者など〉を隔離(検疫)する
quark	クォーク(あらゆる物質の基礎をなす3種の素粒子の一つ)
quarrel	(人との,人々間の)『口げんか』《+『with』(『between』)+『名』〈人〉》,(…のことでの)『言い争い』《+『about』(『over』)+『名』》 / (…に対する)苦情,文句《+『with』(『against』)+『名』(『wh-節・句』)》 / (人と…のことで)『口げんかする』,言い争う,口論する《+『with』+『名』〈人〉+『over』(『about』)+『名』(『wh-節・句』)》 / (…に対して)苦情(不平,文句)を言う《+『with』+『名』》
quarrelsome	議論好きな
quarry	(狩猟の)獲物 / (一般に)追求されるもの,攻撃の的 / 石切り場 / 〈石〉を切り出す
quart	クォート(液量の単位で《米》約0.95リットル,《英》約1.13リットル;乾量の単位で《米》約1.1リットル,《英》約1.13リットル;《略》『qt.』,複数形は『qts.』) / 1クォート容器(ます・びん・つぼなど)
quarter	〈C〉(…の)『4分の1』《+『of』+『名』》 / 〈C〉(時間の)『15分』 / 〈C〉(米国・カナダの)25セント銀貨(4分の1ドルの銀貨) / 〈C〉1年の4分の1,四半期 / 〈C〉弦(月の満ち欠けの周期の4分の1;約7日間) / 〈C〉(フットボール・バスケットボールなどで)クォーター(競技時間の4分の1) / 〈C〉(《米》4学期制の学校の)学期 / 〈C〉(四つ足動物の)四半分(足1本を含む)《+『of』+『名』》 / 〈C〉(羅針盤の示す)方角,方向 / 〈C〉(特に都市のある特定の)地域,地区 / 《複数形で》寝泊まりする場所,宿所;(軍隊の)宿舎;(海軍の)部署 / 〈C〉ある方面の人(団体),その筋 / 〈C〉(特に降服した者に示す)慈悲,助命 / …を4等分する,四つに分ける / 〈軍隊など〉を宿泊(宿営)させる / 4分の1の / (ある量を表す単位の)4分の1の
quarter day	四半期支払日
quarter horse	短距離競走馬 クォーターホース 1/4マイル競争用に改良された馬
quarter light	(車の)脇窓(前横にある外気を入れるための通常三角形の小窓)
quarter note	(音楽の)4分音符(《英》crotcher)
quarter sessions	四季裁判所(年に4回開廷される地方裁判所で民事訴訟や小さな刑事裁判を行う)
quarterback	(フットボールで)クォーターバック(centerとhalfbackの間のポジション)
quarterdeck	後甲板(最後尾マストと船尾の間の間;おもに高級船員用)
quarterfinal	準々決勝
quartering	4分すること;四つ裂き / 宿舎の割当て
quarterly	年4回の,3か月ごとの / 年4回[に],3か月ごとに / 年4回の刊行物,季刊誌
quartermaster	(陸軍の)補給係将校 / (海軍の)補給係下士官
quartermaster general	(米陸軍の)補給局長,主計総監
quarterstaff	六尺棒(昔の英国の武器;両端に鉄の金具がついている)
quartet, quartette	四重唱[曲,団];四重奏[曲,団] / 四つ組み,四つぞろい
quarto	四つ折り判 / 四つ折りの判の本
quartz	石英
quartz crystal	石英結晶(一定の周期で振動するので,電子時計などに用いる)
