quartzite	珪岩(けいがん)(おもに石英から成る粒状の変成岩)
quibble	(問題をはぐらかす)あいまいな言葉遣い,言いのがれ,へりくつ / (…について)あいまいな言葉を使う,言い逃れを言う《+『over(about)』+『名』(a person's do『ing』)》
quibbler	言い逃れる人
quiche	キシュ(フランス料理の一種のパイ料理)
quick	(動作などが)『速い』,急速な,素早い;(人が)敏しょうな,機敏な / (進行・経過などが)『瞬間の』,短時間内の,すぐ終わる / (人,人の頭が)『理解の早い』,りこうな,利発な;(感覚などが)鋭敏な,鋭い / せっかちな,気の短い / 《古》命のある,生きている(living) / (爪の下・傷口などの)最も敏感なところ;(感情の)いちばん痛いところ / 素早く,急いで / 《複合語を作って》「早く(…する)」の意を表す
quick bread	(ふくらし粉などを使ったすぐ焼ける)焼き菓子
quick time	速歩(1分間に120歩以上の軍隊の行進)
quick-change	(俳優などが)早変りする
quick-freeze	〈食料品〉を急速に冷凍する
quick-tempered	短気な,恐りっぽい
quick-witted	気転のきく,機敏な;理解の早い,頭の回転の早い
quicken	…を『速める』,急がせる(hasten)《+『up』+『名,』+『名』+『up』》 / …を『刺激する』 / 《古・文》…をよみがえらせる,生き返らせる,活気づかせる / 『速度が速くなる』《+『up』》 / 《古・文》活気づく,生き返る,生き生きする
quickie	てっとり早く作ったもの,やっつけ仕事,速成品
quicklime	生石灰
quickly	『速く』,すみやかに,機敏に,ただちに
quickness	(動きの)『速さ』,迅速さ,すばやさ,機敏さ;明敏
quicksand	流砂(りゅうしゃ),砂地獄(人・動物がはまり込む危険な砂地)
quickset hedge	(特に)サンザシの生け垣
quicksilver	水銀
quickstep	速歩行進曲 / (社交ダンスの)クイックステップ
quid	1ポンド[の金額] / かみたばこ;その一服
quid pro quo	お返し,埋め合わせ;代用品
quiescence	不動,静止;無活動
quiescent	不動の・静止の(quiet);無活動の(inactive)
quiet	『静かな』,ひっそりした,閑静な / 『音を出さない』(『立てない』),沈黙した(silent) / 『動きのない』,静止した / 『平穏な』,穏やかな,安らかな / (色などが)落ち着いた,じみな / 静かさ,静寂・平穏(tranquility);安静(rest)・平静・〈人・騒ぎなど〉を静める;…をなだめる・静まる;落ち着く《+『down』》
quieten	静かになる《+『down』》,を静かにさせる
quietism	静寂主義(宗教的神秘主義の一種) / 《しばしば軽べつして》無活動,静観主義
quietly	『静かに』 / 『穏やかに』 / じみに
quietness	静けさ・平静;平穏
quietude	静けさ,平穏,落ち着き
quietus	《文》(債務などの)清算,解除 / 死,とどめ
quiff	(男の)前髪,巻き毛
quill	(鳥の翼・尾の部分にある)大羽根;(大羽根の)羽軸 / (また『quill pen』)(羽(大羽根の)羽軸で作った)羽ペン;羽軸で作ったもの / (ヤマアラシ・ハリネズミなどの背の)針
quilt	キルト(鳥の綿毛を入れて刺し子に縫った掛けぶとん) / …を刺し子に縫う / キルトを作る
quilted	(縫い方が)キルトふうの
quilting	キルティング,刺し子に縫うこと / キルティングの材料
quin	=quintuplet・五つ子の一人 / 《複数形で》五つ子 / (特に同種の)5個(5人)一組
quince	マルメロ;その実
quinine	キニーネ;キニーネ剤(マラリアの特効薬)
quinsy	喉頭(こうとう)炎,扁桃腺(へんとうせん)炎
quint	=quintuple 5倍 5倍の量 5倍の 5重の 5つの部分から成る
quintal	キンタル(重量の単位;100kgに相当)
quintessence	(…の)真髄《+『of』+『名』》 / (…の)典型,権化(ごんげ)《+『of』+『名』》
quintessential	本質の,精髄の
quintet,quintette	五重奏(唱);五重奏(唱)曲 / 五重奏(唱)団 / 5人(5組)一組,五つぞろい
quintillion	クィンティリオン(《米》1に0を18,《英》1に0を30つけた数)
quintuple	5倍の,5重の;5部(5人)からなる / 5倍,5倍の量(数) / 5倍になる / …を5倍にする
quintuplet	五つ子の一人 / 《複数形で》五つ子 / (特に同種の)5個(5人)一組
quintuplicate	(文書などの)5通作成[の1通] / 5倍の;5通作成した / …を5倍にする;〈文書など〉を5通作成する
quip	(特に当意即妙な)警句,気のきいた言葉 / しんらつな言葉 / 気のきいたこと(皮肉)を言う
quire	(紙の)1帖(じょう)(24または25枚)
quirk	変な癖,奇癖 / (…の)予期しない急転回,急変《+『of』+『名』》
quirt	編み皮の乗馬むち
quisling	売国奴(ど)[1940年ノルウェーのQuisling少佐がナチスに内通したことから]
quit	…を『やめる』,『中止する』 / 〈職・地位など〉を『断念する』,『捨てる』,放棄する / 《英では古》〈人・土地など〉から去る / やめる,中止する / 辞職(退職)する / (敗北を認めなどして)断念する / 去る;立ちのく / (…を)免れた,(…から)自由な《+『of』+『名』》
quitclaim	(不動産などの)権利放棄 / 〈財産・権利などの要求〉を放棄する
quite	『全く』,完全に / 『かなり』,相当に,ずいぶん / ほんとうに,実際に,真に
quits	 {形}《口語》(貸し借り・義理が)チャラの / おあいこである / (関係・仕事などから)手を引いて / 縁を切って
quittance	債務の免除 / 償い
quitter	(仕事・義務などを)すぐ放棄する人
quiver	(通例小刻みに,またはわずかに)『震える』 / (…の)(通例小刻みの,またはわずかな)震え,震動《+『of』(『in』+『名』》 / えびら,天筒(矢を入れて背や肩に負う))
quixotic,quixotical	ドンキホーテ流の,空想的な,非現実的な
quiz	『小テスト』 / 『クイズ』 / (…について)《人》に質問する,試験する《+『名』《人》+『about』(『no』)+『名』》
quizmaster	《おもに米》クイズ番組の司会者(《英》question master)
quizzical	{形}(表情や態度)いぶかしげな / 不思議そうに見る / からかうような / 茶化すような
