daybreak	夜明け(dawn)
death rate	死亡率
death rattle	死喘鳴(ぜんめい)(死の直前に起こるのど鳴り)
death roll	〈C〉デスロール(致命的な回転攻撃) / 死亡記録 / 死亡者名簿
death row	死刑囚の独房の列
death tax	相続税(《英》death duty)
death toll	(戦争・事故の)死亡者数
death warrant	死刑執行令状 / 期待(希望)を断つもの
death wish	死の願望(無意識あるいは意識的に自己または他人の死を願う気持ち)
death's-head	(死を象徴する)しゃれこうべ[の画像]
deathbed	死の床;臨終
deathblow	致命的打撃 / (…を)終結させるもの《+『to』+『名』》
deathless	不死の,不滅の(immortal)
deathlike	死(死人)のような
deathly	死(死人)のような / 死んだように
deathtrap	危険な場所(老朽建造物,ぼろ船など) / 死のわな(交通事故の起こりやすい場所や逃げ場のない炎上している建物のように非常に危険な場所・環境)
deathwatch	臨終の見取り / (またdeath watch beetle)チャタテムシ(カブト虫の一種)
deb	=debutante
debacle	(軍隊などの)総崩れ(downfall) / 崩壊,瓦解(がかい)
debar	(…から)〈人〉を締め出す,除外する(exclude)《+『名』〈人〉+『from』+『名』》 / (…することを)〈人〉に禁ずる,妨げる(prevent)《+『名』〈人〉+『from』 do『ing』》
debark	=disembark
debarkation	陸揚げ,上陸
debarment	除外;禁止,防止
debase	〈人格・評判など〉を落とす,卑しくする / 〈硬貨の質〉を低下させる
debasement	(品性・貨幣価値などの)低下,悪化,下落
debatable	論争中の / 異論のある,疑わしい
debate	〈C〉〈U〉『討論』(discussion);『論争』(dispute) / 〈C〉(公式の)討論会 / 〈U〉熟考 / …を『討論する』,討議する / …を熟慮する,熟考する(consider) / (…と…について)討論する,討議する《+『with』+『名』+『on』(『upon, about』)+『名』》
debater	論争家・討議者
debauch	〈人〉を堕落させる;〈生活など〉を退廃させる / 放蕩(ほうとう),道楽;らんちき騒ぎ
debauchee	放蕩者,道楽者
debauchery	〈U〉(特に酒色の)放蕩,道楽 / 〈C〉《通例複数形で》らんちき騒ぎ
debenture	社債券
debilitate	〈病気などが〉〈人・体〉を衰弱させる
