denotative	表示的な,指示的な(…を)表示する《+『of』+『名』》 / (論理学で)外延の
depressant	機能低下剤,鎮静剤,抑制剤 / 鎮静効果のある / 意気消沈させる / 物価を抑制する
depressed	元気のない,憂うつな / (力・価値などの)低下した,弱められた / 不景気の,不況の;(特に)貧困にあえぐ / 押し下げられた;抑圧された
depression	〈C〉『くぼ地』,くぼみ / 〈U〉〈C〉『意気消沈』,憂うつ;うつ病 / 〈C〉『不景気』,不況 / 〈U〉押し下げること,降下,低下
depressive	憂うつにさせる,気をめいらす,(精神を)抑圧する
deprivation	〈U〉(特権などの)はく奪 / 〈C〉喪失,損失
deprive	(所有しているものを)〈人〉から『奪う』《+『名』〈人〉+『of』+『名』》
deprived	恵まれない,貧困な / 《名詞的に》《the~》恵まれない人々
dept.	department / deputy
depth	〈U〉〈C〉《通例単数形で》『深さ』;奥行き / 〈U〉(知識・知性などの)『深遠さ』,深さ / 〈U〉(声・音などの調子の)『低さ』;(色の)濃さ / 〈C〉《複数形で》『奥まった場所』,奥地 / 〈C〉深い所,深み / 〈U〉〈C〉《時に複数形で》最中
depth charge	(潜水艦攻撃用の)[水中]爆雷
deputation	〈U〉代理委任 / 〈C〉代表団
depute	〈人〉を代理者(代表者)にする;(…するように)〈人〉を代表にする《+『名』+『to』 do》 / (代理者に)〈権限・任務など〉を委任する《+『名』+『to』+『名』》
deputize,deputise	…を代理に任命する / (…の)代理を務める《+『for』+『名』》
deputy	『代理人』,代表者 / (フランスなどの)代議士 / 《米》郡保安官代理
der.	derivation,derivative,derive
derail	〈電車・列車〉を脱線させる / 脱線する
derailleur	(自転車の)変速装置
derailment	脱線
derange	…を錯乱させる,狂わせる
derangement	精神錯乱,狂気 / 乱すこと,乱れ,混乱
