destiny	『運命』,宿命;使命
develop	(今まではなかったが)…を『生じさせる』,を現す / …を『発展させる』,伸ばす,成長させる / 〈病気・悪習など〉にだんだん感染する,かかりはじめる,を発病させる / 〈資源など〉を『開発する』 / …を十分に考える,〈議論・主題など〉を展開する / 〈フイルム〉を現像する / 〈ないもの・隠れているものが〉『現れる』,明らかになる / (…から…に)『発展する』,発育する《+『from』+『名』+『into』+『名』》 / 〈フイルムが〉現像される
developer	〈C〉開発者,啓発者;宅地開発(造成)業者 / 〈U〉(写真の)現像液
developing	発達中の,(国家・地域が)発展途上の
developing country	発展(開発)途上国
development	〈U〉〈C〉『発達』,発展,発育,成長;『開発』;進化 / 〈U〉(写真の)現像 / 〈C〉発達(発展)の結果できたもの / 〈C〉開発した土地(地区);(特に)住宅団地(housing development) / 〈C〉(最近の)でき事,新事実
developmental	開発の;発達上の;発育上の
deviance	〈U〉(基準から)外れていること,逸脱,離脱 / 〈C〉常軌を逸した行動
deviant	(基準から)外れた,逸脱した,異常な / 常軌を逸した物(人),(特に)性欲倒錯者
deviate	(…から)それる,外れる《+『from』+『名』》
deviation	〈C〉〈U〉(…から)外れること,(…からの)脱線,逸脱《+『from』+『名』》 / 〈C〉偏差;磁針のx
deviator	逸脱する人(物);性欲倒錯者
device	『工夫』,『案』;《しばしば複数形で》策略 / (…の)『考案物』;装置,仕掛け《+『for』+『名』(do『ing』)》 / (紋章などの)図案,意匠 / (文学的効果を上げるための)工夫された表現
devil	『悪魔』,悪鬼;《the D-》魔王(Satan) / (悪魔のような)悪人,人非人;(…の)鬼,(悪徳の)権化(ごんげ)《+『of』+『名』》 / 精力家,腕のたっしゃな人 / やつ(fellow),男 / 《俗》《強意語として》 / 《疑問詞の後で》いったいぜんたい / 《強い否定》ぜったい…でない / (また『printer's devil』)印刷屋の使い走り,または見習いの少年 / 《米話》…をいじめる,悩ませる / …を辛く料理する
devil's advocate	(議論のための議論として)故意に反対の立場をとる人,つむじ曲がり
devil's food cake	デビルズフードケーキ(こってりとしたチョコレートケーキの一種)
devil-may-care	向こう見ずの(reckless);のんきな,むとんじゃくな
deviled	(料理が)辛く味付けした,辛味をきかした
devilfish	=manta2 / タコ
devilish	悪魔のような;残酷な,極悪の / 《話》ひどい,はなはだしい / ばかに,ひどく(extremely)
devilishly	極悪に / 《話》ひどく,はなはだしく
devilishness	悪魔のようであること,極悪非道;はなはだしさ
devilment	(気まぐれな)わるさ,いたずら / 悪魔のような所業
devilry	=deviltry
deviltry	極悪[な行為] / ひどいいたずら
devious	{形}遠回りの / ずる賢い / 回りくどい,曲がりくねった,率直でない
devise	…を『工夫する』,考案する / (遺言で)〈財産〉を残す
devitalize,devitalise	{動}活力を奪う / 弱らせる
devoid	(…が)ない,欠けた《+『of』+『名』》
devoir	〈U〉本分,つとめ / 《複数形で》敬意の表現,あいさつ
devolution	(権利・義務・官職などの)移転,委任,継承 / (生物の)退化
devolve	(…に)〈義務・責任など〉をゆだねる《+『名』+『to』(『on, upon』)+『名』》 / 〈官職・義務・責任・財産などが〉(…に)帰属する,掛かってくる《+『on』(『upon』)+『名』》
