D	deuterium(重水素)の化学記号
Dark Ages	暗黒時代(ローマ滅亡(476年)のころからルネサンスにいたるヨーロッパの中世)
Dark Continent	暗黒大陸(アフリカの旧称)
Darwin	ダーウィン(Charles Robert~;1809‐82;英国の博物学者;主著The Origin of Species「種の起原」)
Darwinism	ダーウィン説,進化論
David	ダビデ(イスラエル王で旧約聖書「詩篇」の作者)
Davy Jones's locker	大洋の底, 船の墓場. =Davy Jones' locker
Davy lamp	デービー灯(炭坑内の安全灯)
Day of Judgment	=Judgment Day
Day of atonement	=Yom Kippur
Dead Sea	死海
Dear John	(女からの)絶縁状
Death Valley	死の谷(米国California州およびNevada州南部の乾燥盆地)
Debussy	ドビュッシー(『Claude ~』;1862‐1918;フランスの作曲家)
Dec.	December
Decalogue,Decalog	=Ten Commandments
December	『12月』(《略》『Dec.』)
Declaration of Independence	(米国の)独立宣言(1776年7月4日)
Decoration Day	=Memorial Day
Defoe	デフォー(Daniel~;1659?‐1731;英国の小説家・ジャーナリスト;Robinson Crusoeの作者)
Del.	Delaware
Delaware	デラウェア州(米国東部の州;《略》『Del.,DE』)
Delhi	デリー(インド北部の連邦政府直轄地;Mogul帝国の旧都)
Delphi	デルフィ,デルポイ(ギリシアの古都;神託で有名なApolloの神殿があった)
Delphic	デルフィ(Delphi)の / (アポロ神殿の神託のように)難解な
Dem.	Democrat, Democratic
Demeter	デメテル(ギリシア神話の農業と豊饒(ほうじょう)の女神)
Democratic Party	民主党
Demosthenes	デモステネス(384?‐322B.C.;古代ギリシアの雄弁家・政治家)
Denmark	デンマーク(北欧の王国;首都はCopenhagen)
Denver	デンバー(米国Colorado州の州都)
Deo gratias	神のおかげで(Thanks to God)
Des Moines	デモイン(米国Iowa州の州都)
Descartes	デカルト(『René ~』;1596‐1650;フランスの哲学者・数学者)
Detroit	デトロイト(米国Michigan州にある自動車製造で有名な工業都市)
Deuteronomy	申命(しんめい)記(旧約聖書第5の書)
Deutschemark, deutschemark	(西ドイツの)マルク,ドイツマルク(《略》『DM;』)
Devonian	(地質時代で)デボン紀の / デボン紀
Dialogue Mass	(ローマカトリック教会の)共唱ミサ
Diana	ダイアナ(ローマ神話の月の女神で狩猟・処女性の守護神;ギリシア神話のアルテミスArtemisに当たる)
