doorjamb	(戸口両側の)側柱(の一方)
double	(数量・強さ・重さ・価値などが)『2倍の』,倍の / 『二重の』,二様の;複の,対の,2人用の / 表裏のある,二心ある / (意味が)二様にとれる,あいまいな / (花が)八重の,重弁の / 『2倍に』,2倍だけ(twice) / 二重に,二様に / 対をなして,二人いっしょに / 〈U〉『2倍』[の数量・価額など] / 〈C〉2倍のもの / 〈C〉よく似た人(物),生き写し / 〈C〉(映画の)代役 / 《複数形》《単数扱い》(テニスなどの)ダブルス / 〈C〉(獲物が追っ手を逃れるときなどの)逆走,急転回 / 〈C〉2塁打 / 〈C〉(ブリッジの点の)倍加 / 〈C〉(競馬・ドッグレースの)重勝式のかけ,複式 / …を『2倍にする』 / …を『二つ折りにする』 / …の2倍の数(量)がある / 〈二役〉をひとりで演ずる / 〈船が〉〈岬〉を回る / 『2倍になる』 / (…の役を)兼ねる《+『as』+『名』》 / (急に)取って返す,逆戻りする《+『back』》 / 二つ折りになる / (ブリッジで)相手のせり高を倍加する / 2塁打を打つ
double bass	=contrabass
double bassoon	=contrabassoon
double bluff	裏の裏をかくこと
double boiler	二重なべ,二重がま
double chin	二重あご
double date	ダブルデート(2組4人によるデート)
double entry [bookkeeping]	複式薄記
double feature	(映画の)2本立て
double first	(英国大学で)2科目最優等の学生
double negation	二重否定
double play	ダブルブレー,併殺
double star	複星(肉眼では1個の星のように見える2個の星)
double take	(聞き流していた言葉の意味などに気付いて)遅れてはっと驚くこと
double time	《米》(軍隊で)速歩(1分間に180歩) / (時間外などの)賃金の倍額支給
double-barreled,double-barrelled	(銃が)二重銃身の / 《話》二重の目的を持った
double-breasted	(上着が)ダブルの,両前の;(スーツが)上着がダブルになった
double-check	…を再点検する / (チェスで)(1個のこまを動かして相手の)〈2個のこま〉にチェックをかける,に両王手をかける
double-clutch,double declutch	(自動車の)ダブルクラッチを踏む,クラッチを2度踏みする
double-cross	裏切り行為 / …を裏切る
double-crosser	裏切り者
double-dealer	表裏のある人,二心ある人
double-dealing	言行不一致,詐欺 / 言行不一致の
double-decker	二階つきバス(電車);二重甲板の船 / 二段重ねの(3枚のパンに挾んだ)サンドイッチ
double-dipper	〈C〉二重取りをする人 / (ソースなどに食物を)二度づけする人《略式》
double-dutch	〈U〉ちんぷんかんぷん / 意味不明な言葉《略式》 / 〈C〉二重跳び(縄跳び) / 〈U〉ダブルダッチ(2本のロープを使って複数人で跳ぶ縄跳び)
double-dyed	(人が)たちの悪い
double-edged	両刃の / 相反する目的を持つ,賛否両方にとれる
double-faced	両面のある / 二心のある,不誠実な
double-glaze	〈部屋〉に二重はめ込みガラスをはめる
double-jointed	(人・動物が)二重関節のある(指・腕などの関節がしなやかで前後に曲げられる)
double-knit	二重縫いをしたじょうぶな厚い織物
double-park	並列駐車する(歩道に沿って駐車している他の自動車の横に並んで駐車する;通常は違法)
double-quick	大急ぎの(very quick) / 大急ぎで
double-space	〈テキストなど〉を一行おきにタイプで打つ / 一行おきにタイプする
double-stop	〈弦楽器〉で同時に二つの音を出す / 同時に二つの音を出す
doubleheader	ダブルヘッダー(同じ2チームが1日に2試合すること)
doublet	ダブレット(15‐17世紀ごろに流行した,体にぴったりした腰部のくびれた男子用上着) / 姉妹語(語源を同じくし,語形や意味が分化した語;poor-pauper, bank-benchなど)
doubletalk	きまじめな調子で意味のない言葉を挾んで相手を煙にまく話し方 / 内心とはかけ離れた話 / むやみに難解な話し方
doublethink	二重信念(同時に二つの矛盾した思想を信じること)
doubloon	(スペインなどで昔用いた)ダブロン金貨
doubly	2倍に,2倍だけ,二重に,二様に
doubt	『疑い』,疑惑;疑わしさ,疑問 / を『疑う』,疑問に思う
doubter	疑い深い人
doubtful	(事が)『疑わしい』,疑問を抱かせる,不確かな / (人が)『疑っている』,怪しんでいる / いかがわしい,問題となる
doubting Thomas	容易に信じない男,疑い深い人
doubtless	『疑いなく』,確かに(certainly, assuredly) / たぶん,おそらく(very probably)
douche	〈U〉潅(かん)水,注水(治療のためまた保健衛生上体のある部分・器官に注ぐ水) / 〈U〉注(潅)水法 / 〈C〉注(潅)水器
dough	練り粉,こね粉,生パン / 《おもに米俗》金銭,ぜに
doughboy	(特に第一次大戦の)米軍歩兵
doughnut,donut	ドーナツ;ドーナツ状のもの
doughty	勇気のある,勇敢な(valiant);強い,がんじょうな
doughy	練り粉の[ような];(パン・ケーキが)生焼けの / (はだが)青白い
dour	むっつりした,陰気な / 厳格な,厳しい(stern)
douse	…を水中に突っ込む;…をずぶぬれにする / 《話》〈火・燈火〉を消す
dove	『ハト』(pigeonのうち比較的小さいもの;平和の象徴とされる) / 《おもに米》(平和的な態度をとる)ハト派の人(政治家) / diveの過去形(=dived)
dovecot, dovecote	ハト小屋
dovetail	ありつぎ(ハトの尾の形のほぞで木材をつなぎ合わせる方式);ありつぎの箇所 / ありつぎにする,ぴったりはまる / …をぴったりつなぎ合わせる
