dueler,dueller	=duelist
duplication	〈U〉複製(複写)すること / 〈C〉複製した物
duplicator	複写機(copier)
duplicity	(言動に)裏表があること,二枚舌 / 二重性
durability	永続性,耐久性
durable	耐久力のある,もちのよい / 永く続く
durable press	=permanent press
durably	長持ちして / 永続的に
durance	〈U〉拘束 / 拘留 / 監禁《文語・古風》
duration	(時間の)持続,存続,継続 / 存続期間,持続時間
durbar	(インド土侯・旧インド総督の)公式会見,謁見
duress	強迫,強制
during	(ある期間)『の間ずっと』,…の間じゅう / (しばらく続く時間・期間)の間[のある間]に,…中に
durst	dareの過去
durum	デュラム小麦(マカロニ・スパゲティを作る原料)
dusk	(特に夕暮れの)たそがれ / (ある所の)薄暗がり
duskiness	黒みがかっていること,薄暗さ
dusky	(色が)黒みがかった / 薄暗い
dust	〈U〉『ちり』,ほこり / 《a ~》土煙,砂ぼこり / 〈U〉粉末,粉 / 《the ~》《文》遺骨,なきがら / 〈U〉(死後の)土 / 〈U〉屈辱,恥 / 〈U〉つまらぬもの / …の『ちりを払う』,ごみをふき取る《+『名』+『off』(『down』),+『off』(『down』)+『名』》;(…から)…を払う《+『名』+『from』+『名』》 / (粉などを)…に振り掛ける《+『名』+『with』+『名』》 / (家具などの)ほこりを払う
dust devil	(砂やちりを巻き上げる)塵(じん)旋風
dust jacket	本のカバー
dust storm	砂あらし
dust whirl	=dust devil
dustbin	=garbage can / =ash can
dustbowl	(砂あらしの吹く)黄塵(じん)地帯
dustcart	=garbage truck
dustcoat	=duster3
duster	はたき;ぞうきん / 《米》ダスターコート(ゆったりした軽い婦人の家庭着) / 《米》ほこりよけの上着(《英》dustcoat)
dustman	=garbage collector
dustpan	(柄の短い)ちり取り,ごみ取り
dustsheet	(家具などに掛ける)ほこりよけカバー
dustup	口論,けんか
dusty	『ほこりっぽい』,ほこりだらけの / ほこりのような色の,つやのない / ほこりのような,粉末状の
dusty answer	不十分な答え,あいまいな返事
duteous	本分を守る,忠実な
dutiable	(輸入品などが)関税を課せられる,有税の
dutiful	本分を守る,義務を果たす,従順な / (行いなどが)礼儀正しい,折り目正しい
duty	〈C〉〈U〉(道徳・法律上の)『義務』,本分,義理 / 〈C〉《しばしば複数形で》(地位・職業などからくる)『任務』,職務,仕事 / 〈U〉《古》尊敬,敬意 / 〈C〉《しばしば複数形で》『税』(tax),関税
duty-free	関税のかからない,免税の
duvet	羽根ぶとん
dwarf	(童話の)『こびと』,一寸法師 / (人間の)こびと / 普通よりずっと小さい動物(植物) / (対照的に)…を小さく見せる / 〈植物など〉の自然な成長を妨げる / (並みはずれて)小さい[種類の]
dwell	(ある場所に)『住む』,居住する《+『in』(『at』)+『名』》 / (ある状態などに)長くとどまる
