disjunctive	(文法で)隣接的な / 隣接的接続詞(but,either,orなど)
disorderly	秩序のない,混乱した / (群衆などが)乱暴な;風紀を乱す
disorderly house	(法律用語で)売春宿
disorganization,disorganisation	(組織の)分裂,解体 / 混乱,無秩序
disorganize,disorganise	…の組織(配列)を乱す,を混乱させる
disorient	〈人〉の方向感覚を失わせる
disorientate	=disorient
disorientation	方向感覚を失うこと / 混迷
disown	…を自分の物だと認めない;…に関係(責任)がないと言う
disparage	〈人・物〉の信用を落とす,評判を悪くする / …を見くびる,軽んじる
disparagement	見くびること / 悪口,非難
disparagingly	軽んじて,見くびって
disparate	本質的に異なる,異種の
disparity	(…の)本質的な相違;〈C〉本質的な相違点《+『in』(『of』)+『名』》
dispassionate	感情に左右されない,冷静な / 公平な
dispatch	(…へ)〈電報・手紙など〉を『送る』,〈使者・軍隊など〉を急送する,特派する《+『名』+『to』+『名』》 / 〈仕事・食事など〉を手早く済ませる / 《遠回しに》…を殺す(kill) / 〈U〉『急送』;急派,特派 / 〈U〉(仕事などの)敏速な処理,手早さ / 〈C〉ニュース特報,至急報;急送公文書
dispatch box	公文書送達箱
dispatch rider	(オートバイ・馬などに乗った)急使,緊急伝令
dispel	〈煙・霧〉を『追い散らす』,追い払う / 〈不安・恐怖など〉を追い払う
dispensable	なくても済む,必ずしも必要ではない
dispensary	調剤室,薬局 / 《おもに英》(学校などの)診療所
dispensation	《文》〈U〉分配;〈C〉分配品,施し物 / 〈C〉(カトリックで)摂理(神の定めた秩序) / 〈U〉(施政・管理などの)体制,制度,体系 / 〈C〉〈U〉(カトリックで,規則・刑罰からの)特別免除
dispense	(…に)…を『分配する』,施す《+『名』+『to』(『among』)+『名』》 / 〈法令〉を施行する;〈儀式〉を執り行う / 〈薬〉を調合する,調剤する,投薬する
dispenser	分配者;薬剤師,調剤者 / ディスペンサー(紙コップ・紙タオルなどを1個または1枚ずつはがして使用できるように工夫された装置) / 自動販売機
dispensing chemist	薬剤師兼薬屋
dispersal	=dispersion1
disperse	…を『四方に散らす』 / …を追い払う;〈不安など〉を消し去る / 〈微粒子〉を分散させる;〈光〉を分光する / …を各所に配置する / 『散らばる』,分散(離散)する / 〈微粒子が〉分散する,〈光が〉分光する
dispersion	(また『dispersal』)分散[状態],散乱,消散 / (光の)分散;(微粒子の)分散
dispirit	〈人〉をがっかりさせる,意気消沈させる
dispirited	元気のない,意気消沈した
displace	…にとって代わる / (…から)〈人〉を強制的に退去させる(移動させる,やめさせる)《+『名』+『from』+『名』》 / 〈船舶が〉…の排水量を持つ
displaced person	難民
displacement	とって代わること,置き換え / 解職,罷免 / 排水量
display	〈物〉を『展示する』,陳列する(exhibit) / 〈感情など〉を『表に出す』;〈能力など〉を発揮する / …を見せびらかす,誇示する(show off) / (…を)『見せること』;(感情などを)表に出すこと;(能力などの)発揮《+『of』+『名』》 / 『誇示』,見せびらかし / (商品・作品などの)『展示』,陳列《+『of』+『名』》;展示品
displease	〈人〉に『いやな思いをさせる』,を不愉快にさせる
displeasing	〈物事が〉不愉快な;(…の)気にさわる《+『to』+『名』》
displeasure	不満,不きげん,腹立たしさ
disport	{動} 楽しむ・ふざける・はしゃぐ(古風・文語) / 〈C〉気晴らし・娯楽(文語)
disposable	使い捨てにできる / (税金などを差し引かれた後)自由に使える
disposal	配置,配列 / (事件・業務などの)『処置』,処理;処分 / (物の)譲渡;売却
dispose	(…に備えて)…を『配置する』,整える(arrange)《+『名』+『for』+『名』(do『ing』)》 / 《『dispose』+『名』+『to』 do》〈人〉を(…する)『気にさせる』 / (…に)〈人〉が影響されやすいようにする,(…の影響を)〈人〉が受けやすいようにする《+『名』〈人〉+『to』+『名』》
disposed	自発的な,進んでする,傾向がある / 《複合語を作って》「…の傾向のある」の意を表す
disposition	(人の)『気質』,性質 / 〈C〉(…する)傾向,(…したい)気持ち / 〈U〉『配置』,配列(arrangement) / 〈U〉(物事の最終的な)処理,処置;決着 / 〈U〉(物件などの)処分,譲渡,売却;使用権,自由裁量権
dispossess	(特に法律に基づいて)(財産・土地などを)〈人〉から取り上げる,没収する《+『名』〈人〉+『of』+『名』〈物〉》
dispraise	…を非難する
disproof	反証[すること],反ばく;〈C〉反証物件
disproportion	(大きさ・数・量などの)不均衡;(二者間の)不釣り合い《+『between』+『名』》;〈C〉不釣り合いな物
disproportionate	不均衡の;(…に)不釣り合いな《+『to』+『名』》
disprove	〈相手の意見・考えなど〉に反証する,論ばくする
disputable	議論の余地がある(questionable)
disputant	論争者,討論者
disputation	論争,議論
disputatious	論争(議論)好きな
dispute	…を『議論する』,討議する / …に反論する,異議を唱える / (…と)…をめぐって争う,抗争する《+『名』+『with』+『名』》 / (人と…について)『議論する』,論争する《+『with』(『against』)+『名』〈人〉+『over』(『on,about,as to』)+『名』(『wh-節・句』)》 / 『論争』;口論,けんか
disqualification	資格はく奪,失格 / 失格理由,失格事項
disqualify	〈人〉を不適格(無資格)にする
disquiet	〈人〉を不安にする,心配させる / 不安,心配;動揺
disquietude	不安,不穏
disquisition	論文;演説,《時に》長々しい論文(演説)
disregard	…を『無視する』,軽視する,なおざりにする / (…に対する)『無関心』,無視《+『of』(『for』)+『名』》
disrelish	きらうこと,嫌悪 / …をきらう,嫌悪する
disremember	…を思い出せない,覚えていない
disrepair	荒廃,破損状態
disreputable	評判の悪い / みっともない
disrepute	悪評,汚名
disrespect	失礼,無礼
disrespectful	失礼(無礼)な
disrobe	〈人〉から聖職服(儀礼服)を脱がせる;〈人〉の服を脱がせる / 聖職服を脱ぐ;(一般に)服を脱ぐ
disrupt	…を混乱させる / (一時的に)…を中断させる
disruption	混乱,中断,分裂,崩壊[状態]
disruptive	混乱(分裂)を引き起こす
dissatisfaction	(…に対する)不満,不平《+『at』(『with』)+『名』》;(…という)不平《+『that節』》
dissatisfy	〈人〉に不満を抱かせる
dissect	(実験・研究などで)〈人体・動植物など〉を解剖する / …を細かく調べる,分析する
dissection	〈U〉〈C〉(実験・研究のための)解剖,解体 / 〈C〉実験用解剖体,解剖模型 / 〈U〉詳細な分析
dissemble	〈感情・動機・意図など〉を隠す,偽る / …の表情を装う / しらばくれる,とぼける
