debility	(病気による)衰弱
decimal fraction	=decimal{名}
decimal point	小数点
decimal system	《the ~》十進法
decimalize,decimalise	〈通貨など〉を十進法にする
decimate	〈疫病・災害・戦争などが〉〈多くの人・動物など〉を殺す[10人に1人を選んで殺した古代ローマの軍隊の刑罰法から]
decimation	大量殺害
decimeter,decimetre	デシメートル(1/10メートル)
decipher	〈分かりにくい文字など〉を判読する / 〈暗号〉を解読する
decipherable	判読できる,解読できる
decision	〈C〉(問題・疑義などの)『決定』,解決;結論《+『of』+『名』》 / 〈U〉『決心』,決断 / 〈C〉(法廷での)『判決』;判定 / 〈U〉決断力
decisive	『決定的な』,決め手となる / (性格などが)『断固とした』,果断な(resolute) / 確かな,疑いのない
decistere	デシステール(メートル法で体積の単位;10分の1 stere)
deck	『デッキ,甲板』 / デッキ状の部分(バス・電車の床,トラックの荷台,電気装置の配置台など) / 《おもに米》(カードの)1組(《英》pack) / 《話》地面 / (…で)…を飾る,装飾する《+『out』+『名』+『with』+『名』》 / (…で)…を美しくする,めかす《+『out』+『名』+『in』+『名』》
deckchair	甲板いす
deckhand	甲板水夫,平水夫
deckle edge	(手すき紙の)ぎざぎざのへり
deckle-edged	(紙・写真などが)ぎざぎざのへりの
declaim	(間をとったりゼスチャーを交えて)大げさな演説をする,一席ぶつ / (…に向かって)…をぶちあげる《+『名』+『to』+『名』》
declamation	雄弁[術];〈C〉大げさな演説
declamatory	大げさな,誇大な
declarable	税関で申告すべき
declaration	〈U〉(…の)『宣言』,発表,布告《+『of』+『名』》 / 〈C〉申告書 / 〈C〉供述
declarative	叙述の,陳述の
declare	…を『宣言する』,告示する,公表する / …を『強調する』 / 〈課税品・所得額〉を申告する / …を明らかにする(reveal);…を表す(show) / (…に反対,賛成を)表明する,声明する《+『against』(『for』,『in favor of』)+『名』(do『ing』)》
declared	公然と認められた,公言された,公然の
declarer	宣言者,申告者
declassification	〈書類などを〉機密情報のリストから落とすこと,機密指定から解くこと
declassify	〈政治・軍事情報など〉を機密種別からはずす・〈書類などを〉機密情報のリストから落とす,機密指定から解く
declension	(名詞・代名詞・形容詞の性,数,格による)語形変化,一連の語形変化
declination	〈C〉(真の北極と磁針の)偏差 / 〈U〉〈C〉赤緯(赤道からある天体までの角距離) / 〈C〉正式の辞退
decline	(穏やかに,礼儀正しく)…を『断る』,拒絶する,拒否する / 〈名詞・代名詞・形容詞〉を語形変化させる / 『断る』,辞退する / 《文》〈土地などが〉『下に傾く』;〈太陽・月が〉傾く / 《文》『衰える』,衰微する / 『衰微』,衰弱
declivity	下り勾配(こうばい)
declutch	(自動車の)クラッチを切る
decoct	…を煎(せん)じる
decoction	煎じ出すこと;〈C〉煎出エキス;煎じ薬
decode	…の暗号(code)を解く
decolonization,decolonisation	脱植民地(植民地の状態からの独立)
decolonize,decolonise	〈植民地〉の自治を許す,を独立させる
decommission	〈船など〉を廃役にする
decompensate	〈心臓が〉代償機能を失う
decompensation	(心臓の)代償不全
decompose	を分解させる …を腐敗させる 分解する 腐敗する
