definitive	決定的な,最終的な(final)
deject	…を落胆させる,がっかりさせる
dejected	がっかりした
dejection	落胆,意気消沈
deka	decaの異形
dekagram	=decagram(《略》『dek.』)
dekaliter	=decaliter(《略》『dkl』)
dekameter	=decameter(《略》『dkm』)
dekko	ひと目
delay	…を『延期する』,延ばす / 〈事故などが〉…を『遅らせる』 / 『ぐずぐずする』,『手間取る』 / 『遅れ』,遅延 / 『延期』,猶予
dele	(印刷物の校正で)…を削除する / 削除記号
delectable	快い,楽しい;けっこうな
delectably	快く,楽しく
delectation	《気どって》喜び,楽しみ
delegacy	〈U〉代表の任務 / 〈C〉代表団 / 代表の地位《古・文語》
delegate	(会議などへの個人の)『代表』,使節《+『to』+『名』》 / 〈人〉を『代表として派遣する』 / (…に)〈権限など〉を委託する《+『名』+『to』+『名』》
delegation	〈U〉『代表派遣』,代表任命 / 〈C〉《集合的に》『代表団』,派遣団
delete	(…から)〈語など〉を削除する,消す《+『名』+『from』+『名』》
deleterious	心身に有害な
deletion	削除;〈C〉削除箇所
delft	デルフト焼き(オランダのDelft産の陶器;白地に青で採色したものが多い)
deli	〈C〉デリ(惣菜店)《略》/ 惣菜 / =delicatessen
deliberate	『よく考えた』,熟考した;故意の,計画的な / 『思慮ある』,慎重な / 落ち着いた,ゆうゆうとした / …を『よく考える』,熟考する;…を審議する / (…について)『よく考える』,熟考する;審議する《+『over』(『on,upon,about』)+『名』(do『ing』)》
deliberately	よく考えて,慎重に(cautiously) / 故意に,わざと
deliberateness	熟考,慎重 / 故意
deliberation	〈U〉熟慮,熟考 / 〈U〉〈C〉《しばしば複数形で》正式の協議,討議,審議 / 〈U〉(思考・行動などの)慎重さ
deliberative	審議の,討議の
delicacy	〈U〉(形状・感触などの)『優美さ』,精巧さ,繊細さ《+『of』+『名』》 / 〈C〉『おいしいもの』,珍味 / 〈U〉(身体の)『か弱さ』,きゃしゃ,ひ弱さ《+『of』+『名』》 / 〈U〉(問題などの)『微妙さ』,扱いにくさ《+『of』+『名』》 / 〈U〉(趣味・技能・感情などの)『繊細さ』,鋭さ《+『of』+『名』》 / (対人関係における)心遣い,思いやり
delicate	(形状・感触などが)『繊細な』,精巧な,きめの細かい / (におい・色などが)『柔らかい』,うすい / (ガラス器具などが)『壊れやすい』 / (身体が)『か弱い』(frail),きゃしゃな / (問題などの取扱いが)『微妙な』,むずかしい / (技術などが)精密な,高度の;(計器などが)敏感な / (対人的に)神経の細かい
delicately	繊細に;微妙に / きゃしゃに / 敏感に
delicatessen	〈C〉高級食材店・惣菜店/ 惣菜 / 〈U〉調理済み食品・惣菜類 / =deli
delicious	『おいしい』 / 香りのよい / 喜ばしい,快い
delight	〈U〉『大喜び』,歓喜 / 〈C〉『楽しみ』,うれしいこと / …を『大いに楽しませる』,大喜びさせる,うれしがらせる / 『大喜びする』,うれしがる,楽しむ
delighted	うれしい,喜んだ
delightedly	喜んで
delightful	(物・事が)『喜びを与える,楽しい』,うれしい / (人が)『愉快な』,おもしろい
delimit	…の境界(限)を定める
delimitation	境界,限界
delineate	…の輪郭を描く;…を図で表す,描く / …を言葉で描写する
delineation	〈U〉輪郭を描くこと / 〈C〉略図,図解 / 〈U〉〈C〉記述,叙述,描写
delinquency	〈U〉(義務・職務などの)怠慢,不履行 / 〈U〉(《まれ》〈C〉《文》)(特に未成年者の)非行,犯罪
delinquent	(義務・職務を)怠る,怠慢な / 過失を犯した,非行を犯した / 支払期限の過ぎた,未納の / 法律違反者;(特に)非行少年
deliquesce	(化学的に)〈物質が〉溶ける,潮解する・溶解する
deliquescent	潮解性の,融解性の
delirious	(高熱などで)精神の錯乱した / (喜びなどで)有頂天になった
delirium	〈U〉〈C〉(不安・興奮・妄想(もうそう)・幻覚に陥る)精神錯乱 / 〈C〉《単数形のみ》極度の興奮状態
delirium tremens	(アルコール中毒による)振戦(顫)譫妄(せんもう)(症) (《口語》 d.t.'s,D.T.'s).
