four-wheel	四輪の,四輪式の
fraternity	〈U〉兄弟関係;兄弟愛;友愛;同胞愛 / 〈C〉《集合的に》同好者同士,仲間,同人 / =fraternal society / 〈C〉《米》フラターニティ,友愛会(男子大学生の社交クラブで,通例2字以上のギリシア文字を会名とするのでGreek-letter fraternityとも呼ばれる)
fraternization,fraternisation	親交,兄弟づきあい
fraternize,fraternise	(…と)兄弟のように交わる,親しくつきあう《+『with』+『名』》 / (敵軍と)親しくする
fratricidal	兄弟(姉妹)殺しの
fratricide	〈U〉兄弟(姉妹)殺し / 兄弟(姉妹)殺しをした人
fraud	〈U〉詐欺,ごまかし / 〈C〉詐欺行為,不正手段 / 〈C〉詐欺師,不正行為者
fraudulence	詐欺,いかさま,不正
fraudulent	詐欺の,いかさまの
fraught	(…を)伴う《+『with』+『名』》 / (…で)いっぱいの《+『with』+『名』》
fray	騒々しいけんか,争い / 〈布のへりなど〉をすり切らす,〈ロープの端など〉をほつれさせる / 〈神経など〉を緊張せさる,いらだたせる / 〈特に先端が〉すり切れる,ほつれる
frazzle	ぼろぼろになる,へとへとに疲れる / …ぼろぼろにする,へとへとに疲れさせる / ぼろぼろの状態 / くたくたの状態
freak	気まぐれ,移り気 / 奇形,変態 / 《話》奇人,変人;熱狂的ファン / 奇形の,異常な
freak of nature	奇形児,奇形物;造化のいたずら
freak-out	〈U〉(薬による)幻覚状態,陶酔 / 〈C〉幻覚剤でふらふらになった人
freakish	気まぐれな;奇形の
freaky	{形}普通ではない / 異様な / 奇妙な / 不気味な《口語》
freckle	そばかす・しみ / …にそばかす(しみ)を生じさせる / そばかす(しみ)ができる
freckled	そばかす(しみ)のある
free	(束縛された状態になく)『自由な』,自由の身の / (国家・国民などが)『独立している』 / (思想・行為などが)強制されない,自発的な / (動作が)拘束されない,無理のない / 《補語にのみ用いて》(苦痛・制約などを)『免れている』,(誤り・偏見などの)ない《+『from』(『of』)+『名』》 / 《補語にのみ用いて》《『be free to』do》『自由に』…『できる』 / (仕事から)解放された,暇になった;(部屋などが)使用されていない,空いた / 『無料の』;無税の / 出し惜しみしない / 遠慮のない,慎みがない / (道路などが)障害のない,自由に通れる / 固定していない,離れた / 無料で / 自由に,妨げられずに(freely) / (…から)〈人・国など〉を『自由にする』,解放する《+『名』+『from』+『名』》 / (困難などから)〈人〉を救う《+『名』+『form』+『名』》 / (障害などを)〈人・物〉から取り除く《+『名』+『of』(『from』)+『名』》 / (物を)…から片付ける,外す《+『名』+『of』+『名』》
free agent	自由契約の選手(スポーツ用語) / 独立した専門家
free association	(心理学で)自由連想(被験者に心に浮かぶまま表現させる)
free enterprise	(政府の干渉を受けない)自由企業[体制]
free fight	乱闘
free house	自由酒場(特定のビール工場と契約せず何種類かのビールをおいている居酒屋)
free kick	(フットボールの)フリーキック(相手の反則により与られるキック)
free love	自由恋愛,フリーセックス
free on board	=F.O.B.
free pardon	恩赦(おんしゃ)
free pass	無料乗車券(証)
free port	自由港(どこの国の船でもはいれる港) / 無税港(輸出入が無税の港)
free rein	自由気ままな行動
free school	自由学校(従来の学校と異なりカリキュラム・指導法が自由な学校)
