flysheet	(雨天の時テントの上にかぶせる)補助シート
folder	紙ばさみ / (印刷した1枚の紙を数ページに折り畳んだ)折り本;折り畳み広告,折り畳み時間表,折り畳み地図 / 折り畳む人;(紙などの)折り畳み機
folderol	ばかげたこと;くだらない物,安物
folding	折り畳みの
foldout	(雑誌などの)折り込み写真
foliage	(1本の木全体の)葉,群葉
foliar	葉の,葉のような
foliated	葉状の,葉の形をした;葉片状の
folic acid	葉酸(ビタミンB複合体の一つ;貧血症に効果がある)
folio	二つ折りの紙 / 二つ折り判,二つ折り本(最も大型の本) / (本の)ページ付け / 二つ折り判の,大判の
folk	《米はしばしば複数形で》(住所・年齢・境遇などの特殊な)『人々』 / 《米はしばしば複数形で》(一般の)人々,世人(people) / 《話》《one's folks》『家族』;親族;両親 / 《古》民族,種族;国民 / =folk song / 《話》《呼び掛けに用いて》皆さん,お立ち合い / 民衆(庶民)に起源を持つ,民衆(庶民)の;民俗の
folk etymology	通俗語源[説](大衆が語源を誤って推定した結果生じる)
folk mass	民俗音楽によるミサ
folk music	民族(民俗)音楽
folk rock	フォークロック(フォークソングとロックンロールの特徴を合わせ持つ音楽様式)
folkdance	民族舞踊,郷土舞踊 / 民族(郷土)舞踊の曲
folklore	民間伝承(風俗・習慣・口碑・伝説・昔話など);民俗学
folklorist	民俗学者
folksinger	民謡歌手,フォーク歌手
folksong	民謡,フォークソング / 民謡調の歌
folksy	(話し方・態度などが)気取りのない / 付き合いのいい・愛想のいい,(時に過度に)親しげな,くだけた / 庶民的な
folktale	伝説物語,民間説話,民話
folkways	民俗,習俗(ある社会・集団に共通の思考・行動様式)
foll.	following
follicle	小嚢(しょうのう),卵胞 / (植物の)袋果(たいか)
follow	…の『後について行く』;…の後に続く(来る) / 〈道など〉を『たどる』,に沿って行く / 〈規則など〉に『従う』 / 〈動きなど〉をじっと見詰める,観察する / …を理解する(understand) / …をまねる,模範とする / 〈職業〉に従事する / …から起こる(result from) / 〈人・動物など〉を追跡する,追う / 『後について行く』(『来る』) / 『続いて起こる』,次に来る / (論理的に)…という結論になる,当然の結果として…となる
follow-the-leader	大将ごっこ(子供たちが大将(leader)になった子の後に続き,その子がするとおりにすべてをまねる遊戯)
follow-through	フォロースルー(テニス・ゴルフなどで打球後ストロークを完全に伸ばしきること)
follow-up	追求;追跡調査;(新聞などの)追いかけ記事 / 後を追う,重ねて行う
follower	後から来る人,後に続く人 / (信仰・思想などで)『人に従う人』;弟子,門人,信奉者,支持者 / 随行者,家来,部下
following	《the following》(時間・順序において)『次の』,次に来る / 《the following》次に述べる,下記の / 同じ方向に動く / 崇拝者,支持者,門下 / 《the following》《単数・複数扱い》『次に述べるもの』(人・事項),下記のもの
folly	〈U〉『愚かさ』,愚劣 / 〈C〉『愚行』,愚かな行為(考え,計画など)
foment	〈不和・反乱など〉を扇動する,誘発する
fomentation	(不和・反乱などの)扇動,誘発
fond	《補語にのみ用いて》(…を)『好んで』,好きで《+『of』+『名』(do『ing』)》 / 《名詞の前にのみ用いて》『優しい』,愛情のある(loving) / 《名詞の前にのみ用いて》優しすぎる,甘い / 《名詞の前にのみ用いて》(希望など)深く心に抱いた,ひとりよがりの
fondant	フォンダン(口に入れるとすぐ溶けるキャンデーの一種)
fondle	(手で優しくなでて)…をかわいがる,愛撫(あいぶ)する(caress)
fondly	かわいがって,優しく(tenderly) / 愚かにも,浅はかにも,たわいなく
fondness	〈U〉〈C〉(…に対する)愛好,好み(liking)《+『for』+『名』(do-『ing』)》 / 〈U〉ばかにかわいがること,溺愛(できあい)
fondue,fondu	フォンデュー(スイス起源のなべ料理)
font	(教会で洗礼用の水を入れる)洗礼盤 / 《詩・文》泉(fountain);源泉(source) / フォント(同一型の活字の一そろい)
fontina	羊乳から作ったイタリアチーズ
food	〈U〉『食物』,栄養物 / 〈U〉(飲み物に対して)食べ物 / 〈C〉(特定の種類の)固形食品 / 〈U〉(動植物に)栄養を与えるもの / 〈U〉《比喩(ひゆ)的に》(心・精神の活動を刺激・奨励する)糧(かて);(思考・反省などの)資料
food chain	食物連鎖(小さい生物が順に大きいものに食われるという食性の関係)
food poisoning	食中毒
food processor	万能調理器
food stamp	食料切符 (低所得者に対して政府が発行する食料引き換え券)
food web	食物網(生物の捕食・被捕食関係の総称)
foodstuff	食料品
fool	〈C〉『ばか者』 / 〈C〉(昔,王侯貴族に仕えた)道化師(jester) / 〈U〉〈C〉フール(煮てつぶした果物にクリームをかけた食品) / 〈人〉をだます,かつぐ / 〈人が〉ばかなまねをする,ふざける,冗談をいう / 愚かな
fool's errand	むだ足,徒労
fool's gold	黄鉄鉱(pyrites)(しばしば金とまちがえられることから)
