finis	終[り](本・映画などの最終にしるす語)
firebrand	たいまつ;燃え木 / (紛争などの)扇動者
firebreak	(山火事などをくい止めるための)防火帯(線)
firebrick	耐火れんが
firebug	放火魔
fireclay	(耐火れんが・るつぼを作る)耐火粘土
firecracker	爆竹,かんしゃく玉
firedamp	(炭坑内に発生する)爆発性ガス(おもにメタンガス)
firedog	=andiron
firefight	〈C〉小規模な戦闘(短時間・小規模な交戦) / 短時間の銃撃戦
firefighter	=fireman
firefly	ホタル
fireguard	(炉の前の)囲い金網,ストーブ囲い(fender)
firehouse	=fire station
fireless cooker	火なしこんろ(あらかじめ熱しておいて密閉絶縁した料理器;改めて加熱しないで料理と保温ができる)
firelight	火明かり,(特に)炉火の光
firelighter	(炉などの)たきつけ
fireman	消防士 / (機関車などの)火夫,かまたき(stoker),ボイラーマン / (米海軍の)機関兵
fireplace	(壁に取付けた)『暖炉』
fireplug	=fire hydrant
firepower	(銃の)発砲力,火力
fireproof	防火の,耐火性の,不燃性の / …を耐火性にする
fireside	《通例the~》炉ばた,炉辺 / 《しばしばthe~》一家団らん;家庭;家庭生活 / 炉辺の
firestorm	ファイアストーム(大火によって起こる熱い上昇気流が風雨を引き起こす現象)
firetrap	火災非常口のない建物;燃えやすい建物
firewatcher	(空襲時の)火災監視人,火災警備員
firewater	火酒,(ウイスキー,ジン,ラム酒などの)強い酒
fireweed	焼け跡の雑草
firewood	まき,たきぎ
firework	花火;花火大会 / (怒りなどの)爆発
firing	発射,発砲 / 火をたくこと,(炉などの)火入れ,点火 / 燃料,薪炭
firing line	(戦争の)最前線
firing squad	銃殺隊
firkin	(バター・ラードなどを入れる)小型の桶(おけ) / ファーキン(英国の容量単位,1/4barrelに相当)
firm	(物が)『堅い』,堅固な,引き締まった / 『しっかり固定した』,ぐらつかない / (人・信念・友情などが)変わらない / 断固とした,決然たる / (価格・価値が)安定している / しっかりと / …を固める,堅くする《+『up』+『名,』+『名』+『up』》 / …を安定させる / 安定する《+『up』》 / 『商会』;(一般に)会社,事務所;(商社名としての)…商会 / 《英》通信販売店
firmament	天空,大空
firmly	しっかりと / 確固として
firmness	堅固;安定;断固
first	(順序・時間的に)『第1の』,1番目の;最初の / (階級・等級・重要度などが)『1番の』,第一級の,首席の,最も重要な / 『最初に』,まっ先に;1番目に,第1位に;初めて / (…するくらいなら)むしろ,いっそ(…のほうがいい)(rather, sooner) / 《通例the~》『最初のもの』;(月の)第1日;(時代の)第1年 / 《通例the~》初め,始まり / 〈U〉ファーストギヤ,低速ギヤ / 〈C〉《英》(競技などの)第1位,1等(試験の)第一級 / 《複数形で》最高級品,一級品 / 〈U〉=first base
first aid	応急手当
first base	(野球の)一塁
first class	第1等(級) / (列車・船・飛行機の)1等 / 《米》第1種郵便
first cousin	=cousin 1
first floor	(建物の)1階(《英》ground floor);《英》2階
first fruits	最初の収穫物,初物(はつもの)(特に神に捧げられるもの) / (仕事などの)最初の成果
first lady	大統領夫人;州知事夫人
first lieutenant	(米陸・空軍の)中尉
first mate	一等航海士(船長の次位)
first name	ファーストネーム,名(「姓」に対する「名」に当たる;米国ではChristian nameという代わりにfirst nameのほうを好んで用いる)
first night	(演劇の)初日
first offender	初犯者
first person	第一人称(英語ではIとwe;話し手が自分を指していう語)
first sergeant	(米陸軍の)曹長(そうちょう),古参下士官
first stringer	正選手,レギュラー
first thing	まず最初に,朝一番に
first violin	(管弦楽・室内楽の)第一バイオリン[奏者]
first-aid	応急の,救急の
first-class	一流の;最高級の;《話》すばらしい / (列車・船・飛行機が)1等の / (郵便が)第1種の / (乗り物が)1等で / (郵便が)第1種で
first-degree	第一段階の,第一級の
first-nighter	初日公演の常連
first-rate	一流の,第一級の,最上の / 《話》すばらしい / すばらしくよく,順調に
first-string	一級の,最上の;正選手の,レギュラーの
firstborn	最初に生まれた / 長子
