French door	フランスドア(全面ガラスの通例観音開きのドア)
face	〈C〉『顔』 / 〈C〉表情,顔つき / 〈C〉(物の)『表面』(surface),(建物の)正面(front),(貨幣・カードなどの)表《+『of』+『名』》 / 〈C〉(…の)外観,様子《+『of』+『名』》 / 〈U〉面目,面子(めんつ) / 〈C〉(多角面体の)面 / 〈C〉(活字・版の)面(印刷する部分);(活字の)書体 / 〈C〉(鉱山の)採掘現場 / …に『面する』,のほうを向く / (…のほうに)…を向ける《+『名』+『toward』+『名』》 / 〈人が〉〈危険など〉に直面する,立ち向かう,対抗する;〈危険などが〉〈人〉に迫る / 〈事実・現実など〉を直視する,認める / (…で)〈壁など〉に上塗り(上張り)をする《+『名』+『with』+『名』》 / (ある場所・方角に)面する,向く《+『on』(『to』,『toward』)+『名』》
face flannel	=washcloth
face fungus	男性のひげ
face lifting	(しわ・たるみを取る)顔面整形 / (建物などの)外装直し
face pack	美顔用パック
face powder	おしろい
face value	(証券などの)額面価格 / 表むきの価値(意味)
face-off	(アイスホッケーで)フェースオフ(向かい合っての試合開始) / 《話》対決
face-saver	人の顔を立てるもの(事,人)
face-saving	面子(めんつ)を立てる,顔を立てる
face-to-face	(…に)面と向かって,直面して《+『with』+『名』》 / 面と向かっての,差し向かいの
facecloth	=washcloth
faced	(…に)面した,直面した《+『with』+『名』》 / 上張りをした,縁飾りをした
faceless	特徴のない,個性のない
facelift	=face lifting
facet	(宝石・結晶などのなめらかな)面,切り子面 / (物事の)面(aspect)
facetious	こっけいな,ひょうきんな,ふざけた
facial	顔の;顔用の / (マッサージや化粧品による)顔の手入れ
facile	《名詞の前にのみ用いて》たやすい,容易な,手軽な / 《名詞の前にのみ用いて》すらすら動く,軽快な,器用な,軽妙な / 愛想のよい,人のいい
facilitate	…を容易にする,楽にする,助ける,促進する
facilitation	(…を)容易にすること,促進させること《+『of』+『名』》
facility	〈U〉『容易さ』,便利さ / 〈C〉〈U〉(…の)能力,(…する)才能《+『in』(『for』)+『名』(do『ing』),『with』+『名』》 / 〈C〉便,便宜;《複数形で》(…のための)施設,設備《+for+名》
facing	〈U〉(壁などの)表面仕上げ,化粧張り / 〈U〉(衣服の)へり取り,へり飾り / 《複数形で》(軍服のえりやそで口につけ,兵種・職種を示す)縫い取り,定色
facsimile	(筆跡・絵画などの)正確な複写,模写
fact	〈C〉『事実』,実際にある(あった)事 / 〈U〉真相,真実(truth) / 《the~》(法律用語で)犯行
fact finder	(事件・もめ事の)実情調査員
fact of life	現実にある事,きびしい実情
faction	〈C〉派閥,徒党 / 〈U〉派閥争い,内紛
factious	派閥的な,党派心の強い
factitious	人為的な,人工の / 故意に作られた
factor	(…の)『要因』,(…を生み出す)要素《+『in』+『名』(do『ing』)》 / 因数,約数 / 代理人,《おもに英》仲買人 / =factorize
factorial	(数学で)階乗 / 階乗の;因数の
factorize,factorise	因数に分解する
factory	『工場』,製作所
factory farm	飼育農場(多数の家畜・家禽(かきん)を一匹ずつおりに入れ集中的に飼育,または卵・牛乳などの採取をする農場)
factotum	家事いっさいをやる使用人
facts of life	性や生殖の実態,性の知識
factual	事実の,事実に基づく
facula	(太陽表面の)白斑(はくはん)
faculty	〈C〉(…の)『才能』,能力《+『for』(『of』)+『名』(do『ing』)》 / 〈C〉(身体器官の)『機能』(function);(精神的)能力・〈C〉(大学の)『学部』 / (大学の学部の)『教授団』・(大学の)全教職員
fad	つかの間の熱中;一時的流行
faddish	一時的に熱中する(流行する),気まぐれな
fade	『衰える』,弱くなる;〈植物が〉『しぼむ』,しおれる / 『しだいに消えてゆく』,姿を消す《+『away』》 / …を衰えさせる;…の色をあせさせる / 〈映像・音〉をしだいに消えさせる
fade-in	フェードイン,溶明(音・映像が次第に明りょうになること)
fade-out	フェードアウト,溶暗(音・映像がしだいにぼんやりすること)
faded	しおれた色,色あせた,衰えた
fadeless	しおれない,衰えない;色あせない,不朽の
faeces	=feces
faerie,faery	妖精の国,仙境 / 妖精(fairy) / 妖精の
fag	〈仕事などが〉〈人〉を疲れさせる《+『名』+『out』,+『out』+『名』》 / へとへとになるほど働く;(…を)熱心にやる《+『away at』+『名』》 / 《英》(パブリックスクールで)上級生の雑用をする / 《おもに英》《a~》苦しくいやな仕事 / (パブリックスクールで)上級生の雑用をする生徒 / 巻きたばこ(cigarette) 男性同性愛者 おかま
fag end	くだらぬ切れ端,残りくず / (巻きたばこの)吸い殻
fagged	へとへとに疲れて
fagot,faggot	小枝の束,まき束 / そだ束 おかま 男性同性愛者 肉だんご / 《英》いやなやつ
