flesh wound	浅い傷,軽傷
flint	火打ち石;ライターの石
flint glass	(光学機械用)フリントガラス,鉛ガラス
flintlock	(昔の銃の)火打ち石式発火装置 / 火打ち石銃
flinty	火打ち石の;火打ち石の多い / 火打ち石のように堅い;残酷な,冷酷な(cruel)
flip	…をはじく,ぽんとほうり上げる,はじき上げる / …をくるっとひっくり返す《+『over』+『名,』+『名』+『over』》 / ぽんとはじける,ぐいと動く / 《俗》興奮してぴくっとする / はじくこと,ぱちんとひっくり返すこと / (言葉などが)軽薄な;生意気な / フリップ(ワインなどに砂糖・卵・香料を混ぜた飲み物)
flipflap,flipflop	《通例複数形で》つっかけ,サンダル / 《単数形で》パタパタいう音
flippancy	軽薄,不まじめ
flippant	軽薄な;不まじめな;生意気な
flipper	ひれ状の足(ウミガメの足,クジラの前ひれ,ペンギンの翼など) / 《複数形で》水泳用足ひれ
flipping	ひどい,すごい / ひどく,すごく
flipside	レコードの裏面(B面)
flirt	〈男女が〉ふざける;(…と)いちゃつく《+『with』+『名』》 / (考え・危険などを)もてあそぶ,(…に)おもしろ半分に手を出す《+『with』+『名』(do『ing』)》 / 浮気男(女)
flirtation	〈U〉(男女が)いちゃつくこと / 〈C〉浮気
flirtatious	(人・行動が)浮気心の,いちゃつく
flit	〈鳥・コウモリなどが〉すいすい(ひらひら)飛ぶ / 〈思い・表情などが〉かすめる / すいすい(ひらひら)飛ぶこと
flitch	塩づけしてくん製にした豚のわき腹肉
flivver	安い中古の小型車
float	(液体・気体に)『浮く』,浮かぶ / 《副詞[句]を伴って》漂うように移動する;ふわふわと動く / (眼前・心に)浮かぶ;〈うわさなどが〉広まる / 〈為替相場が〉変動する / 《副詞[句]を伴って》(水中・空中に)…を『浮かせる』,漂わせる / 〈会社・計画など〉を起こす;〈債券〉を発行する / 〈為替〉を変動相場制にする / 浮くもの(釣りのうき,いかだ,浮標,浮き袋,救命具など) / (パレードなどの)山車(だし),台車 / フロート(アイスクリームを浮かせた軽い飲みもの)
floatation	=flotation
floater	浮くもの(人);(住所,職などを)転々と変える人;浮動投票者
floating	浮かんでいる,浮いている / (生体の組織などが)遊離状態の / 流動的な
floating bridge	浮き橋,いかだ橋
floating debt	流動負債
floating dock	浮きドック
floating kidney	遊走腎(ゆうそうじん)
floating rib	遊離肋骨(最下の2対)
flock	〈C〉(同一種の動物,特に羊,ヤギ,鳥などの)『群れ』《+『of』+『名』》 / 〈C〉(…の)『群衆』,大勢(の…)《+『of』+『名』》 / 《集合的に》全キリスト教徒;キリスト教会;(牧師に対してその)教会員,会衆 / 『群がる』;群れをなして来る(行く)
floe	浮氷塊;(浮氷塊から割れた)浮氷片
flog	(特にこらしめのために)…をむち打つ
flogging	(体罰の)むち打ち
flood	〈C〉《しばしば複数形で》《単数扱い》『洪水』,大水;〈U〉(川の)はんらん / 〈C〉《a~》(…の)『はんらん』,殺到《+『of』+『名』》 / 《the F-》ノアの洪水(旧約聖書「創世記」) / 〈C〉『満潮』,上げ潮 / …を『あふれさせる』 / 〈人・物が〉…に『殺到する』,どっと押し寄せる / 〈川が〉はんらんする / (洪水のように)押し寄せてくる
floodgate	(水量の調節をする)水門
floodlight	投光照明;投光ランプ;フラッドライト / …を投光照明で照らす
floodplain	氾濫(はんらん)原(洪水を被りやすい平地)
floodtide	上げ潮(the rising tide)
floor	〈C〉『床』 / 〈C〉底,底面(bottom) / 〈C〉(価格の)最低限度 / 〈C〉『階』,層 / 《the~》議場,議員席 / 《the~》(議員などの)発言権 / (…で)…の床を張る《+『名』+『with』+『名』》 / …を床(地面)になぐり倒す(knock down) / 《話》〈問題・議論などが〉〈人〉を打ち破る,困惑させる(puzzle);〈ニュースなどが〉〈人〉をあ然(ぼう然)とさせる
floor cloth	床ぞうきん
floor exercise	床運動
floor leader	院内総務(上・下院で指導的な役割を果たす議員)
floor manager	(百貨店などの)売り場監督
floor shift	(自動車の)床に取り付けた変速ギヤ
floorboard	床板 / (自動車の)底板
flooring	〈U〉床材 / 《集合的に》床,床張り
floorshow	(キャバレーやナイトクラブなどでの)フロアーショー
floorwalker	(デパートなどの)売り場監督
floozy,floosy	《俗》はでな身なりのじだらくな女
flop	ばったりと倒れる,どさりと腰かける / パタパタ動く / 《話》失敗する / …をどさっと投げる / ばったり落ちる(倒れる)こと / どさっと落ちる音 / 《話》大失敗;失敗者
flophouse	安宿,簡易宿泊所
flopover	フロップオーバー(テレビの画像が上下に流れること)
floppy	だらりと垂れた
flora	(ある地方・時代の)植物群(相),全植物
floral	花の,花のような,花から成る
floral tribute	花束の贈り物
florescence	開花;開花期 / 盛り,繁栄期
floret	小さな花・キク科植物の小さな花
floriculture	草花栽培[法],花作り
florid	(人の顔が)赤らんでいる,血色のよい / (音楽・文体などが)華やかな,華麗な
florin	(1971年まで用いられた)英国のフロリン銀貨(2シリングに相当)
florist	花屋;草花栽培者
floss	(蚕のまゆの)けば / (刺しゅうに用いる)かま糸 / (とうもろこしの毛・綿花などの)絹綿状のもの
flossy	けばのような;軽くふわふわした
flotation	浮くこと,浮揚 / (債券などの)発行 / (会社などの)設立
flotation collar	宇宙船の着水安全装置(沈まないようにガスでふくらませた物)
flotilla	小型艦隊 / (…の)小艦隊《+『of』+『名』》 / (米海軍で)二つ以上の小艦隊(squadron)を含む戦隊
flotsam	(難破船からの)漂流物,浮き荷
flounce	(唐突に・いらだって)さっと出て行く;(興奮して)飛び出て(込む) / 唐突な(いらだった)体の動き / フラウンス(スカートのすそ,そで口などにつけるギャザーを寄せたひだべり飾り) / 〈スカート・ブラウスなど〉をフラウンスで飾る(縁どる)
