forefront	最前部,最前線
foretop	前檣(ぜんしょう)楼(フォアマストの下段にとりつけた半円形の足場)
forever	『永久に』,永遠に / 常に,絶えず
forevermore	常に,絶えず
forewarn	(…について)〈人〉に前もって知らせる《+『名』〈人〉+『of』+『名』》;〈人〉に(…であることを)前もって警告する《+『名』〈人〉+『that節』》
forewing	(四枚羽を持った昆虫の)前翅(し)
forewoman	(工場の)婦人職長
foreword	(特に他の人が著者を紹介する)はしがき,前書き
forfeit	『罰として失うもの』,(ある事の)『結果として失うもの』,罰金,没収物 / (罰・違反・行為の結果として)…を『失う』 / (罰として)(…に)没収された《+『to』+『名』》
forfeiture	(過失・罪などの罰として)(財産などの)没収,(名声などの)喪失《+『of』+『名』》
forfend	《廃》…を守る,防ぐ / 《古》…を避ける,妨げる
forgather, foregather	集合する,会合する(assemble)
forgave	forgiveの過去
forge	(かじ場の)炉 / かじ屋の仕事場;鉄工場 / 〈金属〉を鍛(きた)える;(…から)〈馬ていなど〉を鍛えて作る《forge+名+from(out of)+名》 / 〈計画など〉を作り上げる / 〈文書など〉を偽造する / ぐんぐん前に出る,どんどん進む
forger	偽造者
forgery	〈U〉〈C〉偽造 / 〈C〉偽造された物,にせ物
forget	…を『忘れる』 / …を『怠る』,に注意を払わない / …を置き忘れる / …を気に留めない,無視する / (…のことを)『忘れる』《+『about』+『名』(do『ing』)》
forget-me-not	ワスレナグサ
forgetful	忘れやすい,心に留めない
forging	偽造物,鍛造物
forgivable	(物事が)許される,許してもよい
forgive	〈人・罪など〉を『許す』,大目に見る / 〈義務など〉を免除する / 許す
forgiven	forgiveの過去分詞
forgiveness	(…を)許すこと,容赦《+『of』+『名』》 / 寛大さ
forgiving	寛大な
forgo, forego	…をなしで済ませる,断念する
forgot	forgetの過去
forgotten	forgetの過去分詞
forint	フォリント(ハンガリーの貨幣単位)
fork	(食卓用の)『フォーク』 / くま手,またぐわ / (川・道路などの)分岐点;別れ道,分流,分枝 / 〈干し草など〉をくま手でかき上げる(刺す) / (川・道路・枝などが)分岐する / 〈人が〉(左右の)別れ道をとる
forked	二またに分かれた,分岐した
forked lightning	叉(さ)状電光
forkful	フォーク一杯,一本のフォークにのる量
forklift	フォークリフト(貨物持ち上げ機)
forlorn	見捨てられた / (外観・状態が)みじめな,哀れっぽい
forlorn hope	成功の見込みのない計画(試み) / 危険な企て
form	〈C〉〈U〉(色・材質に対して)『形』,形状,姿 / 〈C〉『人体』,体つき / 〈C〉〈U〉『外観』,格好,人影 / 〈C〉〈U〉(ものの現れる)『形態』,形式 / 〈C〉(生物などの)『種類』,品種 / 〈U〉(芸術作品の)表現形式 / 〈U〉(特にスポーツで)(競技者の)フォーム / 〈U〉(心身の)調子,元気 / 〈C〉(印刷された)書き込み用紙,ひな形 / 〈U〉《話》(ある集団などの)やり方,仕方,方式 / 〈C〉〈U〉しきたり,伝統的な儀式 / 〈C〉(英国の学校・米国のある学校で)学年,学級 / 〈U〉〈C〉(意味に対する)形態,形;語形 / 〈C〉(通例寄りかかりのない)長い木のいす / 〈素材〉に形を与える,(…に)…を形作る《+『名』+『into』+『名』》 / (素材から)…を形作る《+『名』+『out of』+『名』》 / …を組織する,構成する / 〈考えなど〉をまとめる,思い付く;〈計画など〉を立てる / 〈習慣など〉を身に付ける;〈交際など〉を結ぶ / 〈文章など〉を組み立てる;〈複数形など〉を作る / (ある順序に)配列する,整列させる / 〈物が〉形を成す / 生じる,現れる / (…に)なる《+『into』+『名』》
form letter	(印刷またはタイプした)同文の手紙(住所と氏名を書き加えればよいもの)
formal	『正式の』,公式の,本式の / 形式ばった;改まった / 形式的な,表面的な
formaldehyde	ホルムアルデヒド(消毒剤・防腐剤,またプラスチック製品の材料)
formalin	ホルマリン(ホルムアルデヒドの水溶液;消毒・防腐剤)
formalism	(特に芸術・宗教の)形式主義
formality	〈U〉形式的であること,儀式ばること / 〈C〉《通例複数形で》正式な手続き / 〈U〉礼儀正しさ,丁重さ / 〈C〉慣習,儀礼;形式的なこと,形だけのこと
formalization,formalisation	形式化,具体化
formalize,formalise	〈取り決めなど〉を正式なものにする;〈協約など〉を明確なものにする / …を儀式ばらせる
format	(書籍の)体裁,型,判 / (ラジオ・テレビ番組などの)構成
