fagoting,faggoting	束つなぎ
falconry	タカ狩り(hawking);(タカ狩り用の)タカ訓練法
fall	《しばしば副詞[句]を伴って》『落下する』,落ちる / 〈人・物が〉『倒れる』《+『down』(『over』)》 / 傷ついて倒れる,倒れて死ぬ / (…まで)垂れ下がる,〈道などが〉下降する《+『to』+『名』》 / 〈目・顔などが〉下を向く,うつむく,沈む / 〈暗やみ・静けさなどが〉(…に)たれ込める;〈災害・責任・病気・眠けなどが〉(…に)降りかかる《+『on』(『upon, over』)+『名』》 / 〈程度・数量・値段などが〉(…まで)『下がる』,減少する《+『to』+『名』》 / 誘惑に負ける,墜落する / (勢力・威信・人望などを)失う《+『from』(『in』)+『名』》 / 〈政権などが〉倒れる,〈要塞などが〉陥落する;(…の手に)落ちる《+『to』+『名』》 / 『なる』,陥る / 〈時・事が〉(…に)当たる,起こる,(しかるべき位置に)来る《+『on』(『upon』)+『名』》 / 〈光線・視線などが〉(…に)向けられる《+『on』(『upon』)+『名』 / (…に)分かれる《+『into』+『名』》 / 〈言葉などが〉(…から)漏れる《+『from』》 / 〈C〉(…から)『落ちること』,落下《+『from』+『名』》;(…への)落下《+『to』(『toward』)+『名』》 / 〈C〉(雨・雪などの)降った量《+『of』+『名』》 / 《複数形で》《固有名詞としては単数扱い》滝 / 〈C〉(…から…までの)落差《+『from』+『名』+『to』+『名』》 / 〈C〉倒れること,転倒 / 〈C〉(程度・数量・値段などの)下落,減少,衰退《+『in』+『名』》 / 《単数形で》(…の)陥落,崩壊《+『of』+『名』》 / 〈U〉堕落 / 〈C〉傾斜 / 『秋』(autumn)
fall guy	罪をかぶるもの,身代り;だまされやすい人,かも
fall line	瀑布(ばくふ)線(いくつもの川が滝となる地点を結んだ線)
fallacious	誤りのある,不合理な / 人を惑わせる,当てにならない
fallacy	〈C〉間違った考え,誤信 / 〈U〉誤った議論(論理)
fallen	fallの過去分詞 / (高い所から)落ちた / 堕落した,名を汚した / (国・町などが)滅びた,廃墟となった,陥落した / (特に戦闘で)死んだ
fallibility	誤りやすさ
fallible	(人が)誤りを犯しがちな,誤りやすい
falling star	流星,流れ星
falling-out	けんか,仲たがい
falloff	減少,衰退
fallopian tube	らっぱ管,[輸]卵管
fallout	(核爆発による)放射性降下物,原子灰,死の灰 / 脱落者の,落後者の
fallow	(土地が)休閑中の / 休閑地
fallow deer	ファロージカ,ダマジカ(ヨーロッパ産の小型のシカ)
false	『正しくない』,誤った / 『本物でない』,作りものの(artificial) / 人を誤らせるような,人を惑わせる(deceptive) / 信頼を裏切る,不実な / うそを言う,正直でない / だまして
false alarm	にせの火災通報 / 虚報,誤報
false bottom	(物を隠すための箱などの)上げ底,二重底
false pretenses, false pretences	詐欺行為(罪)
false start	フライング(競技での早すぎたスタート) / (物事での)誤った着手,つまずき
false teeth	=dentures
false-hearted	不実な,不忠実な
falsehood	〈C〉偽りの陳述;うそ(lie) / 〈U〉虚偽 / 〈C〉誤った考え(信念)
falsetto	〈U〉(特に男性歌手の)ファルセット,裏声,仮声 / 〈C〉裏声の歌手
falsies	パッド(胸を豊かに見せるためブラジャーの中に入れるもの)
falsification	(書類などの)偽造;(事実などの)ごまかし / 虚偽の申し立て
falsify	〈書類など〉に不正に手を加える,を偽造する / 〈事実〉を誤り伝える,ゆがめる / うそを言う
falsity	〈U〉真実でないこと / 〈C〉うそ,にせもの,裏切り
faltboat	折りたたみ式小型ボート
falter	『ためらう』,たじろぐ / ためらいながら話す,口ごもる / よろめく,つまずく
falteringly	ためらって,口ごもりながら
fame	『名声』,高名,声望 / 評判,世評
famed	名高い;(…で)有名な《+『for』+『名』》
familial	家族の,家族特有の / 遺伝的な,血統にあらわれる
familiar	(物事が)『よく知られている』;見慣れた,聞き慣れた / 《補語にのみ用いて》(物事を)『よく知っている』,(…に)精通している《+『with』+『名』》 / (人が)『親しい』,親密な / (文体などが)くだけた,打ち解けた / (…に)なれなれしい,ずうずうしい《+『with』+『名』》 / 親友 / 使い魔,使いの精(魔法使い・魔女などの召使い;小悪魔)
familiarity	〈U〉(物事を)『よく知っていること』,精通していること《+『with』+『名』》 / 〈U〉(人に対する)親しさ,親密さ《+『with』+『名』》 / 〈U〉なれなれしさ,ずうずうしさ / 《しばしば複数形で》なれなれしい言動
familiarize,familiarise	(…に)〈人〉を慣れ親しませる《『familiarize』+『名』+『with』+『名』(do『ing』)》 / 〈物事〉を広める,普及させる
family	《集合的に》『家族』,家庭 / 〈U〉《時にa family》(一家の)子供たち / 〈C〉(血縁に関係ある)『親族』,身内,一族,一門 / 〈U〉『家柄』;(特に)名門 / 〈C〉(関係ある人・物の)一団,一群,(生物分類の)科《+『of』+『名』》
family allowance	家族手当(子どものある家庭に対し支給される)
family circle	身内の人々,内輪
family name	=last name
family tree	家系図
famine	『ききん』 / (物の)ひどい不足,大欠乏
famish	…を飢えさせる / 飢える
famished	飢えた
famous	『有名な』,名高い / 《話;ややまれ》すばらしい,すてきな
famously	すばらしく,すてきに,たいへんうまく
fan	『うちわ』,扇 / (クジャクのしっぽなど)扇状のもの / 『扇風機』,送風機 / 〈空気〉をうちわなどで動かす,〈風〉を起こす / (うちわなどで)…に風を送る,をあおぐ / (そよ風などが)…に吹きつける,をなでる / 〈感情など〉をあおる,かき立る / …を扇形に広げる / (野球で)〈打者〉を三振させる / 扇形に広がる《+『out』》 / (野球で)三振する / 『ファン』,熱心な愛好者(支持者)
fan belt	ファンベルト(自動車のエンジン冷却器を回すためのベルト)
fan club	ファンクラブ(特定の芸能人などのファンの集まり)
fan mail	ファンレター
fanatic	『狂信者』,熱狂的愛好者 / =fanatical
fanatical	狂信的な,熱狂的な
fanaticism	〈U〉〈C〉狂信,熱狂 / 〈C〉狂信(熱狂)的行為
fancier	(動植物の)飼育(栽培)者 / 愛好家
