firsthand	直接の,じかに得た / 直接に,じかに
fission	〈U〉〈C〉(社会・組織などの)分裂 / 〈U〉(細胞の)分裂,分体 / 〈U〉(原子の)核分裂
fissionable	(原子が)核分裂を起こす,核分裂性の
fissure	(細長い)裂け目,亀裂(きれつ)(crack)
fist	『握りこぶし』,げんこつ
fistful	一握り,一つかみ(の…)(handful)《+『of』+『名』》
fisticuffs	げんこつでのなぐり合い
fistula	瘻(ろう)管(長い管状になった潰瘍)
fit	『適した』,適切な,ぴったりの / 《補語にのみ用いて》よい調子で;健康で / 《be fit to do》いまにも…しそうである《explode,burst,fall,dropなど危険な意 / を含む動詞と共に用いる》 / 〈意図・目的など〉に『合う』,ふさわしい / (…に)…を『合わせる』,はめ込む,取り付ける《+『名』+『to』(『into,in,on』)+『名』》;(…を)…に合わせる《+『名』+『with』+『名』》 / 〈人〉に資格をつける,を適させる / 適する,合う(服・靴などの)でき具合;体に合うもの / 〈U〉適合,対応 / (病気の)『発作』 / (感情などの)『一時的な爆発』《+『of』+『名』》
fitful	発作的な;気まぐれな
fitment	備えつけの家具,備品
fitness	(…を)適性,ふさわしさ《+『for』+『名』》 / 体調の良いこと
fitted	《補語にのみ用いて》(…を)付いた,(…を)装備した《+『with』+『名』》 / 《名詞の前にのみ用いて》よく合う,適している,ぴったりした
fitter	(衣服の)仮縫いをする人 / (機械などの)組立て工
fitting	適切な / 〈U〉(機械などの)組立て / 仮縫いを着てみること / (組み立てる)部品,付属品 / 《通例複数形で》家具,調度品;備品,設備
five	〈C〉(数の)『5』;5の記号(5,Vなど) / 〈C〉5時,5分;5歳 / 〈U〉《複数扱い》5人,5個 / 〈C〉5人(5個)1組のもの / 〈C〉(カードの)5の札 / 『5の』,5個の;5人の / 《補語にのみ用いて》5歳の(で)
five-and-dime	=five-and-ten
five-and-ten	10セントストア(もとは5セントか10セント均一の雑多な商品を売っていた;現在はsupermarket方式の店もある)
five-and-ten-cent store	=five-and-ten
five-day week	週5日制,週休2日制
five-o'clock shadow	5時の影(朝そったひげが夕方に伸びてできる顔の陰影)
fivefold	5倍の,5重の / 5倍に,5重に
fiver	5ドル紙幣;《英話》5ポンド紙幣
fives	ファイブズ(三方を囲んだ壁に手またはバットでボールを打つゲーム)
fix	(…に)…を『固定する』,取り付ける《+『名』+『in』(『on, to』)+『名』》 / …を『決める』,定める / (…に)…を向ける《+『名』+『on』(『upon』)+『名』》 / (…に)…を置く,据える《+『名』+『in』(『on』)+『名』》 / 《米》…を『修理する』,直す / 《話》…を整とんするも,きちんと整える / 〈流行・型など〉を定着させる;〈写真のネガ〉を定着する / 《話》〈試合〉を八百長に仕組む / 《米》〈食事〉を用意する,〈食べ物・飲み物〉を作る / 《俗》…に仕返しする / 《話》苦境,窮地 / (船舶・航空機の)位置の決定 / 《俗》麻薬の注射する;注射する麻薬[の量]
fixation	固定,固着 / (…に対する)愛着,執着《+『on』+『名』》 / (写真のネガの)定着;(染料の)色留め
fixative	固着(固定)性の / (染色・絵画などの)色留め剤,定着液
fixed	『固定した』,据え付けの / (視線などが)動かない / 確定した,変動しない / 八百長の
fixed odds	(人数に左右されない)固定賭け率
fixed satellite	固定人工衛星(常に地球の特定地点の上にいる衛星)
fixed star	恒星
fixedly	しっかりと固定して;動かさないで
fixer	八百長を仕組む人 / 裏取引をする人 / (写真の)定着液
fixings	(部屋などの)設備,装飾品,備品
fixity	〈U〉固定[性],定着[性] / 〈C〉固定物,定着物
fixture	(住宅などに取り付けた)付属設備 / (同一職業・地位などに)長く留まっている人 / (一定の期日に行われる)競技[種目]
fizz	シューシュー(パチパチ)音をたてて発泡する / シューと発泡する音 / 《米》(シャンペン・ソーダ水など)発泡性飲料;フィーズ
fizzle	(消え入りそうな)シューという音をたてる / 《話》しりすぼみになる《+『out』》 / 〈C〉〈U〉(…の)かすかにシューシューという音《+『of』+『名』》 / 〈C〉《話》失敗,しくじり
fizzy	泡立つ
fizzy lemonade	レモンスカッシュ(lemon squash)
fjord	=fiord
fl.	florin / fluid / flourished
fl.oz.	fluid ounce
flab	筋肉などのたるみ(ゆるみ)
flabbergast	…をびっくり仰天させる
flabby	(筋肉などが)たるんだ,締まりのない / (人・性格などが)気力のない,だらしない,締まりのない
flaccid	(筋肉などが)たるんだ / (人・性格などが)気力(覇気)のない,柔弱な
flack	=press agent / =flak
flacon	(栓付きの)小びん
flag	(国家・団体などを象徴する)『旗』;(信号用の)旗 / …に旗を立てる,を旗で飾る / 〈人・車など〉に旗(手)を振って止める《+『名』+『down』,+『down』+『名』》 / 刀状の葉をした植物の総称;ショウブ,アヤメなど / その花 / だらりと垂れる;〈植物が〉しおれる / 〈興味などが〉衰える;〈人が〉元気をなくする / =flagstone / 〈道路〉を敷き石(板石)で舗装する
flag day	〈C〉《英》旗の日(小さな紙の旗を売り基金を集める) / 《F- D-》(米国の)国旗制定記念日(1777年6月14を記念)
flag of convenience	(船の)便宜置籍国の旗(商船などが税金のがれのために船籍を移した他国の国旗)
flag-waving	愛国心の誇示,愛国的扇動
flagella	flagellumの複数形
flagellant	(宗教的修養のために)自分にむちうつ人,苦行者
flagellate	鞭毛(べんもう)のある;鞭毛状の / …をむち打つ
flagellation	むち打つこと
flagellum	(バクテリアなどの)鞭毛(べんもう) / むち
flageolet	フラジョレット(小型の縦笛式木管楽器)
flagitious	破廉恥な,極悪非道の,凶悪な
flagman	信号旗手,(踏切の)信号手
flagon	(食卓用または聖餐(せいさん)式用)細口びん / 大型のぶどう酒びん
flagpole	旗ざお
flagrancy	破廉恥,極悪非道さ
flagrant	あからさまに悪い(ひどい),極悪非道の,名うての
flagrante delicto	現行犯で
flagship	旗艦(将官旗を掲げた司令官の乗っている軍艦)
flagstaff	=flagpole
flagstone	(敷き石用の)板石,敷き石
flail	からざお(さおの先端に自由に動く板をつけた昔の脱穀機具) / 〈穀物〉をからざおで打つ / 〈腕など〉を振り回す
flair	(…に対する)眼識,能力,才能《+『for』+『名』(do『ing』)》
flak	対空砲[火] / 非難攻撃
flake	(…の)『薄片』,(はげ落たち)一片;(雪・雲・羽毛などの)一片,ひとひら《+『of』+『名』》 / 〈雪などが〉ちらちら降る / (…から)…を薄くはがす《+『名』+『from』(『off』+『名』)
