fatherless	父のない,父親の分からない / 作者不詳の
feather	(1枚の)『羽』,羽毛 / 羽毛のように軽い(弱い,小さい,つまらない)もの / …に羽毛を付ける;…に羽飾りを付ける / (ボートをこぐとき)〈オール〉を水平に返す
feather boa	=boa 2
feather duster	羽ぼうき,羽ばたき
featherbed	〈仕事〉を水増し雇用で行う・フェザーベッディングの・水増し雇用を要求する / 羽毛の入った敷きぶとん
featherbedding	〈U〉不要な労働力の雇用慣行 / 過剰人員確保《経済・労働用語》
feathered	羽毛のある,羽毛の生えた
featheredge	羽のように薄くなった端(へり)
featherweight	(ボクシング・レスリングの)フェザー級の選手(体重118‐126ポンド(53.5‐57キロ)) / とても軽い人(物);取るに足らない人(物) / フェザー級の;とても軽い;つまらない
feathery	羽の生えた,羽でおおわれた / 羽のような,柔らかい,軽い
feature	顔の造作の一つ(目・耳・鼻・口など) / 《複数形で》『容ぼう』,目鼻だち / 『特徴』,特色 / (ラジオ・演芸などの)『呼び物』;(店の)目玉商品;(新聞・雑誌の)特別読み物;(映画の上映番組の中で呼び物の)長編映画 / …の『特色をなす』 / …を特種にする,呼び物にする,目玉商品にする / 〈俳優〉を主演させる / 重要な役割を演ずる
featureless	特徴(特色)のない,おもしろくない,平凡な
feaze	=faze
febrifuge	解熱作用のある / 解熱剤
febrile	発熱性の,熱病の
fec.	fecit(ラテン語)(昔,作品の作者名にそえて)…作,…筆(=he(she) made it)
fecal	大便の
feces	ふん便(《英》faeces)
feckless	(人が)無気力な,思慮に欠ける,軽率な,無責任な
fecund	よく実る,多産の(productive),(土地が)肥えた(fertile) / 創造力に富んだ,(創造力が)豊かな
fecundate	…を肥沃(ひよく)にする,実らせる / …を受胎(受精)させる
fecundity	多産,肥沃 / 豊かな創造力,(創造力の)豊かさ
fed	feedの過去・過去分詞 / 連邦政府役人
fed up	うんざりして,がっかりして,不愉快な
fed.	federal / federated / federation
fedayeen	(特に反イスラエル運動している)パレスチナのゲリラ隊
federal	(国・州などが)『連邦の』,連邦制の / 《F-》『米国連邦国家の』,米国国家の / 《F-》(南北戦争当時の)北部同盟の / (南北戦争当時の)北部同盟支持者,北軍兵
federalism	連邦制度,連邦主義;《F-》(米国初期の)連邦党の主張
federalist	連邦主義者;《Federalist》(米国初期の)連邦党党員
federalize,federalise	…を連邦政府の支配下におく / …を連邦にする,統合させる
federate	…を連邦制度にする;…を連合させて(…を)作る《+『名』+『into』+『名』》 / 連邦化する,連合する
federation	〈C〉連合,連盟 / 〈C〉連邦制度;連邦政府 / 〈U〉連邦にすること
fedn.	federation
fedora	フェドーラ(へりのそったフェルト製の中折れ帽)
fee	〈C〉(弁護士などの専門家に払う)(…に対する)『料金』,謝礼,報酬,手数料《+『for』+『名』》 / 〈U〉(封建時代に領主から与えられた)領地,封土 / …に料金を払う,謝礼する
fee-paying	(学校などが)納付金(料金)を必用とする / (人が)納付金(料金,謝礼)を払っている
feeble	(人・身体などが)『弱々しい』,虚弱な(weak) / (知的・道徳的に)弱い,低能な,薄弱な / (音・光などが)かすかな / (勢い・効果などを欠いて)弱々して,迫力のない
feebleminded	精神薄弱な,低能の / 意志の弱い
feebly	弱々しく;かすかに
feed	〈人・動物〉に『食物を与える』,を養う;《英》(…で)〈人・動物〉を育てる,飼育する《+『名』+『on』+『名』》 / 《米》(人・動物に)〈食物〉を与える《+『名』+『to』+『名』》 / 〈食物が〉…の食事となる,をまかなう / (必要なものを)…に供給する《+『名』+『with』+『名』》 / (…に)〈必要なもの〉を供給する,送り込む《+『名』+『into』(『to』)+『名』》 / 〈動物が〉食べる,《話》〈人が〉食べる / 〈U〉『飼料』,えさ;〈C〉1回分の飼料 / 〈C〉《話》《単数形で》食事;ごちそう
feedback	フィードバック(電子工学で,ある回路の出力側のエネルギーの一部を入力側へ戻し,出力の制御,修正をすること;社会学・心理学・生物などで,結果によって原因を自動的に調整する動作) / 《話》(…についての)反応《+『about』+『名』》
feedbag	(馬の首にかける)えさ袋,かいば袋(《英》nosebag)
feeder	《修飾語を伴って》食う動物 / 飼養者;哺乳(ほにゅう)びん;えさ箱 / 支流,(鉄道・航空路などの)支線 / 材料供給装置,送り装置 / よだれ掛け
feeding bottle	哺乳(ほにゅう)びん
feedlot	(家畜を屠殺する前に飼料で太らせるための)飼育用地
feedstuff	飼料,えさ
feel	(手・指で)…に『触れる』,触って調べる / (身体で)…を『感じる』(進行形にできない) / (心で)…を『感じる』,意識する / 〈事件・状況など〉で苦しむ,から打撃を受ける(進行形にできない) / …と『思う』,堅く信じる,悟る / …が分かる / 感覚がある,(感触として)感じる / 〈人が〉『感じる』,思う / 《『feel』+『形』》〈物が〉(…の)『感じがする』,(…の)手触りがする / (…を)探る,手探りする《+『around』(『about』)『for』(『after』)+『名』》 / (物のもつ)感触,手(膚)触り / 感じ,気配,ふんい気 / (生まれつきの)感知力,勘 / (…に)触ること《+『of』+『名』》
feeler	《通例複数形で》(動物の)触角,触手,触毛 / 〈C〉(相手の意向を知るための)探り
feeling	〈U〉(身体の)『感覚』,触覚 / 《a feeling, the feeling》(…の)感じ,意識《+『of』+『名』(do『ing』)》 / 〈U〉(…に対する)同情,共感《+『for』+『名』》 / 《複数形で》(理性に対して)『感情』,気持ち / 《a feeling, the feeling, one's feeling》(しばしば感じに基づく)意見,感想 / 〈U〉(悪い意味で)興奮 / 感じやすい;情のこもった
feet	footの複数形
