ft-lb	foot-pound, foot-pounds
fundamental	『基本的な』,基礎の / 《補語にのみ用いて》(…に)絶対に必要な《『to』+『名』》 / 《名詞の前にのみ用いて》本質的な / (…の)基本,根本,原理《+『of』+『名』》
fundamentalism	根本主義(聖書の記述を歴史的真実と信じ,進化説を認めない主義)
fundamentalist	根本主義者 / 根本主義の
fundamentally	基本的に;本質的に
funeral	『葬式』,葬儀,告別式 / (死者を送る)葬列 / 葬式の,葬儀の
funeral director	葬儀屋
funeral home	葬儀場; ・ 斎場・遺体安置所
funeral parlor,funeral parlour	=funeral home・葬儀場; ・ 斎場・遺体安置所
funeral pile	(火葬用の)積みまき
funerary	葬式の,埋葬用の
funereal	『葬式の』 / しめやかな,悲しげな,陰気な
funfair	移動式遊園地 / =amusement park
fungicide	殺菌剤
fungoid	=fungous
fungous	菌の,菌性の,菌による,菌のような / 突然生じる;急に広がる
fungus	菌(葉緑素が無く,他の生物の有機物に依存しているキノコ,カビなど)
funicular	ケーブルカー / ケーブルの,ケーブルで動く
funk	《a ~》《話》おじけ / おくびょう者 / 〈物事〉におじけづかせる / 怖がる,しりごみする
funky	(ジャズ音楽が初期の)素朴さのある / 《俗》上等の
funnel	じょうご / (機関車・汽船などの)煙突 / …に注ぐ / …をじょうご形にする / 狭い所を通り抜ける
funnies	続き漫画;(新聞の)漫画欄
funnily	おかしく,こっけいに
funny	『おかしい』 / 変な,妙な;疑わしい,怪しげな / 《話》《補語にのみ用いて》気分が悪い,ぐあいが悪い
funny bone	くすぐったい骨(ひじの内側の部分;たたくとびりっと感じる)
funny business	不正行為,いんちき / ばかげたふるまい
funny farm	精神病院(mental hospital)
funny ha-ha	おもしろおかしい,楽しい
funny money	にせ金 / 出所不明の金
funny-peculiar	おかしな,奇妙な
fur	〈U〉(ウサギ・ミンク・キツネなどの柔らかな)『毛皮』 / 《集合的に》柔らかな毛をした動物 / 〈C〉《しばしば複数形で》(外とう・えり巻きなどの)『毛皮製品』;(服装用の)毛皮 / 〈U〉(舌にできる)舌ごけ / 〈U〉(やかんなどにつく)湯あか / 〈衣服〉に毛皮の裏(へり)をつける / 〈舌〉に舌ごけをつける / 〈やかんなど〉に湯あかをつける
