opprobrium	不名誉 / 非難,悪口
orchestra	『オーケストラ』,管弦楽団 / オーケストラの楽器一式 / (またorchestra pit)(劇場の)オーケストラ席(舞台と客席の間に一段低く設けられている) / 《米》(劇場の1階前方の)上等席;1階[席]
orchestra pit	=orchestra 3
orchestral	オーケストラの,管弦楽団の(による)
orchestrate	…をオーケストラ用に作曲(編曲)する / (努力・材料など)を結集する,編成する,整える
orchestration	管弦楽作曲法 / 調和のとれた編成
orchid	〈C〉ラン;ランの花 / 〈U〉薄紫色(bluish-purple) / 薄紫色の
ord.	order / ordnance
ordain	…を聖職(牧師)に任命する;(聖職などに)〈人〉を任命する《+『名』〈目〉+『名』〈補〉》 / 〈法律また神・運命などが〉…を定める,規定する
ordeal	〈C〉(…にとっての)きびしい試練,試金石《+『for』+『名』》 / 〈U〉試罪法(古代チュートン民族で過酷な試練を課して罪の有無を決めた裁判法)
order	〈C〉《しばしば複数形で》『命令』,指図,指令 / 〈U〉(物事の)『順序』,順番 / 〈U〉(自然界の)『秩序』 / 〈U〉(社会の)治安,秩序 / 〈U〉整頓(せいとん)された状態,きちんとしていること《good,badなどを伴って》(一般に物事の)調子, 状態 / 〈U〉(商品などの)『注文』《+『for』+『名』》 / 〈C〉注文品 / 〈C〉(レストランなどでの料理の)一盛り / 〈C〉種類,等級,品質(kind, sort) / 〈C〉(動植物分類の)目(もく) / 〈C〉聖職者の階級;《複数形で》聖職 / 〈C〉《しばしばO-》教団,教派;(ある特殊な)社会 / 〈C〉《しばしばO-》勲位,勲章 / 〈C〉(古代ギリシアの)建築様式,様式 / …を『命令する』,指図する;〈人〉に命令する / 《方向を表す副詞[句]を伴って》〈人〉に行くように命じる / 〈商品など〉を『注文する』;…をあつらえる / …を整頓(せいとん)する,きちんとする / 命令する;注文する
order book	注文控え帳
order of the day	〈C〉《通例the~》(集会などの)議事日程 / 〈U〉《the~》(ある時期の)最大の関心事,風潮
order paper	(特に下院の)議事日程表
ordered	整然とした,規則正しい
orderliness	秩序(順序)正しさ,行儀よいこと
orderly	整頓(せいとん)された,整然とした / 行儀のよい,秩序を守る / 当番兵;従卒 / (病院の)雑役夫
ordinal	順序を示す,順序の / 序数
ordinal number	序数(first,second,thirdなど)
ordinance	(市または町で作る)条例,法令
ordinand	司教(司祭)の志願者,聖職位志願者
ordinarily	たいてい,通常(usually) / 普通程度に,人並みに
ordinariness	普通,平凡なこと
ordinary	『いつもの』(usual) / 『普通の』,平凡な
ordinary seaman	二等水夫(商船で最下位の船員;《略》『O.S.』)
ordinate	縦座標
ordination	聖職授任式 / 聖職授任
ordnance	《集合的に》軍需品(武器・弾薬などを含む) / 軍需部
ordure	《遠回しに》糞(ふん),排せつ物・《文》汚れ,ごみ・汚物;みだらなこと[言葉]
ore	鉱石,原鉱
oregano	オリガノ(香辛料をとる植物)
org.	organic / organization / organized
organ	『オルガン』,パイプオルガン(pipe organ),リードオルガン(reed organ),電子オルガン(electronic organ),手回しオルガン(barrel organ) / (動植物の)『器官』 / (政党・会社などの)機関誌,機関紙 / 《しばしば複数形で》(行動・実施などの)組織,機関
organ grinder	(大道の)手回しオルガン奏者
organ loft	オルガン席(教会などのパイプオルガンを設置する上階)
organdy, organdie	オーガンディー(薄い綿布;ブラウス・カーテン用)
organic	有機体の,生物の,生物から生じた / (動植物の)器官の / 有機肥料を用いる(を用いて育った)・有機的な,組織的な,系統的な・有機質の
organic chemistry	有機化学
organically	有機的に,組織的に
organism	有機体,生物 / (国家・社会などの)有機的組織体
organist	オルガン奏者
organization,organisation	〈U〉『組織化』,編成 / 〈U〉(ある集合体の)『組織』,構成 / 〈C〉(ある目的・仕事のために組織された)『団体』,組合,協会
organizational	組織上の,構成上の
organize,organise	〈物事〉を『系統だてる』,組織的にまとめる / 〈団体など〉を『組織する』,編成する / 〈従業員〉を労働組合に組織する / 〈会社など〉に労働組合を作る / (労働組合などの)団体を組織する;団体に加入する
organized	組織された / (労働者が)組織化された
organizer	組織者;設立者;(組合の)オルグ
organza	オーガンザ(薄いレーヨン・ナイロン・絹の平織物)
orgasm	オルガスム,性交での絶頂感
orgasmic	オルガスムの
orgiastic	飲めや歌えの,どんちゃん騒ぎの,羽目をはずした
orgy	〈C〉乱交パーティー / 〈C〉どんちゃん騒ぎ / 《複数形で》(古代ギリシア・ローマの)酒神Dionysus(Bacchus)の秘密祭
oriel	(壁から外に突き出た)張り出し窓,出窓
orient	(新しい環境などに)〈人〉を適応させる,慣れさせる《+『名』+『to』+『名』》 / …の位置を確定する / (ある方向に)…を向ける / 東方の / (太陽・月が地平線から)昇る,現れる
orientalist	東洋学者,東洋に通じた人
orientate	=orient
orientation	〈C〉(新入生などへの)オリエンテーション / 方向 / 向き / 方位 / (思想・態度などの)方向性 / 志向 / 生活指導・順応訓練
