off-hour	暇な時間,休憩時間 / 人混みの多くない時間[帯]
offset	(…を)相殺(そうさい)するもの,(…の)埋め合わせ《+『to』(『for』)+『名』》 / (地面に近い幹から出る)側枝,横枝 / =offset printing / …を埋め合わせる,相殺する / …をオフセット印刷する
offset printing	オフセット印刷
offshoot	(樹木の幹から出た)分枝 / (一般にある源から)分かれたもの;分家,分派,(山の)支脈;(鉄道の)支線
offshore	沖に向かう / 沖合いの / 沖へ向かって / 沖で,沖合いで
offside	オフサイドの(フットボールで選手がボールをもつ味方よりも前に出たり,ホッケーなどで規定の区域よりも前に出たりする反則行為についていう) / 《おもに英》(馬や馬車の)右側の / オフサイド
offspring	《単数・複数扱い》(人間や動物の)『子;子孫』 / (…から)生じたもの,(…の)結果,所産《+『of』+『名』》
offstage	舞台裏の / 舞台を離れて
oft	しばしば(often)
often	『しばしば』,たびたび,よく / 何度,何回
oftentimes	=often
ofttimes	=often =oftentimes
ogle	…に色目をつかえ,秋波を送る / (…に)秋波を送る《+『at』+『名』》 / 〈C〉《単数形で》色目,秋波
ogre	(童話・伝説などに出てくる)人食い鬼 / 酸酷な人,野蛮な人
ogress	(女の)人食い鬼 / 酸酷な女,野蛮な女
oh	《喜び・驚き・失望などを表して》『おお』,ああ,まあ
ohm	オーム(電気抵抗の単位;記号Ω)
ohmmeter	オーム計,電気抵抗計
oho	(驚き・嘲笑・喜びなどを表して)おお,ほほう,ふーん
oil	〈U〉〈C〉『油』;油状物 / =petroleum / 《複数形で》=oil paint / =oil painting / …に油を塗る,油を引く,油を差す
oil color	=oil paint
oil paint	油絵の具
oil painting	〈C〉油絵 / 〈U〉油絵画法
oil palm	油ヤシ(西アフリカ・ブラジル産のヤシでその実からヤシ油が採れる)
oil shale	油頁(ゆけつ)岩,油母頁岩・オイルシェール
oil slick	(水面に浮遊する)油膜
oil tanker	石油タンカー
oil well	油井(ゆせい)
oil-bearing	(地層などが)石油を埋蔵(含有)している
oil-fired	(セントラルヒーティングなどが)重油(石油)式の
oilcake	(飼料用)油かす
oilcan	油のかん;油差し
oilcloth	油布(油を施した厚い防水布;テーブルに掛けたり床に敷く)
oiled	油を差した(しみ込ませた) / 《俗》酒に酔った(drunk)
oilfield	油田
oilman	油井経営者,製油業者;油商人,油屋
oilrig	海底油田掘削機
oilskin	〈U〉油布,防水加工生地 / 〈C〉レインコート;《複数形で》防水服上下
oily	油の;油のような / 油をひいた,油っぽい,油まみれの / (話し方・態度などが)いやに巧みな,おじょうずな
oink	豚の泣き声 / 〈豚が〉ブーブー泣く
ointment	軟こう,こう薬
okapi	オカピ(アフリカ産;キリンに似る)
okay	=OK,O.K.
okeydoke,okeydokey	=OK
okra	オクラ(アオイ科の植物;粘りけのあるさやを食用にする) / (またgumbo)《集合的に》オクラのさや
old	『年とった』,老齢の / 『年上の』,年長の / 『ある年月』(『年齢』)『の』,…歳の / (物事が)『古い』,古くさい,新しくない / 《名詞の前にのみ用いて》『昔なじみの』,昔なつかしい / 《名詞の前にのみ用いて》『古代の』,大昔の / 《名詞の前にのみ用いて》(現在に対して)以前の,もとの / (衣服など)使い古した / (人が)経験のある,老練な / 《話》《呼び掛けで親しみなどをこめて》 / 《話》《名詞の前にのみ用い,前の形容詞を強めて》非常な,すばらしい / 昔
old age	老年,老齢
old boy	卒業生,同窓生,オービー / 《話》《親しい呼び掛け》おい,君 / 《話》お年寄り
old country	(米国・オーストラリアへの移住民にとっての)母国
old fogy	頭の古い人,時代遅れの人
old guard	極端な保守派 / 《O- G-》《米》(共和党内の)保守派
old hand	(…の)熟練者,ベテラン《+『at』+『名』(do『ing』)》
old hat	使い古された,陳腐な
old lady	うちの女房,家内 / うちのおふくろ
old maid	〈C〉《話》《軽べつして》老嬢,オールドミス / 〈C〉《話》口やかましい人 / 〈U〉(カードゲームの)ばば抜き
old man	うちの亭主(主人) / うちのおやじ / 《英話》《冠詞をつけずに》(親しい友に)やあ[君] / 《時にO- M-》(雇用主などを指して)親方,ボス
