obstinacy	〈U〉頑固さ,強情;〈C〉頑固な行為(言葉) / 〈U〉(病気の)治りにくいこと
occupational	職業の
occupational hazard	(特定の)職業上の危険(災害)
occupational therapist	作業療法医
occupational therapy	作業療法(軽い作業を与えて病気を治療する医療法)
occupier	(また『occupant』)占有者,居住者,借家(借地)人 / (占領軍の)駐留兵
occupy	〈場所・空間〉を『占める』,ふさぐ;〈時間〉をとる,占める / 〈地位〉を占める / 〈軍隊〉…を占領する,占拠する / (ある時間)…に居る / 《受動態で,またはoneselfを目的にして》(…で)〈人〉の時間をとる,を手いっぱいにさせる《+『名』+『by』(『with, in』)+『名』(do『ing』)》
occur	〈異状な事が〉『起こる』 / 〈考えが〉『浮かぶ』 / 在存する,見いだされる
occurrence	〈U〉(事件などが)『起こること』,発生 / 〈C〉『でき事』,事件
ocean	〈C〉『大洋』,大海 / 《the ~》五大洋の一つ / 《話》《an ~,または複数形で》ばく大(な…),広大(な…)《+『of』+『名』》
oceanaut	海底探検家;潜水技術者
oceangoing	=seagoing
oceanic	大洋の;《O-》大洋州(オセアニア)の / 大洋に住む / 大洋のような,巨大な
oceanographer	海洋学者
oceanography	海洋学
oceanologist	海洋学者,海洋研究家
oceanology	海洋学,海洋研究
ocelot	オセロット(はん点のある中型のヤマネコ;中・南米産)
ocher, ochre	黄土(おうど)(絵の具の原料となる黄色の土) / オーカー色,黄土色 / オーカー色の,黄土色の
oct.	octavo
octagon	八角形,八辺形;八角(八辺)形の物
octagonal	八角形の,八辺形の
octane	オクタン(石油に含まれる炭化水素の一つ)
octane number	オクタン価
octave	(音程・音階の)オクターブ / (詩)8行連句(特にsonnetの最初の8行) / 8個一組
octavo	八つ折り判(全紙を八つ(16ページ)に折った大きさ) / 八つ折り判の本
octet	8重唱(奏)曲;8重唱(奏)団 / 8個一組のもの
octogenarian	80台(80歳‐89歳)の人
octopus	タコ
octoroon	黒人の血を8分の1受けた黒白混血児
octosyllabic	(詩句が)8音節の
ocular	《文》目の / 《まれ》視覚の,目で見た / (顕微鏡・望遠鏡などの)接眼レンズ,接眼鏡
oculist	眼科医
odalisque	(トルコ皇帝の後宮の)側妻(そばめ),女奴隷
odd	『奇妙な』,風変りな,変な / 《名詞の前にのみ用いて》(対・組のうちの)『片方の』,はんぱの / (一定数量を対・組などに分けた)『余分の』,残りの / 《名詞の前にのみ用いて》臨時の,時たまの,不定期の / 『奇数の』 / 《しばしば整数とハイフンで結ばれて》…あまりの,端数の
odd jobs	はんぱ仕事,雑役
odd man out	〈C〉(グループを作るとき)はんぱになる人(物) / 〈C〉《話》仲間にすぐ溶け込まない人 / 〈U〉コイン投げで一人を選ぶ方法(遊び)
odd number	奇数
odd-job man	(はんぱ仕事をする)なんでも屋,雑役夫
odd-looking	風変わりな様子の,珍妙な
oddball	偏屈な人,つむじ曲がり / 偏屈な,風変りな
oddity	〈C〉奇人,変人;奇妙な物(事) / 〈U〉奇妙,風変り
oddly	奇妙に;不思議に
oddment	残り物,はんぱ物;がらくた
odds	(ある率で起こる)『可能性』,見込み / (競技などで弱いほうに与えられる)『有利な条件』(handicap) / (勝負などでの)『優勢』[の方],強み,勝ち目(advantage)
odds and ends	残り物,はんぱ物;がらくた
odds-on	勝ち目(勝算)のある
ode	頌歌(しょうか),頌詩,賦(ふ)(特定の人・でき事などをたたえる高尚・厳粛な叙情詩)
odious	憎むべき,いやな,ぞっとする,むかむかさせる
odium	憎悪,反感 / 汚名,悪評
odometer	(自などの)走行距離記録計
odor,odour	『におい』(smell)
odoriferous	かんばしい,かぐわしい
odorless	においのない,無臭の
odorous	かんばしい
odour	=odor
oecumenical	=ecumenical
oedipal	エディプス複合(Oedipus complex)の
oesophagus	=esophagus
oestrogen	=estrogen
oestrus cycle	=estrous cycle
oeuvre	〈C〉(作家・画家・作曲家の)全作品,作品集 / 〈C〉(特定の)代表作 / ある一つの作品
of	《所有・所属》…『の』,…のものである,…に属する・《材料・要素》…『でできた』,から成る・《部分》…『の』[『中の』] ・《数量・単位・種類を表す名詞に付いて》…の・《原因・動機》…『で』,のために(because of) ・《主格関係》…『の』,による,によって・《目的格関係》…『を』,の・《同格関係》…『という』・《関係・関連》…『についての』[『の』],の点で・《抽象名詞などと共に》…の[性質をもつ] ・《『It is』+『形』+『of』+『名』+『to』 doの形で,ofの後の名詞を意味上の主語として》・《分離》…『から』・《起原・出所》…『から』[『の』](out of) ・《『名』+『of』+『a』(『an』)+『名』の形で》…のような・《『名』+『of』+『mine』(『yours, his』など独立所有格)の形で》…の…・《時》(1)《副詞句を作って》…に《形容詞句を作って》…の・《時刻》《米》…前(to,《米》before)
off	《分離》(接触しているところ)『から』,から離れて,からはずれて / 《位置》…『から離れたところで』(『に』) / (本来の状態など)からはずれて,…が狂って,がなくなって / (本道など)からそれて,から横道にはいったところに / 《eat, dineなどと共に》…からとって[食べる] / 《『from off』の形で》《話》…から / (ある値段)から割り引いて / 《話》…をやめて,慎んで《+『名』(do『ing』)》 / (仕事・義務など)から離れて,を休んで / (人)をたよって,にやっかいになって / (1)《運動・移動を表す動詞と共に》『離れて』,向こうへ / 《状態の動詞と共に》『離れて』 / 《瞬間の動作を表す動詞と共に》『離して』 / 『去って』,出かけて / (電気・ガス・水道などが)『切れて』 / (本来の位置・状態などから)『はずれて』 / (仕事・勤務などを)『休んで』 / (時間的・空間的に)『離れて』 / 《動作の完了》『すっかり』,完全に / 割り引いて / (中心・的などから)『それた』,『離れた』,はずれた / 『時期はずれの』,(時期などが)いつもほどよくない,シーズン外の / (状態が)水準以下の,いつも調子(状態)でない / 《補語にのみ用いて》(予定・用意されたことが)取りやめになって / 《補語にのみ用いて》(電気器具などが)電源が切れて;(ガス・水道が)切れて,止まって / (人が)…の暮らしぶりで / 勤務のない,休みの / 取れて,ぬげて,はずれて / (馬・車の1対のうち)右側の / 《補語にのみ用いて》(走者が)すでに走り出して / 《おもに英》《補語にのみ用いて》(食物などが)いたんで食べられない;飲めない / 《英》《補語にのみ用いて》(食堂などでメニューには載っているが料理が)もう品切れで / 《英》《補語にのみ用いて》(人の態度が)誠意のない,不親切な,ひどい / 《名詞の前にのみ用いて》《the ~》(クリケットで)打者の右前方の
off the wall	思いもよらない,考えられない
off year	不作(不況)の年(大統領選挙など)大きな選挙のない年
off-Broadway	オフブロードウエイ演劇(New YorkのBroadway街のはずれの小劇場で行う実験演劇)
off-chance	望み薄,万に一つ
off-color	普通の色をしていない / 趣味のよくない,品のない
