orifice	(管・耳・鼻などの)開口部,口・出口
out	(ある位置・状態から)『外へ』(『で』),外出して;戸外に;外国に / (隠れた所から表面に)『現れ出て』;世に出て;発表されて;(花・葉などが)出て来て,咲いて / 『無くなって』,消えて;終わって;流行遅れの,すたれた / 『最後まで』,すっかり / 大声で,はっきりと,隠さずに / (政権・現職から)離れて,去って / 仕事を休んで;ストライキをやって / (調子が)狂って,乱れて,(関節などが)はずれて;まちがって;損をして / (野球・クリケットで)アウトになって(ボクシングで)ノックアウトになって / 支配権を失った,政権から離れた / (野球・クリケットで打者・走者が)アウトになった / (衣服などが)並はずれて大きい,特大の / 遠く離れた / 《米》…から[外に(を)] / 《米》…に沿って外へ,のはずれに / (野球・クリケットで)アウト;《the outs》守備側 / 《複数形で》失業者 / 《米話》言い訳,口実 / ばれる,露見する / 出て行け
out-and-out	全くの;徹底的な
out-of-date	流行遅れの,旧式の(outmoded)
out-of-doors	戸外で,屋外で / =outdoor / =outdoors
out-of-pocket expenses	(こまごました)現金の出費
out-of-the-way	片いなかの,へんぴな / 珍しい,風変わりな
out-of-towner	よそ者;観光客
outage	(機械の)停止;停電
outback	〈U〉(特にオーストラリアの)奥地 / 〈C〉行く価値のない所
outbalance	…より重い / …より重要である
outbid	(競売で)〈他の人〉より高い値をつける
outboard	船体(機体)外にある / (船体・機械など)中心線より外側寄りの / 船体(機体)外へ / 舷側へ,機体側へ / 船外モーター / 船外モーター付きボート
outboard motor	船外モーター(ボートの外側に取り付けた小型の発動機)
outbound	外国行きの
