outwards	=outward
overbid	(競売で)〈品物〉に高値をつける / (品物に)〈人〉より高値をつける / (ブリッジで)〈相手・持ち札〉より高くする / (品物に)高値をつける《+『for』+『名』》 / (ブリッジで)持ち札以上に高くする / 〈U〉高値をつけること;高いせり値
overblown	(話などが)ジェスチャーたっぷりの,誇張した / 肥満した
overboard	船外に
overbore	overbearの過去形で(相手を)圧倒した,押し切った / (感情・力などが)…に打ち勝った,抑え込んだ
overborne	overbearの過去分詞で圧倒された,抑え込まれた
overburden	…に荷を積み過ぎる / 《受動態で》(仕事などを)…に負わせ過ぎる《+『名』+『with』+『名』》
overcall	=overbid
overcame	overcomeの過去
overcapitalize,overcapitalise	〈事業〉に資本をかけ過ぎる / 〈企業〉を過大に評価する / 資本をかけ過ぎる / 企業を過大評価する
overcast	〈雲・霧が〉〈空〉に一面にたれこめる / 〈布の縁〉をかがり縫いをする / 雲(霧)でおおわれた,一面に曇った / 《しばしばthe~》曇り,本曇り;(一般に)曇り空 / 〈C〉かがり縫り
overcharge	(…に対して)〈人〉に不当な代金を請求する《+『名』〈人〉+『for』(『on』)+『名』》・〈銃砲〉に装薬し過ぎる;〈バッテリー〉に充電し過ぎる・不当な高値・積み過ぎ;詰め過ぎ;過充電;装薬過多・荷を積みすぎる
overcloud	…を雲(影)で覆う;…を暗くする
overcoat	『外とう』,オーバーコート
overcome	(試合・戦闘などで)…に『打ち勝つ』,を圧倒する(conquer) / 〈困難・障害・恐怖心など〉に『打ち勝つ』,を克服する,乗り越える / 《通例受動態で》〈人〉を『参らせる』,へとへとにさせる
overcompensate	(…に対して)補償し過ぎる《+『for』+『名』》
overcrop	〈農地〉を過作でいためる,に作物を作り過ぎる
overcrowd	(人,物を)…に詰め込み過ぎる《+名+with+名》
overdevelop	…を過度に発達させる
overdo	…をやり過ぎる,の度を越す / …を煮過ぎる,焼き過ぎる;〈塩など〉を入れ過ぎる / やり過ぎる,度を越す
overdone	overdoの過去分詞 / 煮過ぎた,焼き過ぎた / 誇張した,度の過ぎた
overdose	(薬などの)与え過ぎ,飲み過ぎ / …に薬を与え過ぎる
overdraft	(銀行の)当座貸越(金額)・(預金者側から見れば「借」越し); (手形の)過振(かぶり) / 当座貸越[額];(手形・小切手の)過振り
overdraw	〈預金・限度額など〉を超過して借りる;〈小切手〉を過振りする / …を誇張して描写する
overdrawn	過振りの、貸し越しの / (人が)当座借越しをした / (当座預金が)借り越しの,(手形が)過振りの
overdress	…にはでな服装をさせる / はでな服装をする
overdrew	overdrawの過去
overdrive	オーバードライブ(車を一定の速度に保つギヤ装置)
overdue	支払いの期限が過ぎた,未払いの / (予定より)遅れている
overeat	食べ過ぎる / 食べ過ぎる
overestimate	…を過大評価する,買いかぶる / 〈C〉過大評価,買いかぶり
overexpose	〈フィルムなど〉を露出過度にする / (太陽・寒さなどに)…をさらしすぎる
overflow	〈川が〉『氾濫(はんらん)する』,〈容器が〉あふれる / 〈中の物・人などが〉(…へ)『あふれ出る』《+『into』(『onto』)+『名』》 / 〈場所が〉(…で)『いっぱいになる』《+『with』+『名』》 / 〈川・水などが〉…からあふれ出る / 〈川・水などが〉…を水浸しにする / 〈U〉〈C〉あふれ出ること氾濫,洪水(こうずい);(物・人数の)超過《+『of』+『名』》 / 〈C〉あふれ出た水;超過した物;過剰人員 / 〈C〉(許容量以上の水の出る)排水口,放出口
overflowing	あふれる
overfly	(編隊飛行で)…の上空を飛行する
overglaze	(陶磁器の仕上げに使う)上釉(うわぐすり),重ね塗りの,上釉をかける,に重ね塗りをする
overgrow	《受動態で》〈草などが〉…に一面に生える,はびこる / …より大きくなる / はびこる / 大きくなり過ぎる
overgrown	(草木が)おい茂った;(…が)おい茂った《+『with』+『名』》 / 《名詞の前にのみ用いて》成長し過ぎた
overgrowth	〈C〉一面におい茂ったもの / 〈U〉繁茂;育ち過ぎ
overhand	(野球・クリケットの)オーバーハンドの,上手からの(手を肩より上にあげて行う);(水泳の)抜き手の / (テニスで)オーバーハンドの(腰より上のボールを打つ) / (クリケット・テニス・野球などで)上手で,オーバーハンドで;(水泳で)抜き手で
overhang	…におおいかぶさる,…の上に張り出す / 〈危険などが〉…に迫る / おおいかぶさる,張り出す,迫る / 〈C〉(建物の)張り出し;(岩棚などの)突出部
overhaul	(修理・治療などのために)…を分解検査(修理)する,精密検査する,オーバーホールする / 〈組織など〉を徹底的に見直して改革する / …に追いつく / 〈C〉分解検査(修理),オーバーホール
overhead	『頭上高く』,空に / 『頭上にある』,空にある / 〈C〉《英では複数形で》一般諸経費
overhear	…をふと耳にする,小耳にはさむ
overheat	…を過熱する / 〈人を〉過度に興奮させる
overhung	overhangの過去・過去分詞 / 上からつるした
overindulge	〈人〉を甘やかし過ぎる / …に耽溺(たんでき)する / わがままにし過ぎる
overindulgence	甘やかし過ぎ,わがまま;(…に)ふけり過ぎること《+『in』+『策名』》
overjoyed	(…で)大喜びの《+『at』(『by, with』)+『名』》
overkill	(核兵器の)過剰殺傷[破壊]力・ 必要以上に殺傷する
overland	陸上の,陸路の / 陸上を(で),陸路で(by land)
overlap	…を部分的に重ねる / …と一部共通(一致)する;(時間的に)…とかち合う / 部分的に重なり合う / 部分的に共通(一致)する;〈時間が〉かち合う / 〈U〉部分的に一致すること,重複 / 〈C〉重複部分
overlay	(…の上に)…を覆いかぶせる《+『名』+『on』+『名』》 / 《受動態で》(…で)…を一面に覆う,の上塗りする《+『名』+『with』+『名』》 / 〈C〉(装飾・保護のための)おおい;上塗り,上張り
overleaf	裏ページに
overleap	…を飛び越える,飛び越す
overlie	〈覆い・地層などが〉…の上に横たわる(重なる)
overload	…に荷を積み過ぎる(負わせ過ぎる) / 〈バッテリー・変圧器など〉に充電し過ぎる;〈銃砲〉に装薬し過ぎる / 〈C〉〈U〉積み過ぎ;〈U〉過充電;過負荷
overlook	…を『見落とす』,見逃す / …を『大目に見る』,に目をつぶる / 〈人が〉…を『見おろす』 / 〈場所が〉…を『見渡せる』,見おろす
overlord	(君主の上の)大君[主] / (ある分野の)巨頭
overly	過度に,あまりに
overman	〈職場など〉に人員を配置し過ぎる / 過剰配員する
overmaster	…を圧倒する,克服する
overmatch	…のまさる,勝つ / …を強敵と対戦させる
overmuch	過度に,あまりに / 過度の
overnight	『一晩じゅう』,夜通し / 一夜のうちに;にわかに,急に / 一晩(一夜) / 夜間の;夜通しの / 小旅行用の,短期宿泊用の
overpass	横断歩道橋
overpay	〈人〉に多く払い過ぎる;〈金額〉を余分に払い過ぎる
overplay	〈役〉を大げさに演じる / …を誇張する
overpopulated	人口過剰の
