ontology	存在学,本体論(哲学の一分野)
open-faced	無邪気な顔付きの / (パイ・サンドイッチなどが)上にパン(外皮)のない
open-heart	心臓切開の
open-hearth	平炉(へいろ)法の
open-minded	心の広い,偏見のない
opencast	露天掘りの
opener	開ける道具 / 開ける人 / (シリーズの)第1試合;(番組などの)最初の出しもの
openhanded	気前のよい
openhearted	率直な / 親切な
opening	〈C〉(森・垣根・壁などの)空いている所;空き地;すき間,穴 / 〈C〉(物語・会議などの)始め,出だし,冒頭(beginning) / 〈C〉(…の地位の)空き,就職口《+『for』(『at, in』)+『名』》(vacant) / 〈C〉(劇などの)初演 / 〈U〉(…が)開くこと,あくこと《+『of』+『名』》 / 〈C〉(…の)よい機会,好機《+『for』+『名』》 / 初めの,開始の
opening night	(夜の)初公演
opening time	開店(開館)時間
openly	『公然と』,あからさまに / 『率直に』,包み隠さず(frankly)
openmouthed	口を開けた,(特に驚いて)口をあんぐりと開けた
openwork	(彫金・織物などの)すかし細工
opera	『オペラ』,歌劇
opera glasses	オペラグラス(観劇用の小型双眼鏡)
opera hat	オペラハット(折りたたみできる男性用シルクハット)
opera house	(おもに)歌劇場
operable	実施可能の;使用できる / 手術できる
operably	実施(使用)可能に;手術可能に
operate	〈機械・身体器官などが〉『動く』,作動する / 〈薬などが〉(…に)『効く』,効果を表す,作用する,影響する《+『on』(『upon』)+『名』》 / (人に…の)『手術をする』《+『on』(『upon』)+『名』〈人〉+『for』+『名』》 / (…に対して)軍事行動をする《+『against』+『名』》 / 〈機械・装置など〉を『動かす』 / …を経営する,運営する;〈株など〉を売買する
operatic	オペラの;オペラふうの
operatically	オペラふうに
operating theater,operating theatre	手術階段教室(手術を見学できる席のある手術室)
operation	〈U〉(…)『作用』,働き;(機械などを)『動かすこと』,操作,(企業などの)運営《+『of』+『名』》 / 〈U〉(機械・機能などが)『動いている状態』,働いている状態,(法律など)有効である状態 / 〈C〉(人に対する…の)『手術』《+『on』〈人〉+『for』+『名』〈患部・病名〉》 / 〈C〉《複数形で》(特に,軍の)行動;《しばしばO-》…作戦 / 〈C〉運算,演算
operational	操作上の / 作戦上の / (航空機などが)いつでも使用できる,操作できる
operational research	=operations research
operations research	オペレーションズリサーチ(企業経営・軍事作戦で用いる科学的調査分析研究法)
operative	〈機械などが〉働く,運転する / (法律などが)有効な / 作業の / 手術の(による) / 工員 / 《米》刑事;スパイ
operator	(機械・装置を)『運転する人』,操作する人,技手;《米》電話交換手 / (会社などの)経営者 / 《話》ずるがしこい人
operetta	オペレッタ,軽歌劇
ophthalmia	眼炎(目が赤くはれる炎症)
ophthalmic	目の,眼科の,眼炎の
ophthalmologist	眼科医
ophthalmology	眼科学
ophthalmoscope	検眼鏡
opiate	アヘン剤,鎮静剤 / (…にとって)鎮静させるもの《+『to』+『名』》 / アヘンを用いた;鎮静の
opine	《『opine』+『that節』》…と考える,思う
opinion	〈C〉『意見』,見解《複数形で》所信 / 〈C〉《good,bad;high,lowなどの修飾語を伴って》(人・物事に対する)『評価』《+『of』+『名』》 / 〈U〉『世論』;(あるグループ全体の)意見
opinion poll	〈C〉世論調査 / 意見調査
opinionated	自説を曲げない,がん固な,片意地な
opium	アヘン(阿片)ケシの種子から製造;催眠剤・鎮痛剤として使われる
opossum	フクロネズミ(米国南部産の樹上に住む有袋動物)
opp.	opposite
opponent	(討論・試合などで)(…の)『相手』;敵対者,反対者《+『of』+『名』》 / 相手の,反対の,敵対する
opportune	(行為・事などが)適切な / (時が)ちょうどよい
opportunism	ひより見主義,ご都合主義
opportunist	ひより見主義者,ご都合主義者
opportunity	『機会』,好機
oppose	…に『反対する』,抵抗する(object to) / (…に)…を対照させる,対抗させる《+『名』+『to』+『名』(do『ing』)》
opposite	(位置が)『向こう側の』,反対側の,向かい合わせの / (動く方向が)反対の / (性質上)『正反対の』,相入れない / (…の)『正反対の人』(『物』),相入れないもの《+『of』+『名』》 / …に向かい合って
opposite number	(他の組織・国家などで)対応する仕事(地位)についている人
opposition	〈U〉〈C〉(…に)『反対すること』,(…に対する)反対,対立,抵抗,敵対《+『to』+『名』(a person's do『ing』)》 / 《時にO-》《the~》野党,反対党
oppress	〈人や権力などが〉〈人〉を『虐げる』,圧迫する / 《しばしば受動態で》〈心配などが〉〈人〉に『重くのしかかる』,を悩ます
oppression	〈U〉〈C〉(…を)『虐げること』,『圧迫すること』,(…に対する)圧迫,圧制《+『of』+『名』》 / 〈C〉(…の)苦難,困苦《+『of』+『名』(do『ing』)》 / 〈U〉重苦しい気分,圧迫感
oppressive	圧制的な,横暴な / (天気などが)うっとうしい,気がめいる
oppressor	圧制者,暴君
opprobrious	(行為が)不名誉な / (言葉が)侮べつ的な,口ぎたない
