overpopulation	人口過剰
overturn	…をひっくり返す(turn over) / …を打倒する / ひっくり返る / 〈政府などが〉倒れる
overuse	…を使い過ぎる / 〈U〉乱用,使い過ぎ,酷使
overview	概観,大要
overweening	うぬぼれた,思い上がった,ごう慢な
overweigh	…より重い;より価値がある / …を圧迫する
overweight	超過重量・太り過ぎ / 重量超過の,太り過ぎの / …に荷を積み過ぎる,負担をかけ過ぎる / 《通例受動態で》…を重視し過ぎる,大切にし過ぎる
overwhelm	…を『圧倒する』,に打ち勝つ / 《通例受動態で》(精神的・感情的に)〈人〉を打ちのめす,参らせる / (波がおおいかぶさるように);をすっぽりと飲み込む(おおう)
overwhelming	圧倒的な,抗しきれない
overwhelmingly	圧倒的に,圧倒的な多数で
overwork	〈動物・人〉を『働かせ過ぎる』,酷使する / 『働き過ぎる』 / 〈U〉『働き過ぎ』,過労
overwrought	緊張し過ぎた,神経過敏になった / 凝り過ぎた,念の入り過ぎた
oviduct	卵管
oviparous	(生物が)卵生の
ovoid	卵形の(egg-shaped) / 〈C〉卵形の物
ovoviviparous	(生物が)卵胎生の
ovulate	排卵する
ovule	胚珠(はいしゅ)
ovum	卵,卵子
ow	(突然の激痛を表して)ウウッ
owe	…を『借りている』,借金している / …の『おかげをこうむっている』 / …を与える義務がある / (…に対して)借りがある,借金をしている《+for+名》
owing	(…に)『未払いの』,支払うべき(due)《+『to』+『名』》
owl	『フクロウ』
owlet	フクロウの子 / 小型のフクロウ
owlish	フクロウに似た
own	『自分自身の』,それ自身の,特有の / 『自分自身のもの』,わがもの / …を『所有する』,持つ / …を『認める』,白状する;…を自分のものと認める / (…を)白状する,告白する《+『up to』+『名』(do『ing』)》 / (…を)認める《+『to』+『名』》
owner	『持ち主』,所有者
owner-occupier	自宅居住者
ownerless	持ち主のない
ownership	所有者であること,所有;所有権
ox	〈C〉去勢された食肉用・労働用の雄牛 / 《複数形oxenで》牛
oxalic acid	蓚酸(しゅうさん)
oxblood	濃赤褐色 / 濃赤褐色の
oxbow	牛のくびきのU字型の部分 / 《米》川の湾曲部
oxcart	牛車
oxen	oxの複数形
oxeye daisy	フランスギク(北米によく見られるヒナギク)
oxford	(またOxford shoe)〈C〉オックスフォード子短靴(甲をひもで締める外出用の靴) / (またOxford cloth)〈U〉細い縦じまのシャツ地
oxidant	オキシダント,酸化体
oxidation	酸化
oxide	酸化物
oxidization,oxidisation	酸化
oxidize,oxidise	…を酸化させる / 酸化する,さびる
oxidizer	オキシダイザー(ロケット燃料を爆焼させる酸素を生み出す物質) / 酸化剤
oxtail	牛の尾(特にシチュー・スープなどに用いる)
oxyacetylene	酸素アセチレン
oxygen	『酸素』(化学記号はO)
oxygen mask	酸素マスク
oxygen tent	酸素テント(病人用の酸素吸入装置)
oxygenate	…に酸素を与える,を酸素で処理する
oxygenation	酸素で処理すること
