outbrave	…に勇敢に立ち向かう,…を物ともしない
outlet	(水・煙などの)『出口』,はけ口《+『for』+『名』》 / (感情・精力などの)『はけ口』《+『for』+『名』》 / 《米》(電気コードの)差し込口 / (特定の商品の)販売口,販路《+『for』+『名』》
outline	(物の)『輪郭』,外形《+『of』+『名』》 / (…の)輪郭図,線画,略図《+『of』+『名』》 / (話・でき事などの)『概要』,あらまし;《複数形で》(…の)要点,眼目《+『of』+『名』》 / …の『輪郭を描く』,略図を描く / …の概要を述べる,を概説する
outlive	…より長生きする,生き延びる / …を長生きして失う(免れる)
outlook	…の『見通し』,見込み《+『for』+『名』》 / (…についての)見解,見地《+『on』+『名』》 / (…の)『展望』,ながめ,景色《+『on』(『over』)+『名』》
outlying	(中心から)遠くはなれた,へんぴな
outmaneuver,outmanoeuvre	…に計略で勝つ,〈敵〉の裏をかく
outmarch	…より速く(遠く)進む
outmatch	(試合などで)…を負かす,…よりまさる
outmoded	流行遅れの,旧式の,現代では通用しない
outmost	=outermost
outnumber	…より数が多い
outpatient	(病院の)外来患者
outplay	…よりじょうずである;(競技などで)…に勝つ(defeat)
outpoint	(ボクシングで)…より点数を多くとる
outpost	前哨(ぜんしょう)地,前衛地 / 前哨隊 / 辺境の植民地
outpouring	流出[物] / 《複数形で》(感情などの)ほとばしり,発露
output	生産高 / (コンピューターなどの)アウトプット,出力
outrage	〈C〉〈U〉(…に対する)暴行,乱暴(残虐)な行為《+『against』(『on, upon』)+『名』》 / 〈U〉激怒 / …を激怒させる / …に乱暴を働く,を踏みにじる
outrageous	法外な,とんでもない / 乱暴な,残虐な;けしからぬ,ふらちな
outran	outrunの過去
outrange	(射程距離・飛距離で)…をしのぐ / (一般に)…よりまさる
outrank	…より地位が高い
outre,outré	(考え方・行動などが)常軌を逸した,奇異な,異常な
outreach	…より遠くに届く,を越える
outride	…より遠く(速く,うまく)乗る
outrider	(オートバイに乗った)先導者;騎乗随行者 / 《米》カウボーイ
outrigger	舷(げん)外浮き材(カヌーの転覆を防ぐために取り付けた木材)
outright	完全の,全くの / (比較変化なし)包み隠さず,率直に / 直ちに,すぐさま / 即座に
outrival	(競争で)…に勝つ
outrode	outrideの過去
outrun	…より速く(遠くまで)走る / …の範囲を越える
outsell	…より多く(早く,高く)売る / …より多く(早く,高く)売れる
outset	最初,手始め
outshine	…よりよく光る(輝く) / …より優れている
outside	『外側』,外部,外面 / 『外側の』,外部の / 外部からの / ごくわずかな,万が一の / 最大限の / 『外側に』,外へに,で / …『を外に』『で』,『の』 / …の範囲を越えて / 《おもに米》…以外には
outside diameter	外径(がいけい)
outsider	局外者,第三者 / (競馬などで)勝ちめのない馬(騎手)
outsize	(衣服などが)特大の / 〈U〉特大 / 〈C〉特大の衣服
outskirts	(町などの)はずれ,周辺,郊外
outsmart	…を出し抜く,を裏をかく
outsold	outsellの過去
outspoken	(人が)率直に(包み隠さず)物を言う / (言葉などが)率直な
outspread	広がった,伸びた
outstanding	『目立つ』,顕著な,傑出して / 残っている,未決の,未払いの
outstation	(地方の)出張所,支所
outstay	〈人,予定の時間など〉より長くいる
outstretch	〈手など〉を伸ばす,広げる / …を枠(わく)(限界)を越える
outstretched	いっぱいに伸ばした(広げた)
outstrip	…に勝る / (競争などで)…より遠くまで(速く)走る
outtalk	…よりも大声で(長く,速く)しゃべる
outvote	…に投票で勝つ
outward	『外側へ』,外へ / 外見上,見たところ / 『外へ向かう』 / 『外側の』,外部の,外面の
outwardly	外側に;外へ向かって / 表面上,外見上
