jogging	ジョギング(健康法としての軽いランニング)
jowl	あご(jaw),(特に)下あご / ほお(cheek)
joy	〈U〉(大きな)『喜び』,歓喜,うれしさ / 〈C〉喜びのもと(種)
joyance	楽しさ,喜び
joyful	『うれしい』,喜びに満ちた
joyfully	楽しく,愉快に
joyfulness	うれしさ
joyless	喜びのない,楽しくない,わびしい
joyous	=joyful
joyride	ドライブ遊び(特に他人の自動車を無断でおもしろ半分に乗り回すこと)
joystick	(航空機の)操縦桿; (機械の)操作レバー;(コンピュータ、テレビゲーム用の)ジョイスティック・(俗語)ペニス、陰茎、おちんちん
jubilant	歓喜に満ちた(rejoicing);歓声を上げる(triumphant)
jubilation	〈U〉歓喜 / 大喜び(成功・勝利などに対する心からの喜び) / 〈C〉歓喜の表現 / 喜びの声
jubilee	(特に25年または50年の)記念祭 / (一般に)祝祭,祝賀の時期
judder	震える,きしむ(vibrate)
judge	『裁判官』,判事 / (競技・コンテストなどの)『審査員』,審判 / (…の)『鑑定家』,目のきく人,(物事の)よしあしの分かる人《+『of』+『名』》 / 〈人・事件〉を『裁判する』 / 〈競技など〉を『審判する』,〈コンテストなど〉を審査する / 〈人・物事〉を『判断する』,『評価する』;…と[判断して]思う / (…で…を)判断する,評価する《+『of』+『名』+『by』+『名』》 / (裁判官・審判などとして)(…を)裁く,判定する;(…の間の)優劣を判定する《+『between』+『名』》
judgement	=judgment
judgeship	裁判官の職(地位,権限)
judgment,judgement	〈U〉『判断力』,思慮,分別 / 〈U〉〈C〉(…についての)『判断』,判定;〈C〉(判断に基づく)見解《+『on』+『名』》 / 〈C〉〈U〉『判決』;(判決による)債務
judicatory	裁判の,司法の(judiciary) / 裁判所,法廷;〈U〉司法
judicature	〈U〉司法[権],裁判[権] / 《集合的に》裁判官
judicial	裁判の,司法の / 裁判官の,裁判官にふさわしい / 裁判による
judiciary	司法の;裁判所の;裁判官の / 〈C〉司法部 / 〈C〉(国の)司法制度 / 《集合的に》《《米》単数扱い,《英》単数・複数扱い》裁判官
judicious	思慮分別のある(sensible),賢明な(wise)
jug	(陶製・ガラス製などでコルク栓の付いた取っ手付きの細口の)水入れ,かめ,つぼ / 《英》(取っ手付きの広口の)水差し(《米》pitcher) / 水差し(かめ)一杯(の…)(jugful)《+『of』+『名』》 / 《the ~》《俗》刑務所(prison) / 〈肉など〉を陶製のつぼでとろ火で煮る / 《俗》…を刑務所に入る
juggle	〈2個以上のボール・ナイフなど〉を曲投げする,手玉にとる / …をごまかす / (…で)曲投げをする《+『with』+『名』》 / (…を)手玉にとる《+『with』+『名』》 / (ボールなどの)曲投げ / (手玉にとって)ごまかすこと
juggler	(ボール・ナイフなどを投げ上げて順につかむ)曲投げ師 / 許欺師,ぺてん師
jugular	頚(けい)部の;頚静脈の / =jugular vein
jugular vein	頚(けい)静脈 / 最大の弱点
juice	〈U〉〈C〉(果物・野菜・肉などの)『汁』,『液』,ジュース;〈U〉(植物の)樹液 / 《複数形で》(動物の)体液,分泌液 / 〈U〉《俗》電気;ガソリン,燃料オイル / …から汁をしぼり取る
juiciness	汁の多いこと,水分の多いこと
juicy	(果物などが)汁の多い / 《話》(スキャンダルなどが)興味しんしんの
juju	(西アフリカ原住民の)お守り,まじない,魔よけ
jujube	ナツメ[の実または木] / ナツメ形のゼリー菓子
jukebox	ジュークボックス
julep	=mint julep
julienne	(野菜などを)千切りにした / 千切り野菜入りコンソメスープ
jumble	…をごたまぜにする《+『up』(『together』)+『名』》 / ごたまぜになる / ごたまぜの集まり / 混乱[状態]
jumble sale	《英》(募金のための)慈善バザー,がらくた市(《米》rummage sale)
jumbo	巨大な人(もの・動物);ジャンボジェット機 / 巨大な,でかい
jump	《副詞[句]を伴って》(地面などから)『跳ぶ』,跳躍する / 急に(さっと)立ち上がる / (驚き・恐怖などで)(…に)ぎくっ(ぎょっ)として跳び上がる《+『at』+『名』》 / 〈金額・数量が〉急増する,急上昇する / …を跳び越える / 〈人・動物〉を跳躍させる,急に動かす / 《話》…に急に襲いかかる / 〈C〉『跳ぶこと』,跳躍,ジャンプ / 〈C〉(跳び越さねばならぬ)障害物 / 〈C〉一跳びの幅(高さ) / 〈C〉(驚き・恐怖などで)ぎくっと(ぎょっと)すること / 《the jumps》《話》神経的な震え,動揺,いらいら / 〈C〉(…の)急増,急上昇《+『in』+『名』》 / 《the ~》ジャンプ競技 / 〈C〉飛行機からの落下傘降下
jump rope	縄跳び遊び;縄跳び用の縄
jumped-up	新興の,成り上がりの,うぬぼれた
jumper	跳躍する人(もの) / ジャンパ線(回路の切断をつなぐ短い電線) / ジャンパー(水夫・工員などの作業衣) / 《英》ボタン・ファスナーがなく頭からかぶるようにして着る上着 / ジャンパードレス,ジャンパースカート(ブラウスの上などに着るそでなしのワンピース) / 《複数形で》子供の遊び着(rompers)
jumpily	ぴりぴり(びくびく)して,はっとして,はね上がって
jumpiness	ぴりぴり(びくびく)していること;跳びはね
jumping jack	(手足と胴を連結したひもをひっ張ると動くおもちゃの)踊り人形 / ジャンピング・ジャック、操り人形、ネズミ花火、挙手跳躍運動
jumping-off-place	へんぴな場所,さいはての地 / (また『jumping-off point』)出発点,起点
jumpsuit	軍用の上下着 / 上下続きの作業着;それに似た婦人服
jumpy	びくびくした,ひどく神経質な / はね上がる,跳びはねる;ぴくぴく動く
junco	ユキヒメドリ(北米産のヒワの類の鳥)
junction	〈U〉〈C〉連結すること(された状態),『結合』,連合,合体 / 〈C〉『結合点』,連結(接合,合流)点 / 〈C〉(鉄道の)『連絡駅』,接続駅
