Jun.	June / junior
jade	やせ馬・駄馬・《軽べつして,またおどけて》女・…を疲れ果てさせる・疲れ果てる / 玉(ぎょく),ひすい / ひすい色,緑色
jaded	疲れきった,やつれた / (度が過ぎて)飽き飽きした
jadeite	ひすい輝石,硬玉
jag	(岩角やのこぎりの歯のような)とがった部分,とんがり;かぎ裂き / …にぎざぎざをつける;…にかぎ裂きをつくる / 酒宴,浮かれ騒ぎ
jagged	ぎざぎざのある,鋭く角立った
jaguar	ジャガー(中南米産のヒョウの類)
jaialai	ハイアライ(ハンドボールに似た球戯)
jail	〈C〉刑務所,牢獄,拘置所 / 〈U〉入獄,拘置 / …を刑務所に入れる,投獄する;…を拘置する
jailbird	囚人 / 何度も刑務所入りする人
jailbreak	脱獄
jailer,jailor	(刑務所の)看守
jalap	ヤラッパ(サツマイモ属のつる草;その粉末は下剤になる)
jalopy	ぼろ自動車,ポンコツ車
jalousie	板すだれ,ブラインド
jam	ジャム / (狭い場所などに)…を『押し込む』,詰め込む《+『名』+『into』(『in』,『between』)+『名』》 / 《しばしば受動態で》(…で)〈場所など〉を『ぎっしりふさぐ』《+『名』+『with』+『名』》 / …をぐいっと押す《+『名』+『on』,+『on』+『名』》 / 〈機械など〉を一部がつかえて動かなくする / (周波数の似た電波で混信させて)〈放送・通信〉を妨害する / 〈物が〉つかえる,詰まる / (一部分がつかえて)〈機械などが〉動かなくなる《+『up』》 / (狭い場所などに)しゃにむに入り込む《+『into』+『名』》 / (動きがとれないほどの)混雑,雑踏,押し合い / (機械などが)動かなくなること,故障 / 《話》苦しいはめ,苦境,窮地
jam session	ジャムセッション(小グループのジャズ即興演奏)
jam-packed	《話》ぎっしり詰まった,超満員の
jamb,jambe	わき柱,だき(入口・窓などの両側に立てた柱)
jamboree	ジャンボリー(ボーイスカウトの大会) / 陽気な宴会;お祭り騒ぎ
jammy	ジャムのような,べたつく / 《英俗》簡単な,楽な / 運のよい,ついている
jangle	〈薄い金属片などが〉ジャンジャン(ガチャガチャ)鳴る / (大声で)口論する,言い争う / 〈金属片など〉をジャンジャン(ガチャガチャ)鳴らす / 〈神経など〉をいらいらさせる,乱す;〈反感など〉をかき立てる / (金属的な)ジャンジャン(ガチャガチャ)[という音];調子はずれの音;騒音
janissary	トルコ近衛(このえ)兵(1826年廃止);(一般に)トルコ兵
janitor	《おもに英》門番,守衛 / 《おもに米》=caretaker
japan	黒い漆(うるし);漆器(しっき) / …に黒漆を塗る
jape	ふざける,からかう / からかい,いたずら
japonica	日本産植物(ツバキ,ボケなど) / 日本の文化資料
jar	(広口の)『つぼ』,かめ,びん,ジャー / 一つぼ(びん)(の…)《+『of』+『名』》 / …を[ガタガタ]震動させる / 〈人〉に衝撃(動揺)を与える,〈人の神経〉をいらだたせる / ガタガタいう,音をたてて揺れる / (…に)不快な感じを与える《+『on』(『upon』)+『名』》 / 〈意見・感情・行動などが〉(…と)一致(調和)しない《+『with』+『名』》 / 震動,ガタガタ揺れること / (不快な)衝撃,ショック / 耳障りな(きしるような)音 / (意見などの,特にささいな)不一致,衝突
jardinière	(装飾用)植木鉢,花台
jargon	〈U〉〈C〉(特定職業・集団の)専門用語 / 〈U〉訳の分からない言葉や言い回し / 〈C〉《口》混合語,混成言語
jasmine,jasmin	ジャスミン,ソケイ(インド原産の常緑低木);〈U〉(その花から採った)ジャスミンの香水
jasper	碧玉(へきぎょく)(石英の一種)
jato	ロケット離陸補助装置(離陸完了時には捨てられる)
jaundice	黄疸(おうだん)/ 〈U〉偏見 / 嫉妬
jaundiced	黄疸にかかった / ひがんだ
jaunt	(遊びのための)小旅行 / 小旅行に出る
jauntily	のんきそうに,陽気に;元気に;気どって,いきに
jauntiness	のんきなこと,陽気さ / しゃれていること,いき
jaunting car	(アイルランドの)軽二輪馬車
jaunty	のんきそうな,陽気な;元気な / しゃれた,いきな
javelin	〈C〉(武器としての)投げやり / 〈C〉(競技用)投げやり / 〈U〉《the javelin》(競技種目の)やり投げ
jaw	〈C〉(上・下の)『あご』 / 《複数形で》口 / 〈C〉下あごのかっこう(感じ) / 《複数形で》あごに似た物;(谷・海峡などの)狭い入口 / 〈U〉《話》おしゃべり;(長い)お説教 / (人に)しゃべる,(特に)くどくど言う;(人に)お説教をする《+『at』+『名』〈人〉》
jawbone	あごの骨;(特に)下あごの骨
jawbreaker	《話》発音しにくい語 / 非常に堅いキャンデー
jay	カケス
jaybird	=jay
jayvee	大学代表チームの二軍選手 / 二軍チーム
jaywalk	交通規則(信号)を無視して歩く(横断する)
jaywalker	(交通ルールを無視した)不注意な(乱暴な)横断者
jazz	『ジャズ』 / 《俗》大ぼら,大うそ,ナンセンス / 〈曲〉をジャズふうに演奏(編曲)する / 《俗》〈パーティーなど〉を活気づける,〈曲など〉を陽気にする《+『up』+『名』》
jazzily	ジャズふうに
jazzy	ジャズの,ジャズふうの / 《俗》はでな色の,けばけばしい
jct.	junction
je ne sais quoi	なんともいえない魅力;名状しがたいもの
jealous	(人・言動などが)『しっと深い』;しっとによる / 《補語にのみ用いて》(…を)ねたんで,うらやんで(envious)《+『of』+『名』》 / 用心深い,気を配る / 《まれ》(神が)他の神を信ずることを許さない
jealousy	〈U〉(…に対する)『しっと』,『ねたみ』,羨(せん)望《+『of』+『名』》 / 〈C〉しっとの行為(言葉)
jean	〈U〉ジーン布(じょうぶなあや織りの綿布) / 《複数形で》ジーパン;(ジーン布製の)作業服
jeep	ジープ
jeer	(人・人の欠点などを)あざける,ひやかす,やじる《+『at』+『名』》 / 〈人〉をあざける,ひやかす,やじる / ひやかし,あざけり[の言葉],嘲笑
jejune	《文》(特に書かれたものが)おもしろみのない,無味乾燥な,未熟な / 《米》子供っぽい
jejunum	空腸(十二指腸と回腸の間の部分)
jell	ゼリー状になる / 《話》〈計画などが〉固まる,明らかになる / =jelly
jellied	ゼリー状の,ゼリーで固めた
jello	ゼロー(jellyの商標名)
