J	(連続するものの)10番目,第10番のもの
Jerusalem	エルサレム(キリスト教徒,ユダヤ教徒,イスラム教徒にとっての聖地;イスラエル共和国の首都)
Jerusalem artichoke	=artichoke2
Jesuit	イエズス会士(カトリック男子修道会「イエズス会」の一員)
Jesuitical	《J-》イエズス会の,イエズス会の教義の / 詭弁(きべん)的な,偽善的な
Jesus	『イエス』(キリスト) / これは驚いた,ちくしょう
Jew	(イスラエルの祖先から出たとされる世界各地の)ユダヤ人・ユダヤ教徒・ユダヤ人のいわゆる「選民・純血」意識を考察する上で「The Khazar Empire」の存在、そしてこの帝国に住んでいた人たちの子孫の動向が無視されるべきではないでしょう。
Jew's harp	= Jews' harp・口琴・びやぼん・ジューズハープ 《口にくわえて指でひく楽器》
Jewess	ユダヤ女
Jewish	ユダヤ人の;ユダヤ民族[特有]の
Jewry	ユダヤ人(民族)
Jezebel	あばずれ,恥知らずな性悪女
Jim Crow,jim crow	《米話》(公共の場所・乗り物・雇用問題などにおける)黒人差別 / 黒人差別の[19世紀の黒人の歌から]
Jnr	Junior
Joan of Arc	ジャンヌダルク(1412‐31;百年戦争のときフランスの国難を救った農夫の娘;火刑になった)
Job	ヨブ(旧約聖書で苦難に耐える人の典型とされる) / ヨブ記(旧約聖書の一書)
Job's comforter	(聖書で)ヨブを慰める人・慰めるふりをして落胆させる人 [さまざまな苦難に遭いながらも信仰心を捨てないヨブ(旧約聖書)を慰めに来た友人の心ない言葉から]・ありがた迷惑な好意の持主
Jockey Club	ジョッキークラブ(競馬の管理・取締りをする団体)
Jockstrap	(男子運動選手の)局部用サポーター
Johannesburg	ヨハネスブルグ(南アフリカ共和国の都市)
John	英国王ジョン(『King~』;1167?‐1216) / 使徒ヨハネ(『St.~』;キリストの12使徒の一人) / =John the Baptist / ヨハネによる福音書(新約聖書の一書)
John Barleycorn	ジョン・バーリーコーン,大麦太郎(酒類の凝人化した呼び方;barleycornは「大麦の粒」)
John Bull	ジョンブル(英国人または英国民のあだ名)
John Doe	訴訟問題で名前が不明の時用いる仮名 / 〈C〉平均的な人
John Dory	=dory2
John the Baptist	バプテスマのヨハネ(ヨルダン川でキリストに洗礼を授けた)
Johnny jump-up	《米》[野生]スミレ([wild]pansy)
Jolly Roger	海賊旗
Jonah	ヨナ(旧約聖書で,不信心のために海に投げ込まれて大魚に飲まれたが3日後に無事岸に投げ出された預言者) / (旧約聖書の)ヨナ書 / 〈C〉不運をもたらす人
Jonathan	ヨナタン(サウルの子;旧約聖書「サムエル記上」)
Jordan	《the ~》ヨルダン川(パレスチナにあって死海に注ぐ川) / ヨルダン王国(旧名はTrans-Jordan;首都はAmman)
Joseph	ヨセフ(Jacobの子;旧約聖書「創世記」) / 聖ヨセフ(聖母マリアの夫;新約聖書「マタイによる福音書」)
Josh.	Joshua
Joshua	ヨシュア(旧約聖書「申命(しんめい)記」に出てくるイスラエルの指導者;Mosesの後継者) / ヨシュア記(旧約聖書の一書)
Joshua tree	ユッカの木(米国南西部の砂漠産の糸ランの一種)
Jove	=Jupiter・(ローマ神話)ユピテル, ジュピター (天地を支配する最高神;〈ギ神〉のZeus)
Joyce	ジョイス(『James Joyce』;1882‐1941;アイルランド生まれの英国の小説家)
Jpn.	Japan / Japanese
Jr.,jr.	junior: John Smith,Jr.ジョンスミス2世
Ju.	June
Judah	ユダ王国(昔ヘブライ人がPalestine南部を占めた王国)
Judaic	ユダヤ教の;ユダヤ人の
Judaica	ユダヤ関係物,ユダヤ文献
Judaism	ユダヤ教
Judas	ユダ(キリストを売った12使徒の一人) / 〈C〉裏切り者
Judas's tree	ユダの木(セイヨウズオウの俗名;ユダが首つり自殺したといわれる木)
Judea	ユダヤ(パレスチナ南部の古代ローマ領)
Judgment Day	最後の審判の日,神の裁きの日,世の終り
Juggernaut	クリシュナ(Krishna)神像(この像を載せた車にひかれると極楽往生ができると信じられた) / 〈C〉《しばしばj-》わが身を犠牲にする迷信(制度,風習) / 〈C〉(戦争など)大規模で破壊力のあるもの
Jugoslav,Jugo-Slav	=Yugoslav
Jugoslavia,Jugo-Slavia	=Yugoslavia
Jul.	July
Julian calendar	ユリウス暦(紀元前46年にJulius Caesarが制定した旧太陽暦)
July	『7月』(《略》『Jul.,Jy.』)
