toxic	毒性の,有毒な / 毒による
trade	〈U〉『商業』,商売 / 〈C〉交換 / 〈C〉〈U〉『職業』 / 〈U〉《the trade》《集合的に》同業者 / 〈U〉《the trade》…業[界] / 〈U〉《形容詞[句]を伴って》売り上げ高;《集合的に》顧客,得意先 / 《the trades》《話》=trade wind / (…を)『売買する,商う』《+in+名》 / 交換する / (…と)商売を営む,貿易をする《+with+名》 / (人と)〈物〉を『交換する』《+名〈物〉+with+名〈人〉》;(物と)〈物〉を交換する《+名〈物〉+for+名〈物〉》
trade book	(教科書版に対して)市販版,大衆版
trade gap	貿易収支の赤字
trade in	下取り品 = trade-in
trade name	商品名 / 商標名 / 屋号,社名
trade paperback	市販版ペーパーバック(量産のペーパーバックよりやや大型で良質の大衆本)
trade price	卸値段
trade school	職業学校
trade union, trades union, labor union	労働組合
trade wind	貿易風(熱帯地方で赤道の北側では北東から,南側では南東から吹く)
trademark	商標 / (ある人に特有の)行動様式 / …に商標を付ける / …を商標として登録する
tradeoff	取り引き
trader	商人,貿易業者
tradesman	商人,(特に)小売商人 / (得意先に注文を聞いて回る)御用聞き
tradespeople	小売商人
trading	商業に従事する / [物々]交換する
trading estate	(国または地方自治体の)産業地区
trading post	post {名}4
trading stamp	景品引換券
tradition	〈U〉〈C〉(昔から伝えられてきた)『しきたり,伝統』・ 〈C〉伝説・慣例,文化遺産
traditional	伝説の,慣習の / 伝統に従った,伝統的な
traditionalism	(宗教上の)伝統尊重主義
traditionally	伝説的に;伝統的に,しきたり通りに
traduce	《文》〈人・性格など〉を非難する,中傷する
traducer	誹謗者・中傷者
traffic	(車・船・人などの)『往来,交通』,通行;(鉄道・船などによる)輸送,運輸 / 《集合的に》交通量,輸送量 / 売買,商売(trade),(特に不正な)取り引き / 運輸業,[旅客]輸送業 / (特に不正に)(…と…の)取り引きをする《+in+名+with+名》
traffic circle	円形交差点,ロータリー
traffic light	〈C〉(交差点の)交通信号灯
traffic warden	駐車違反取締り警官
trafficator	(車の)方向指示器
trafficker	(…を)不正に取り引きする者《+in+名》
tragedian	悲劇作家 / 悲劇俳優
tragedienne	悲劇女優
tragedy	〈C〉(人生の不幸を題材とした)悲劇 / 〈U〉(演劇部門としての)悲劇 / 〈U〉〈C〉(人生・文学などの)悲劇的要素;悲惨なでき事,惨事
tragic	悲劇の / 悲劇的な,悲惨
tragically	悲劇的に,悲惨にも
tragicomedy	(悲劇と喜劇の両面をもつ)悲喜劇
trail	…の『後について行く』(follow) / …を『引きずる』,引きずって行く / 〈人・動物〉の跡をつける,追跡する(pursue) / 〈衣服のすそなどが〉引きずる《+along(behind)》;(…の後を)引きずる《+behind+名》 / 〈人が〉のろのろと(足を引きずるようにして)歩く《+along(behind)》;(…の後を)のろのろと歩く《+『behind』+『名』》 / 〈植物が〉(地面・かきなどを)はう / (試合・競走などで)負けている / 〈雲・煙などが〉たなびく / (動いているものが)後に残したもの(煙・ほこりなど),(長く続く人・車などの)流れ / (人・動物などの)足跡,跡に残したにおい,臭跡 / (荒野などに自然にできた)小道,(踏みなされた)道
trail bike	トレイバイク(起伏の多い地形の走行用のオートバイ)
trailblazer	(山野で)目印をつけて道順を示す人 / (ある分野の)開拓者,先駆者,草分け
trailer	トレーラー(トラクター・トラックに引かれる大きな輸送車) / 《米》(自動車・トラックに引かれる)移動家屋(《英》caravan) / 後に続く人(もの) / つる草 / (映画の)予告編 / トレーラーで旅行する,トレーラーの中で生活する
train	〈C〉『列車』,(連結された)汽車,電車 / 〈C〉(人・車などを長く続く)列,行列 / 〈C〉(衣服の長く引く)すそ,もすそ / 〈U〉〈C〉《集合的に》従者,随員団 / 〈C〉(事件・考えなどの)連続《+of+名》;(事件などの)結果,余波 / 〈C〉(歯車などを数個組み合わせた)列 / 〈C〉導火線,口火 / 〈人・動物〉に『教え込む』,を訓練する,しつける / 〈専門家〉を養成する / 〈植物〉を整枝する,仕立てる / (…に)〈銃砲・望遠鏡・カメラなど〉を向ける,ねらう《+名+on(upon)+名》 / 訓練を受ける,練習する:《train for+名》…に備えて訓練する
train ferry	列車を運ぶフェリー
trainable	訓練(教育)ができる,訓練のしがいのある
trainbearer	(特に結婚式で花嫁などの) 裳裾(もすそ)持ち
trainee	訓練(特に職業訓練)を受けている人,徒弟,見習い / 《米》(軍事教練を受ける)新兵
trainer	訓練する人,仕込む人,(運動選手の)トレーナー,調教師
training	『訓練』,専門教育,調教,(運動選手の)トレーニング,養成
trainman	列車乗務員
traipse	疲れてふらふら歩く
trait	特性,特質,特色
traitor	(国・主義・信用などに対する)『裏切り者』,反逆者,むほん人《+to+名》
traitorous	反逆的,裏切りの
traitress	(女性の)裏切り者,むほん人
trajectory	(ミサイルなどの描く)弾道,軌道,曲線
tram	《英》(また tramcar)=streetcar / 〈C〉(鉱山用の)四輪運搬車,トロッコ
tramline	市街電車系統 / 《話》(テニスの)コートの側線
trammel	馬かせ(馬に側対歩を教えるときに使う足かせ) / 《複数形で》(自由を)拘束するもの,束縛,障害 / …の自由を拘束する,を束縛する
tramp	《様態・場所などを表す副詞[句]を伴って》『ドシンドシンと歩く』 / (…を)踏みつける,踏みつぶす《+on(upon)+名》 / 《場所を表す副詞[句]を伴って》足を踏みしめて歩く / 《副詞[句]を伴って》…を踏みつける / …を踏みしめて歩く / 〈U〉《the ~,時にa ~》『重い(ドシンドシンという)足音』 / 〈C〉長い徒歩旅行 / 〈C〉浮浪者,ルンペン / (また tramp steamer)〈C〉不定期貨物船 / 〈C〉ふしだらな女
trample	…を『踏みつける』,踏みつぶす《+down+名,+名+down》 / (…を)『踏みつける』,踏みにじる《+on(upon,over)+名》 / 踏みつけること,踏みつける音
trampoline	トランポリン(弾力性のあるズックを張り,その上で跳躍やアクロバットをする台)
trance	(催眠術・麻薬などによる)意識もうろう,催眠状態 / (目覚める直前の)夢うつつ[の状態] / (白日夢や瞑想による)忘我の境,恍愡(こうこつ)
tranny	トランジスターラジオ
tranquil	『静かな』,平穏な,穏やかな
