tunneler, tunneller	トンネルを掘る人(機械)
tweeter	トゥイーター(高周波音を再生なるための小型スピーカー)
tweeze	…をピンセットで抜く
tweezers	ピンセット
twelfth	《the~》『第12の』,12番目の / 12分の1の / 〈U〉《the~》『第12』,12番目[のもの];(月の)12日 / 〈C〉12分の1
twelve	〈C〉(数の)『12』;12の記号(12,XIIなど) / 〈U〉12時,12分,12歳 / 《複数扱い》12人,12個 / 〈C〉12(12人,12個)一組のもの / 《the Twelve》(またTwelve Apostles)キリストの12使徒 / 12の,12人の,12個の / 《補語にのみ用いて》12歳の(で)
twelve-tone	(音楽で)12音の,12音階の
twelvemonth	1年(a year)
twentieth	《the》第20の,20番目の / 20分の1の / 《the~》『第20』,20番目[のもの],(月の)20日
twenty	〈C〉(数の)『20』;20の記号(20,XXなど) / 〈U〉(24時間制の)20時,20分;20歳 / 〈U〉《複数扱い》『20人,20個』 / 〈C〉20(20人,20個)一組のもの / 《the twenties》(世紀の)20年代;《one's twenties》(年齢の)20代 / 20の,20人の,20個の / 《補語にのみ用いて》20歳の(で)
twenty-one	〈C〉〈U〉21 / 《米》(またblackjack)〈U〉(カードゲームの)21(《英》pontoon)
twenty-twenty	視力正常の
twerp	くだらないやつ,見下げはてたやつ
twice	『2回』,2度 / 『2倍[に]』
twice-told	2度(幾度)も話された,言い古された
twiddle	(手持ちぶさたで)〈指〉を動かす / (手で,所在なさそうに)…をひねくり回す / (…を)いじる,もてあそぶ《+with+名》 / 《しばしば a twiddle》ひねくり回すこと,いじくること
twig	『小枝』,細枝(branch よりさらに分かれた枝をいう) / …を悟る,がわかる
twiggy	小枝の,小枝のような,小枝に似た / 小枝の多い,小枝の茂る
twilight	(日の出前・日没後の)『薄明かり』,薄暗がり / 『たそがれ』[時],夕暮れ / 微光 / (全盛・成功などの後の)衰退期
twill	あや織物(サージやギャバジンの類) / =it will の短縮形
twin	『双生児の一人』;《複数形で》双生児,ふたご / よく似た人(物)の片方;《複数形で》対 / ふたごの;対の / 〈ある都市〉を(…と)姉妹関係にする《+名+with+名》
twin bed	ツインベッド
