trite	(表現・思想などが)ありふれた,陳腐な
trooper	騎兵,装甲隊員 / 《米》騎馬警官,(自動車に乗った)警官 / 騎兵の馬 / 《米》州警察の警官
troopship	軍隊輸送船
trop.	tropic / tropical
trope	修辞[的表現]
trophy	(狩猟・戦争などで得た)『戦利品』,記念品 / (競技の)トロフィー;優勝記念品;優勝旗(杯・たて)
tropic	〈C〉回帰線 / 《the tropics》熱帯地方 / 熱帯[地方]の(tropical)
tropic of Cancer	北回帰線,夏至線(北緯23°27')
tropic of Capricorn	南回帰線,冬至線(南緯23°27')
tropical	『熱帯の』,熱帯性の,熱帯産の / 酷暑の
tropical fish	熱帯魚
tropical rain forest	熱帯雨林
tropical year	回帰年,太陽年(365日5時間48分45.5秒)
tropism	向性,屈性(植物が一定の刺激の方へ,または反対方向に成長する性質)
tropopause	圏界面(対流圏と成層圏との境界の大気層) 対流圏界面
troposphere	対流圏(海抜7マイルまでの大気層)
trot	〈U〉《しばしばa ~》(馬の)速足,だく足(歩み(pacing)と駆け足(galloping)の中間の歩調) / 〈C〉速足の馬に乗ること / 〈U〉《しばしばa ~》(人の)急ぎ足,小走り / 〈C〉(運動のための)急ぎ足の散歩 / 〈馬が〉速足で駆ける / 《副詞[句]を伴って》〈人が〉急ぎ足で行く,小走りで行く / 〈馬〉を速足で駆けさせる,だく足で行かせる / 〈ある距離〉を速足で行かせる
troth	忠実,誠実 / 真実
trotter	〈C〉速歩に調教された馬 / 〈C〉〈U〉(食用の)豚の足
troubadour	トルバドゥール,吟遊叙情詩人(11‐13世紀にフランス南部・スペイン東部・イタリア北部において,おもに騎士の恋愛について歌った)
trouble	〈U〉『苦難』,心配,悩み / 〈C〉『苦労の種』,心配事,悩みの種 / 〈U〉危険[な状態],困難 / 〈U〉『骨折り』,手数,めんどう,迷惑 / 〈C〉〈U〉(政治的・社会的)紛争,騒動 / 〈U〉(機械などの)故障 / 〈C〉〈U〉病気 / 〈事が〉〈人・自分〉を『悩ます』,心配させる,苦しめる / 《物事を頼むときていねいに》〈人〉を『わずらわす』,じゃまする / 〈水・空気など〉をかき乱す / 《おもに疑問文・否定文で》心配する,気を遣う;骨を折る
troubled	心配そうな,当惑した / 乱れた,荒れた
troublemaker	(常習的に)ごたごたを起こす人,厄介者
troubleshoot	機械の故障を発見して修理する / 紛争を解決する / …の故障を発見して修理する / …の紛争を解決(仲裁)する
troubleshooter	紛争解決者,調停委員 / (機械などの)故障検査員
troublesome	『迷惑な』,人を悩ませる / 『やっかいな』,骨の折れる
trough	(細長い箱形の)水おけ,水盤;かいばおけ / (雨・採鉱用の)とい / (波と波との間,峰と峰の間などの)細長いくぼみ,谷間 / (気圧の)谷
trounce	…をなぐる;罰する / …を完全に負かす
trouncing	なぐること;打ち破ること
troupe	(軽業師・役者・歌手などの)一座,一団
trouper	一座の座員 / 老練な役者 / 仕事熱心な人
trouser press	スボンプレッサー
trousers	『ズボン』
trousseau	嫁入り道具(衣装)
trout	『マス(鱒)』
trove	=treasure-trove
trow	=believe, think 信じる 思う
trowel	(左官の使う)こて / (園芸用の)移植ごて
troy weight	金衡,トロイ衡(金銀・宝石を量るのに用いる衡量)
truancy	ずる休み,無断欠席;骨惜しみ
truant	(学校を)ずる休みする生徒,無断欠席者 / 《軽べつして》仕事をなまける人,さぼる人 / (学校を)ずる休みする / (仕事・義務を)なまける
truce	休戦,停戦;休戦(停戦)協定
truck	『運搬車』,手押し車,トロッコ / 《おもに米》『トラック』,貨物自動車(《英》lorry) / 《英》無蓋貨車 / …をトラックで運ぶ(に積む) / トラックを運転する / 《米》市場向け野菜 / (物々交換用の)交易品 / (賃金に代わる)現物支給 / 《話》がらくた,くず
truck farm	市場向け野菜栽培農場(《英》market garden)
truck farmer	市場向け野菜栽培業者(《英》market gardener)
truck farming	市場向け野菜栽培業(《英》market gardening)
truck trailer	貨物トレーラー(《英》articulated lorry)
truckage	トラックによる運送(運搬)料
trucker	《米》トラック運転手 / トラック運送業者(会社)
trucking	トラック運送[業]
truckle	(…に)ぺこぺこする《+to+名》
truckle bed	=trundle bed
truckman	トラック運転手 / トラック運送業者
truculence	凶暴,残酷;好戦性
truculent	凶暴な,残酷な / (言葉などが)痛烈な,しんらつな / 好戦的な
trudge	とぼとぼ歩く,重い足どりで歩く / とぼとぼ歩き
true	『ほんとうの』,真実の / 『本物の』,正真正銘の(real) / 『誠実な』,忠実な,忠誠な(faithful) / 心からの,うそ偽りのない / 寸分違わない,正確に一致する,適合する / 正当な,適正な,正しい(proper) / 間違いない,確実な / 〈機械・器具などが〉正確にできた,正しい位置にある;〈声などが〉正しい調子の / うそをつかないで,正直に / 寸分違わないように,確実に / 先祖の型どおりに / …を正しく調整する《+up+名,+名+up》
true bill	(大陪審が起訴を妥当と認める)原案適正[の証],起訴認定書
true blue	絶対忠実な保守党員
true-blue	信念を曲げない,主義などに忠実な
true-life	事実に基づいた
trueborn	嫡出の / きっすいの
truehearted	忠実な,忠誠な;誠実な,まじめな
truelove	恋人,愛する人
truffle	フランスショウロ(食用キノコ)
trug	(庭園で)花・道具を入れるかご
truism	自明の真理,分かりきったこと
truly	『偽りなく』,心から / まことに,全く(indeed);ほんとうに,実に(really) / 正確に,寸分違わず(exactly)
