tranquility, tranquillity	平穏,平静
translate	(ある言語から他の言語へ)〈話・文章〉を『翻訳する』《+名+from+名+into+名》 / …を他の言葉で説明する;(…に)…を言い換える《+名+into+名》 / 《文》(…に)…の性質(状態など)を変える,を変化させる《+名+into+名》 / 『翻訳する』,翻訳者を務める / 〈文章などが〉(…に)翻訳できる《+into+名》
translation	〈U〉『訳すこと,翻訳』 / 〈C〉翻訳されたもの
translator	(特に専門の)翻訳者,翻訳家
transliterate	…を字訳(音訳)する
transliteration	字訳,音訳
translucence	半透明
translucency	=translucence
translucent	半透明の
transmigrate	〈魂が〉他の肉体に転生する
transmigration	転生,輪廻(死後霊魂は他の肉体に移って巡って行くという説)
transmission	(また transmittal)〈U〉(…を)伝える(送る)こと,(…が)伝えられる(送られる)こし,(…の)伝達,伝送《+of+名》 / 〈C〉(ラジオ・テレビなどで)送られたもの(画面・番組など) / 〈C〉伝動装置,(車の)変速装置,ギヤ
transmit	〈手紙・品物など〉を送る,(ある人・場所・物から他へ)…を伝える,移す / (相続・遺伝などによって子孫に)〈財産・性質など〉を伝える《+名+to+名》 / (媒介によって)〈光・熱・音・力など〉を伝える,伝導する;〈ラジオ・テレビなどの内容〉を放送する,〈信号など〉を送信する
transmittal	=transmission 1
transmitter	送る(伝える)人(物) / (テレビ・ラジオの)送信機 / (電話の)送話器,(電報の)送信器
transmogrification	変形,変貌(へんぼう)
transmogrify	(特に奇怪な形に)…を変形させる《+名+into+名》
transmutable	変質(変形)できる
transmutation	変化,変形,変質 / (物理学で)変換
transmute	(いっそう優れたもの,高度なものに)…を変える,変形(変質)させる《+名+into+名》
transnational	国境を越えた
transoceanic	大洋横断の / 大洋の向こうの
transom	(また transom window)《米》(ドアの上にあり,ちょうつがいで開閉できる)明かり取り窓,欄間(《英》fanlight) / 無目(ドアと上部の窓・欄間などを水平に仕切る横材) / 窓を水平に仕切る木や石の横材 / 横材で仕切られた窓
transonic	(また transsonic)音速に近い,音速前後の
transp.	transportation
transpacific	太平洋横断の / 太平洋の向こう岸の
transparence	透明性,透明度
transparency	〈U〉透明 / 透明なもの,(特に)スライド[写真]
transparent	『透明な』,透き通った,光を通す / 透けるほど薄い / (言い訳などが)見え透いた / 率直な,正直な,あけひろげの
transpiration	(秘密などの)露見,発覚 / 《話》発生 / (水分の)蒸発,発散
transpire	《話》起こる,生ずる(happen) / 〈秘密などが〉もれる,知れる / 〈水分・老廃物などが〉出る,排出される / 〈水分や老廃物など〉を出す,発散する
transplant	〈植物〉を移植する / (…から他の場所へ)…を移す,〈人〉を移住させる《+名+from+名+to+名》 / (…から…へ)〈組織・器官など〉を移植する《+名+from+名+to+名》 / 移植できる;移住する / 〈C〉移植された物 / 〈U〉移植すること
transplantation	移植術〈C〉; 移植〈U〉
transpolar	北極(南極)を越える,極地を横断する
transponder	自動無線応答機
transport	(ある場所からある場所へ)…を『輸送する』,運搬する《+名+from+名+to+名》 / 《文》《受動態で》(…で)…を夢中にする,有頂天にする《+名+with+名》 / 〈罪人〉を流刑にする / 〈U〉輸送,運送,輸送(交通)機関(transportation) / 〈C〉(軍隊や軍需品を運ぶ)輸送船,輸送機
transport cafe	(トラック運転手などが利用する)ドライブイン食堂
transportation	《おもに米》『輸送』,運送;輸送(交通)機関 / 《米》運送料;運賃 / (昔の罪人の)追放刑,流罪;流罪の期間
transporter	自動車運搬用大型トラック
transporter bridge	(荷物などを運ぶ)[高架]運搬橋
transporter crane	運搬クレーン(レール上を移動して荷物の積み下ろしをする)
transpose	〈位置・順序など〉を逆にする,置き換える,移す / (楽曲で)…を移調する / (等式で)…を移項する
transposition	置き換え,転位 / (数学で)移項 / (音楽で)移調
transsexual	性倒錯者 / 性転換者
transship	〈乗客・貨物〉を他の船(列車など)に移す,積み換える
transshipment	(乗客・貨物を)他の乗り物に移すこと,(…の)積み換え《+of+名》
transsonic	transonic
transubstantiation	全質変化(カトリック教で聖体のパンとぶどう酒をキリストの肉と血とに変化させること)
transversal	(幾何で)横断線
