tone arm	トーンアーム(先端にピックアップを付けるレコード・プレーヤーの腕)
tool	(金づち・スパナー・のこぎりなど大工・指物仕事をするための)『道具』,工具 / (機械の部品を切削・加工する)『動力機械』(器具) / (2の)切削(加工)部分 / 道具に使われる人,手先 / 《比喩的に》(一般に)道具,手段 / …を道具で造る(形作る) / 道具で造る(形作る)
toolbox	工具箱
toot	(笛・らっぱなどの)プープー鳴る音;(笛・らっぱなどを)プープー鳴らすこと / 〈笛・らっぱなど〉を鳴らす / 〈笛・らっぱなどが〉鳴る
tooth	『歯』 / 『歯状の物』,(くし・のこぎり・歯車・フォークなど)歯の働きをする物 / …に歯を付ける;…を歯状(ぎざぎざ)にする
toothache	歯痛
toothbrush	歯ブラシ
toothcomb	=fine-tooth comb
toothed	歯のある / V字型の突起がある,ぎざぎざの
toothless	歯のない / 効力のない
toothpaste	練り歯磨き
toothpick	つまようじ
toothpowder	歯磨き粉
toothsome	おいしい,うまい / 愉快な,気持ちのよい
toothy	出っ歯の;歯をむき出した
tootle	〈笛など〉をゆるやかに吹く / ゆるやかに吹く / 《副詞[句]を伴って》ゆっくり行く / ゆっくり吹くこと(音)
tootsie	(男女の)いちゃつき;《米俗》なれあい, テーブルの下で他の人に分からないように足を使って軽くいちゃつくこと / あんよ
top	〈C〉《the ~》(…の)『いちばん上の部分』,最先端,頂上 / 〈C〉《the ~》(…の)『最上面』,表面《+of+名》 / 《the ~》(…の)『最高位』,『首位』;上座《+of+名》 / 《the ~》(…の)『最高の程度』,頂点《+of+名》 / 〈C〉《the ~》(びんなどの)ふた,栓;(車の)屋根[カバー],ほろ《+of+名》 / 〈C〉《複数形で》(根菜の)葉の部分《+of+名》 / 〈C〉(上下の服の)上 / 《通例名詞の前にのみ用いて》 / 『最も高い』,いちばんの / 『最上位の』,第一位(一級)の / 最高程度の / …に『おおい(ふた)を付ける』 / …の頂上にある,頂上をおおう / …の頂上に達する,を登りきる / …をしのぐ,にまさる / 〈野菜・果実など〉の葉の部分を切る(刈り込む) / (ゴルフで)〈球〉の上をたたく / こま
top boot	(通例ひざまでの)長靴
top brass	高級将校;高級官僚
top dog	(競争・努力の結果の)勝利者,支配者
top hat	シルクハット(高い円筒形で絹製の男性用帽子)
top-drawer	最高級の,最重要の / 上流階級
top-heavy	頭部が重い,頭でっかちの,釣り合いのとれない
top-level	最高級の,最高首脳部の
top-ranking	第一流の,第一位の
top-secret	(特に軍事上)極秘の
topaz	黄玉(おうぎょく);〈C〉(宝石の)トパーズ
topcoat	〈C〉軽い外とう,合いオーバー / 〈C〉〈U〉仕上げ塗り
topdress	〈土の表面〉に追肥をする(肥料,石灰などをまくこと) = top-dress
topdressing	追肥をすること
tope	酒びたりになる / 〈酒〉をひどく(常に)飲む
topee, topi	=pith helmet
topflight	抜群に優れた,第一級(一流)の・最高の
topgallant	トゲルンマスト(帆船でトップマストのすぐ上に付けるマスト);トゲルンスル(トゲルンマストの帆桁にかける帆) / トゲルンマスト(トゲルンスル)の
topiary	(樹木が)装飾的に刈り込まれた
topic	(…の)『話題』;論題《+of+名》
topical	時事問題の,今日的な,話題の / 地域の,地方の / 局部的な,局所の
topicality	〈U〉話題になっていること(状態) / 〈C〉《複数形で》時事問題
topknot	(頭のてっぺんの)まげ,髪の束, (女性が頭に付けた)ちょう結びのリボン;(鳥の)冠毛
topless	(女性が)上半身裸の / (衣装が)上半身のない,トップレスの
topmast	トップマスト,中檣
topmost	いちばん高い,最高の
topnotch	飛び切り上等の,第一級(一流)の
topog.	topography
topographer	地形学者,地図作成者
topographic, topographical	地形学の,地形(地勢)図の,地形(上)の
topography	〈U〉地形学,(ある地域の)地形図作成 / 〈U〉地形,地勢
topper	=top hat
topping	この上ない,すてきな / (ケーキなどにかける)糖衣,(料理の)添え物,ソース
topple	ぐらぐらする,ぐらついて倒れる《+over》 / …を倒す,引っくり返す
tops	《補語にのみ用いて》《米話》最上の,最高の
topsail	(船の)中檣帆,トップスル
topside	(特に牛の)腰肉の切り身 / 上側へ(に,で) / 甲板上に(で)
topsider	〈C〉《米》デッキシューズ(ボート用の滑りにくい靴) / 上層階の住人
topsoil	表土
topspin	トップスピン(回転しながら進む球の回転運動)
topsy-turvy	逆さまに / めちゃくちゃに,混乱して / 逆さまの / 無秩序な,めちゃくちゃの
toque	トーク(羽飾りつきの縁なし,または狭い縁つきの小さい婦人帽)
tor	小さい岩山
torah	(ユダヤ教の)[全]律法 / 《the Torah》モーセの五書
torch	『たいまつ』 / 《米》(はんだ付けなどに用いる)トーチランプ(《英》blowlamp)・《英》=flashlight・《比喩的に》(…の)火,光,光明《+of+名》・「carry a torch for誰々」または「carry the torch for 誰々」で「誰々に片思いする」
torch song	失恋を題材にした感傷的な流行歌
torchbearer	たいまつを持つ人 / 啓蒙する人,文化人
torchlight	たいまつの明かり;《英》懐中電灯の光
tore	tear の過去
toreador	(スペインの)闘牛士(普通は馬に乗っている)
torment	〈痛み・悩みなどが〉(精神的・肉体的に)〈人〉を『苦しめる』 / (…で)…を悩ませる,困らせる《+名+with+名》,(…して)…を困らせる《+名+by doing》 / 〈U〉《時に複数形で》『激しい苦痛(苦悩)』 / 〈C〉悩みの種
tormentor, tormenter	苦しめる人(もの)
torn	tear の過去分詞
tornado	(特に米国中部に発生する)竜巻 / 大旋風
torpedo	魚雷,魚形水雷 / (鉄道の)発雷信号 / かんしゃく玉 / …を魚雷で爆破する
torpedo boat	水雷艇,魚雷艇
torpedo tube	(船体についた)魚雷発射管
torpid	(体の機能などが)鈍い,のろい,不活発な / 鈍感な / 冬眠状態の,冬眠中の
torpidity	麻痺(無感覚)状態;無気力
