thermionic valve	=thermionic tube
third-class	3等(3級,3位)の / (乗り物が)3等の / 《米》(郵便が)第3種の / (乗り物が)3等で;(郵便が)第3種で
third-degree burn	第三度熱傷(壊死(えし)性火傷)
third-rate	(品質が)非常に悪い,下等な
thirst	『のどの渇き』,渇 / 《a ~》(…に対する)『渇望』,熱望《+for+名》 / (進行形にできない)《古》のどが渇く(be thirsty) / (…を)『渇望する』,熱望する《+for(after)+名》
thirstily	のどが渇いて;渇望(熱望)して
thirstiness	のどが渇いていること;渇望,熱望
thirsty	(人が)『のどの渇いた』 / (物事が)のどを渇かせる / (土地・植物などが)乾いた / 《補語にのみ用いて》《be thirsty for+名》…を『渇望(熱望)している』,しきりに求めている
thirteen	〈C〉(数の)『13』;13の記号 / 〈U〉(24時間制の)13時,13分,13歳 / 《複数扱い》13人,13個 / 『13の』,13人の,13個の / 《補語にのみ用いて》13歳の(で)
thirteenth	《the ~》『第13』,13番目[のもの],(月の)13日 / 〈C〉13分の1 / 《the ~》『第13の』,13番目の / 13分の1の
thirtieth	《the ~》『第30』,30番目[のもの],(月の)30日 / 〈C〉30分の1
thirty	〈C〉(数の)『30』;30の記号(30,XXX など) / 〈C〉30分,30歳 / 《複数扱い》30個;30人《the thirties》(世紀の)30年代 / 『30の』,30人の,30個の / 《補語にのみ用いて》30歳(で)
thirty-second note	32分音符
this	《近くの人・物・事を指して》『これ』,この人,こちら / 《時間・場所を指して》『今』,現在,今日;『ここ』 / 《次に述べること・今述べたことを指して》『このこと』,これ,こういうこと / 《that と対照的に》 / (that の前者に対して)『後者』 / 『この』 / 『今の』,現在の;最近の / 《that と対照的に》『この』,こっちの / 《程度・量を示す形容詞・副詞とともに》これだけ,こんなに,この程度まで
thistle	アザミ(Scotland の国花)
thistledown	アザミの種子の冠毛
thither	そこへ,あそこへ
tho,tho'	though
thole	かい座ピン(ボートのへりにさし込んであるオール受け) 船の櫓べそ かい受け軸 瓶 栓
thong	(サンダルやむちなどに使う)革ひも
thoracic	胸の,胸部の
thorax	(人間や動物の)胸,胸部 / (昆虫の)胸部
thorium	トリウム(金属元素;化学記号は『Th』)
thorn	〈C〉(植物の)『とげ』,針 / 〈C〉〈U〉《複合語を作って》とげのある植物 / 《複数形で》苦痛の種
thorny	とげのある,とげの多い;とげのような,とがった / やっかいな,困難な,苦しい
thorough	《名詞の前にのみ用いて》『完全な』,完ぺきな / 全くの,根っからの / (仕事などが)『徹底的な』,手落ちのない
thoroughbred	(動物が)純血種の / 《Thoroughbred》(馬が)サラブレッドの / 純血種の動物(馬・犬など) / 《Thoroughbred》サラブレッド(競馬用) / 生まれが良く教養のある人
thoroughfare	(特に)交通量の多い街路,幹線道路 / (行き止まりでない)通路,往来
thoroughgoing	《名詞の前にのみ用いて》全くの(utter) / 完ぺきな,徹底的な
thoroughly	『徹底的に』,完ぺきに,全く
thoroughness	完ぺき,完全;徹底していること
