textual	原文の,本文の
the	《前述の名詞または文脈でそれと分かる名詞に付けて》『その』,あの,名の / 《唯一の事物に付けて》 / 《方角・自然現象に付けて》 / 《用具・楽器・特定の病気などに付けて》 / 《修飾語[句]を伴う名詞に付けて》 / 《単数普通名詞に付けて》(1)《種族全体》…『というもの』 / 《複数名詞または集合名詞に付けて》 / 《単位》『…につき;…単位[で]』 / 《身体の一部に付けて,所有格に代わる》 / 《形容詞に付けて》 / 《固有名詞に付けて》 / 《強意用法に》『随一の』,典型的な / 《「the+比較級,the+比較級」の形で》『…すればするほどそれだけ』 / 《比較級の前に》(…につれて,のために)『それだけ』,ますます
the Internal Revenue Service	内国歳入庁, 国税庁 《略 IRS》
theat.	theater / theatrical
theater, theatre	〈C〉『劇場』,映画館 / 〈C〉《the ~》『劇』,演劇 / 〈C〉(事件・活動の)『現場』,舞台 / =lecture theater / =operating theater
theater-in-the-round, theatre-in-the-round	円形劇場(=arena theater)
theatergoer, theatregoer	芝居の常連,芝居通
theatrical	劇場の,劇の / 芝居がかった,誇張した,わざとらしい / (特に)素人芝居
theatrically	芝居じみて,わざとらしく,誇張して
theatrics	〈U〉《単数扱い》演出法 / 《複数扱い》芝居がかった動作
thecodont	シカドント(先史時代のトカゲ;恐竜の先祖で,現在のワニに至っているとされている)
thee	なんじを(に)
theft	盗み;窃盗罪
thegn	=thane
their	『彼らの』,彼女らの,それらの
theirs	『彼らのもの』,彼女らのもの,それらのもの / 《of theirs の形で》『彼らの』
theism	有神論
theist	有神論者
theistic	有神論の
them	『彼らを(に)』,彼女らを(に),それらを(に) / =those
thematic	主題の,テーマの,主題に関する
theme	『主題』,論題,題[目],テーマ / (児童・生徒の)『作文』 / (曲の)主題,主旋律(一曲の中にさまざまに形を変えて繰り返し出てくる旋律)
theme park	動物の生態研究など特定の意図で作られた公園
theme song	(ミュージカル・映画などの)主題歌
themselves	《強意用法》《[代]名詞と同格に用いて》『彼ら自身』,彼女ら自身,それら自身 / 《再帰用法》《動詞・前置詞の目的語》『彼ら自身を(に)』,彼女ら自身を(に),それら自身を(に)
then	『その時』,あの時,そのころ / (時間・場所・順番などが)『それから』,その次に,隣に,その[すぐ]後で / 『その上』,それに / 《通例文頭または文尾において》『それでは』,それなら,その結果 / 『その時の』,当時の / 『その時』
thence	そこから,その場所から / それゆえに,だから
thenceforth	それ以後ずっと,その時以来
thenceforward	thenceforth
theocracy	〈U〉神政・神権政治(王に代わって僧侶・神官たちあるいは教会が神託によって行う政治体制) / 〈C〉神政国
theocratic	神政の
theodolite	経緯儀(鉛直角・水平角を測定するのに使う器械)
theol.	theological / theology
theologian	(特にキリスト教の)神学者
theological	神学の,神学的
theology	神学
theorem	定理 / (一般に)自明の原理,定理
theoretic, theoretical	理論[上]の,理論的な / 仮説の,推論上の;空論好きの
theoretically	理論上,理論的に
theoretician	(科学・芸術分野での)理論研究者,理論家
theorist	理論家,理論(学説)を立てる人
theorize, theorise	(…を)理論づける,理論立てる《+about(on)+名(doing)》
theory	〈C〉(…の)(学問的な)『理論』,学説《+of+名》 / 〈C〉(…の実地に対する)『理論』《+of+名》 / 〈C〉(…という)『推測』,憶測;見解,考え《+that節》
theosophical	神知学の,接神教(論)の
theosophist	神知学者,接神論者
theosophy	神知学,接神教(黙想や直感により神知を得ようとする)
therapeutic	治療[上]の
therapeutically	治療上
therapeutics	治療学
therapist	治療専門家
therapy	(病気の)治療,療法 / =psychotherapy
there	『そこで(に,へ)』,あそこで(に,へ) / 『その時に』,その箇所で,そこで / 『その点で』,その事で / 《文頭に置いて》『そら』,あれ / 《その場にいる人に》『そこの人』,おい君[たち] / 《名詞の後に用いて》『そこの,あそこの』,そこにいる(ある) / 《There is(are)+名の形で》『…がある』…がいる / 《There+動+名の形で》 / 『そこ,あそこ』,あの場所 / そら,やれやれ,まあまあ
there's	there is, there hasの短縮形
thereabout	=thereabouts
thereabouts	おおよそその辺に,大体そのころ;およそ…ぐらい
thereafter	その後(after that)
thereat	そこで / その時 / そのために
thereby	それによって(by that means) / それに関連して
therefor	そのために;その代わりに
therefore	『それゆえ』,それで;その結果
therefrom	そこから;それから
therein	その中に,そこに / その点で(に)
thereinafter	(公式文書などで)後文に,以下に
thereof	それについて,それの / その事から
thereon	その上に,それに関して;その後ただちに
thereto	それに,そこへ
theretofore	それ以前に
thereunder	その下に,それ以下に
thereunto	それに,そこへ
thereupon	その後ただちに / その結果,それゆえに
therewith	それとともに,それで / その後ただちに
therewithal	それに加えて;それとともに
therm.	thermometer
thermal	熱の,熱による / 熱い / (暖まった)上昇気流
thermal barrier	heat barrier
thermal pollution	(工場の熱廃水による川・湖などの)熱公害
thermion	熱イオン
thermionic	熱イオンの
thermionic tube	熱電子管
