tactual	触覚の
tailspin	(航空機の)きりもみ降下
tailwind	追い風
taint	汚点,汚れ / 腐敗;堕落 / (病気などの)気味,痕跡《+of+名》 / …を汚す / …を腐らせる;…を堕落させる / 汚れる,腐る,堕落する
take	…を『手に取る』,つかむ,握る / (…から)…を(力づくで)『取り上げる』,奪い取る,占領する《+名+from+名》・〈人〉を『捕らえる』,〈魚・獲物〉を捕獲する・(いくつかある物の中から)…を『選んで取る』,選ぶ・〈賞など〉を『勝ち取る』;〈試合〉に勝つ・〈贈り物・金など〉を『受け取る』,もらう・〈忠告など〉を受け入れる,に従う;〈非難など〉を甘受する・《副詞[句]を伴って》(…な気持ちで)…を受け取る,に反応する・〈人〉を迎える,預かる,引き受ける;〈婿など〉をとる・…を予約する,借り入れる:(定期的に)…を購読する,購入する・(元となるものから)…を取ってくる,(本などから)…を引用する《+名+from+名》・(体内に)…を『取り入れる』,食べる飲む;〈休日など〉を取る・〈外力・影響〉を受ける;〈病気〉にかかる:〈色〉に染まる;〈におい〉が移る;〈火〉が付く・〈物〉を『持って行く』,〈人〉を『連れて行く』・…を連れ去る;〈人の命〉を奪う・(…から)…を減じる,引く《+名+from(off)+名》・(…で)〈人〉の心を奪う,〈注意など〉を引く《+名+with+名》・(…へ)〈乗り物が〉…を『運ぶ』,〈道などが〉…を導く,〈仕事などが〉…を行かせる《+名+to(into)+名》・〈乗り物〉に『乗る』・〈物事が〉・〈時間・空間・労力など〉を『必要とする』,要する・〈人が〉〈場所・位置〉を『占める』・《動作を表す名詞を目的語にして》〈その名詞が表す行動・動作など〉を『する』,とる,実行する・〈手段〉をとる;〈道具など〉を用いる・〈時間・機会など〉を利用する・〈授業〉を受ける・〈道〉を行く,とる・…を書き取る;〈絵画〉を描く;〈写真〉を撮る・…を取り扱う,考慮する・〈責任・義務〉を負う;〈役目・職務など〉に就く・…を計る,測定する;…を調査する・〈ある感情・決意・見解など〉・を持つ,抱く・…を『理解する』,分かる・…に当たる(hit) ・〈男が〉〈女〉と性交する・〈機械装置などが〉かかる;〈歯車などが〉かみ合う・〈根が〉つく;〈種が〉芽を出す・〈薬が〉効く;〈接種が〉つく / 〈インキ・染料・絵の具などが〉付く,乗る / 人気を博す,受ける・《副詞[句]を伴って》写真に写る・(1回の)捕獲高,漁獲高 / (映画で,連続して撮った)1シーン;(連続撮影の)1ショット・反応・見解:「What is your take on何々?」で「何々をどう思いますか」
take-home pay	(税金・保険料などを差し引いた)手取り[俸給]
takeaway	=carryout
taken	take の過去分詞
takeoff	〈C〉〈U〉(飛行機・宇宙船などの)離陸 / 〈C〉(跳躍の)踏み切り点 / 〈C〉《話》おどけた物まね
takeover	(管理・支配などの)奪取,接収;(特に会社などの)乗っ取り
taking	〈U〉取ること,獲得 / 《複数形で》売り上げ高 / 《おもに話》人の心を引く,魅力的な
talc	滑石,タルク(柔らかですべすべした鉱物)
talcum	=talcum powder / =talc
talcum powder	タルカムパウダー(滑石の粉末に香料などを加えたもの;湯上がり・ひげそり後にはたく)
tale	(事実・伝説・架空の)『話』,物語 / 作り話,うそ / 《複数形で》告げ口,中傷
tale bearing	他人の悪評を広げること
talebearer	他人の悪評を言いふらす人,告げ口屋
talent	〈U〉〈C〉(特に生まれながらの優れた)(…の)『才能』,技量《+for+名(doing)》 / 〈C〉《おもに米》才能のある人;タレント / 〈U〉《集合的に》才能のある人々,人材 / 〈C〉タレント(古代ギリシア・ローマなどの,重量・貨幣の単位)
talent scout	タレントスカウト
talented	才能のある(gifted)
taleteller	物語の話し手 / =talebearer
tali	talus の複数形
talisman	不思議な力を持つとされる模様や文字を彫り込んだ石(指輪);(一般に)お守り,魔よけ
talk	『話す』,しゃべる,物を言う,口を利く / (考えなどを伝えるために)(…と…について)『語る』,話す,話し合う,論ずる《+to(with)+名+about(of, on)+名(doing, wh-節・句)》 / うわさ話をする;秘密をもらす / (言語以外の方法で)話す,合図する / …をことを話す,を論ずる / 〈言語・方言〉を話す,使う / 〈人〉に話す / 〈C〉『話』,談話,おしゃべり;《複数形で》(正式な)『話し合い』,協議 / 〈C〉(…についての)(形式ばらない)『演説』,講演《+on(about)+名》 / 〈U〉うわさ,風説;《the~》うわさの種 / 〈U〉空論,むだ話 / 〈U〉話しぶり,口調
talk show	トークショー(ラジオ・テレビの有名人インタビュー番組)
talkative	おしゃべりな
talker	話し手 / おしゃべりな人
talkie	トーキー,発声映画
talking point	議論(対話)の主題
talking-to	お目玉,叱責
tall	(背の)『高い』 / 《補語にのみ用いて》『背たけ(高さ)が…の』 / 《話》(話などが)大げさな,誇張した / (程度・量が)法外な,ものすごい
tallboy	=highboy
tallish	背がやや高い
tallow	(牛・豚・羊などの)獣脂(ろうそく・せっけんなどの原料)
tally	勘定,計算;(競技の)得点,記録 / 割り符(昔,細長い木片などに借金の金額・返済期日などを刻みつけて2分し,両者がその一方を所持して証拠としたもの) / (用途・所有者などを示す)札,付け札 / …を計算する,記録する《+up+名,+名+up》 / (…と)〈話・計算などが〉符合する,一致する《+with+名(doing)》
tallyho	タリホー(狩りでキツネを見つけた人が発する声)
tallyman	分割払い販売員 / (船荷などの)検数係,照合係
talon	(特に猛鳥の)つめ
talus	(くるぶしの)距骨;くるぶし,足首
tam	=tam-o'-shanter タモシャンター てっぺんに毛糸の玉房のついたウール製の大きなベレー帽
tam-o'-shanter	タモシャンター(おもにスコットランドで用いるウールのベレー帽;上に房がついている)
tamable, tameable	飼いならすことのできる
tamale	タマーリ(メキシコ料理の一種で,粉・ひき肉・からしをとうもろこしの素に包んで蒸したもの)
tamarack	アメリカカラマツ;〈U〉その木材
tamarind	〈C〉タマリンド(熱帯産のマメ科の常緑植物) / 〈U〉タマリンドの実(食用・調味料)
tamarisk	ギョリュウ(御柳)(地中海原産の低木でピンクの花をつける)
tambour	(刺しゅう用の布地を張る2個の)わく / 太鼓 / (家具の)蛇腹とびら
tambourine	タンバリン(手太鼓の一種)
tame	(動物が)『飼いならされた』,人になれた / (人・動物が)『おとなしい』 / 《話》おもしろくない,退屈な,つまらない / 〈野獣など〉を『飼いならす,』(飼いならして)おとなしくさせる / …を制御する,制御して利用する
tameable	tamable
tamer	(動物の)調教師
tamp	(軽くたたいて)…を詰める《+down+名,+名+down》 / (発破で)〈爆薬を詰めた口〉を泥でふさぐ
tamper	(へたに)(…に)干渉する,よけいな手出しをする《+with+名(doing)》 / (人と)不正な交渉をする,(人に)わいろを使う《+with+名》
tampon	タンポン;止血用の綿球
tan	〈皮〉を『なめす』(生皮を皮革に変えること) / 〈皮膚〉を『日焼けさせる』 / 《話》…をひっぱたく / 日焼けする / 〈U〉黄褐色 / 〈C〉日焼けした色 / 〈U〉タンニン(tannin) / 褐色の / tangent
tanager	フウキンチョウ(風琴鳥)(米国産の羽毛の美しい小鳥)
tanbark	タン素(皮なめし用の樹皮)
tandem	前後一列に; / 縦並びの,前後に座席のある / 縦につないだ2頭の馬;縦列2頭立ての馬車 / 二人乗り自転車
tang	(…の)ぴりっとした味,ぷんとくるにおい《+of+名》
tangelo	タンジェロ(ミカンとグレープフルーツの交配種)
tangent	接線;タンジェント,正接(《略》tan) / 接する;(…に)接する《+to+名》 / (また tangential)接線の;(…との)接線の《+to+名》
tangential	=tangent / それた,相違した
tangerine	〈C〉ミカン;ミカンの木 / 〈U〉だいだい色
tangibility	触知できること;明白,確実
tangible	手で触ることのできる,触知できる / 実体のある,有形の;現実の / 明白な,確実な
tangible assets	(会社の)有形資産
tangibly	触知できるよう(ほど)に;明白に
tangle	〈糸など〉を『もつれさせる』;(…と)…をもつれさせる《+名+with+名》 / …を『紛糾させる』,こみいらせる / もつれる / 紛糾する / 《話》(…と)けんかする《+with+名》 / もつれ / 紛糾 / 《話》けんか,仲たがい
tango	〈C〉タンゴ(南米に発した踊り) / 〈C〉〈U〉タンゴの曲 / タンゴを踊る
tangy	(味が)ぴりっとする;においが強い
tank	(液体・ガスなどを入れる)タンク / 『戦車』,タンク / …をタンクに蓄える
tankard	(取っ手・ふたつきの,ビール用)大コップ / 大コップ一杯の分量
tanked up	《補語にのみ用いて》《特にビールで》酔っぱらった,腹がふくれて
tanker	タンカー,油送船;タンク車;油送飛行機
tanner	皮なめし工 / 6ペンス貨(旧制度の銀貨)
tannery	皮なめし工場
tannic	タンニンの;タンニンから得た
tannin	タンニン(皮なめし・インク製造などに用いられる植物成分)
tanning	皮なめし法,製革法
tannoy	拡声器(loudspeaker)による宣伝 (商標)タノイ タンノイ スピーカーの一種
tansy	〈C〉コモギギク[属](小さな黄色い花の房をつける) / 〈U〉(薬用・食用の)ヨモギギクの汁
