twin set	ツインセット(同色にカーディガンとセーターのアンサンブル)
twosome	二つ組,2人組 / (ゴルフなど)2名一組でする試合
twp.	township
tycoon	(資産と権力のある)実業界の大立て者 / 《しばしば T-》大君(徳川幕府の将軍に対する外人の呼称)
tying	tie の現在分詞
tyke, tike	《おもに米話》小さな子 / のら犬,雑種犬 / 《おもにスコットランド》無作法者,ならず者
tympana	tympanumの複数形
tympani	=timpani
tympanic membrane	鼓膜
tympanum	=tympanic membrane / =middle ear
typ.	typographer; typographical
type	〈C〉(…の)『型』,タイプ,類型,種類(kind)《+of+名》 / 〈C〉(その種類の特質を最もよく表している)『典型』,手本,模範《+of+名》 / 〈U〉《集合的に》活字;〈C〉(1個の)活字 / 〈U〉(印刷された)字体,活字 / 〈C〉(貨幣・メダルなどの)模様,図柄 / 〈C〉血液型(blood group) / …をタイプに打つ / (…として)…を分類する《+名+as+名(doing)》 / …の型を決める / タイプライターを打つ
type founder	活字鋳造工(業者) = typefounder
typecast	(体格・態度・個性などによって)〈俳優〉をはまり役に割り当てる
typeface	(字の)活字づら
typescript	〈C〉タイプライターで打った原稿 / 〈U〉タイプライター印刷物
typesetter	植字工 / 植字機
typewrite	…をタイプライターで打つ / タイプを打つ,タイプする
typewriter	『タイプライター』 / 《まれ》タイピスト(typist)
typewritten	タイプライターで打った
typhoid	腸チフス / 腸チフスの
typhoid fever	腸チフス(typhoid)
typhoon	『台風』(特に太平洋西部海域・シナ海の)
typhus	発疹(はっしん)チフス
typical	『典型的な』,代表的な / 特色をよく示す,特徴的な
typically	典型的に,代表的に / 典型的な場合に / 特徴的に
typify	…の典型である,を代表する / …の特徴を示す / …を象徴する
typing pool	(会社の)タイピスト集団
typist	『タイピスト』 / タイプの上手な人
typo.,typog.	typographer;typographical;typography
typographer	活版印刷工,活版植字工
typographic	活版印刷術の,印刷上の
typographical	=typographic
typography	活版印刷術 / 印刷の体裁,刷りぐあい / (植字・組版を含めて)印刷
tyrannical	暴君のような;暴虐な,残酷な
tyrannize, tyrannise	(…を)しいたげる,暴虐を加える《+『over』+『名』》 / 〈国〉に暴政を行う;〈人々〉をしいたげる
tyrannosaur	ティラノサウルス(北米の後期白亜紀の地層から発掘された肉食恐竜)
tyrannous	暴君のような;暴虐の,残酷な
tyranny	〈U〉『圧制』 / 〈C〉《しばしば複数形で》暴虐行為 / 〈U〉専制政治,専制 / 〈C〉(古代ギリシヤの)僭主政治
tyrant	『暴君』,圧制者 / 専制君主 / 僭王(古代ギリシアにおいて世襲以外の方法で王位を獲得した者)
tyre	=tire
tyro, tiro	初心者
tzar	=czar
tzarina	=czarina
tzetze fly, tzetze-fly, tzetze	=tsetse fly
