thunderstorm	大雷雨,雷を伴ったあらし
tiddler	《話》非常に小さい魚 / 《呼び掛けに用いて》ちびっ子 / 《俗》半ペニー銅貨
tiddly, tiddley	ほろ酔いの / とても小さい
tiddlywinks	《単数扱い》小円盤の縁を他の円盤で押しはじいて飛ばせ,カップの中に入れるゲーム
tide	〈U〉〈C〉『潮[の干満]』,(潮の干満によって起こる)潮流 / 〈C〉(世論などの)『風潮』,全体的傾向,形勢 / 〈C〉潮(のように押し寄せてくる…)《+of+名》 / 〈U〉《古》時,季節 / 《『tide over』+『名』》(困難・障害を)乗り切る / (難しい時期を)〈人〉を助けて乗り切らせる,になんとかやっていかせる《+名+over+名》
tideland	干潟(ひがた)
tidemark	(潮の)最高水位点 / 《おどけて》洗い残したよごれ
tidewater	潮水(海岸・河口に差してきた潮水) / 海岸地方
tideway	潮路・潮流
tidily	きちんと,整然と
tidiness	整然,小ざっぱり
tidings	便り,情報,ニュース
tidy	『きちんとした』,整然とした;(人・動物などが)きれい好きな,自分をきれいにしている / 《話》かなりの / …をきちんとする,整とんする《+名+up,+up+名》 / かたづける,整とんする《+up》
tie	(縄・ひも・包帯などで…に)『…を縛る』,結わえる,縛り付ける《+名+up+(+up+名)+to+名+with+名》 / 〈ひも・ネクタイ・リボンなど〉を『結ぶ』;〈衣類など〉のひもを結ぶ / 〈結び目・ちょう結びなど〉を結んで作る / (仕事・時間・場所などに)〈人〉を縛り付けたようにする,束縛する《+名+up(+up+名)+to(at)+名》 / (競技などで)〈相手・相手の得点・記録〉と『同じになる』,タイになる / 〈同じ高さの2音符〉をタイ(連結線)で結ぶ / 『結べる』,結び目を作る,縛られる / (…と)『同じになる』《+with+名》 / (縛るのに用いる)糸,ひも,綱 / 《しばしば複数形で》『つながり』,きずな,縁 / (また《おもに米》necktie)『ネクタイ』 / (競技・試合・投票などの)『同点』;引き分けの試合 / 《米》(鉄道の)まくら木(《英》sleeper);(建築の)つなぎ材 / 《英》束縛するもの,じゃまもの,やっかいもの / (音譜の)連結線,タイ(同じ高さの2音を結んで,「切らずに演奏せよ」の記号)
tie clasp	ネクタイ留め,ネクタイピン
tie clip	ネクタイ留め,ネクタイピン
tie rod	タイロッド(車のかじをとるため車輪と連結している桿)
tie tack	ネクタイ留め
tie-dye	〈生地〉を絞り染めにする
tie-on	(ラベル・名札などが)結びつけられている
tie-up	《米》(ストライキ・事故などによる交通機関・業務などの)一時的停止,不通;停電 / 《話》提携,合併,合同;連結
tieback	(カーテンを片側に寄せて止める)止め飾り
tiebreaker	タイブレイク(テニスで審判がジュースの反復で試合が延びるのを防ぐためゲームカウント5対5のとき7ゲームを先取したほうを勝ちと宣言して試合を進めること)
tiepin	ネクタイピン(stickpin)
tier	(ひな段式になった段々の)一段,一列 / …を段段に積む,重ねる / 結ぶ人(もの)
tiff	(家族・恋人・友人など親しいどうしの)ちょっとしたいさかい・=Tag Image File Format(ティフ、タグイメージ・ファイル形式:画像ファイルを記録するためのフォーマット)
tiffin	(インド,パキスタンで)昼食
tiger	『トラ』 / トラのようにどう猛な(勇敢な)人
tiger cat	大山猫;トラ猫
tiger lily	(山野に自生する)鬼ゆり
tigerish	トラのような;残忍な
tight	『きっちり締まった(結ばれた)』 / 『すきまのない』,(水・空気などの)漏らない / 『ぴんと張った』 / (衣服などが)『きつい』 / (時間的・空間的に)余裕のない,ぎっしり詰まった / (立場などが)困難な,扱いにくい / 厳しい / 《話》けちな(stingy) / 《話》(試合などが)互角の / 《俗》酔った / (品物・仕事・取り引きなどが)試底した,詰まった,(金融が)ひっ迫した
tight ass	緊張で縮み上がった奴 けちな人 保守的で独創性のない人物
tight squeeze	「be in a tight squeeze」で「(金銭上などの)窮地[苦境]に陥ってい」
tighten	…をきつく締める《+名+up,+up+名》 / 締まる,きつくなる
tightfisted	けちな(stingy),締まり屋の
tightlipped	口を堅く閉じた / 無口な,もの静かな
tightly	しっかりと,きつく
tightness	引き締まって(きっちりして)いること,緊張 / きついこと,窮屈
tightrope	(綱渡りの)綱
tightrope walker	綱渡り芸人
tights	(軽業師・舞踊家・婦人・少女などが履く)タイツ
tightwad	しみったれ
tiglon	タイグロン(トラの雄とライオンの雌との間に生まれた子ども)
tigress	雌トラ
tike	tyke
tilde	スペイン語で n の上につける記号.ñの上の記号(「ニャ」とか「ニョ」といった音を表す)・波形符号、波形ダッシュ・= swung dash
tile	(床・壁用の)『タイル』;屋根がわら;《集合的に》タイル,かわら / (ドミノなどゲームの)こま,(マージャンの)牌 / (下水・煙突などの)土管,コンクリート管 / …にタイルを張る;〈屋根〉をかわらでふく
till	《継続を表す動詞と共に用いて》『…まで[ずっと]』 / 《否定表現に続けて》『…まで[…ない]』,…になって初めて[…する] / 《肯定の主節とともに》『…まで[ずっと]』 / 《結果》『…してそして[ついに]』… / 《否定の主節に続けて》『…まで[…ない]』,…して初めて[…する] / (商店・銀行などの)金銭入れ(引き出し・箱など) / 〈土地〉を耕す〈自〉土地を耕す,耕作する
tillage	耕作 / 耕作地
tiller	舵の柄 / 耕作する人,農夫
tilt	…を傾ける / (馬上槍試合で)〈槍〉を突き出す,〈相手〉を槍で突く / 傾く / 馬上槍試合をする / (相手を)槍で突く《+at+名》 / (文章・言葉で)(…を)攻撃する《+at+名》 / 傾き,傾斜(slope) / (中世騎士の)馬上槍試合 / (一般に)対決,試合
tilt-top table	水平に差し出して,脚で床に垂直に支える折りたたみ式テーブル
timber	(また《米》lumber)〈U〉(建築・木工用の)『材木』 / 〈U〉(特に材木用の)森林[地];《集合的に》立ち木 / 〈C〉梁;(船の)助材 / 〈U〉素質,性格 / …を木材で建てる(支える) / 木が倒れるぞ(伐採で注意をうながすかけ声)
timber hitch	より結び,ねじり結び
timbered	用材を使った,木造の / 樹木でおおわれた
timberland	(木材用樹木を産出する)森林地
timberline	樹木限界線(環境・条件の変化のため高木の生育が不可能となる地域的限界線)
timbre	音色,音質
timbrel	ティンブレル =tambourine
time	〈U〉《冠詞をつけずに》(空間に対しての)『時間』,時 / 〈U〉(時計で示される)『時刻』 / 〈U〉(ある方式で決められる)『時間』,標準時 / 〈C〉〈U〉(特定の)『時』,おり,ころ / 〈U〉《しばしば A ~》(ある長さの)『時間』,期間 / 〈U〉(要する)『時間』;暇 / 《しばしば複数形で》(歴史上の)『時代』 / 《複数形で》時勢,景気 / 《one's ~》(個人の)一生;若いころ;生涯の特定の時期 / 〈U〉《しばしば A ~》(ある経験をした)『時間』 / 〈C〉『…回』,度 / 〈C〉『…倍』 / …の時間を定める / (…に)…の調子を合わせる《+名+to+名》 / …の時間を計る
time bomb	時限爆弾
time clock	タイムレコレーダー(従業員の出勤・退出時間を自動的に記録する装置を備えた時計)
time exposure	タイム露出(シャッターの自動装置によらないで手動または他の装置による露出)
time fuse	(爆弾の)時限信管
time immemorial	(人の記憶にも記録にもない)大昔,太古
