roving eye	目移り(次々に異性に対する関心の対象が変わること)
rubbishbin	くず入れ,ごみ箱(garbage can)
rubbishy	くずの / ばかげた,くだらない
rubble	石くず,荒石 / (破壊された建物などの)断片,瓦礫(がれき)
rubdown	マッサージ
rube	いなかっぺ,いなか者
rubella	=German measles
rubicund	(顔色などが)赤い,赤らんだ,血色のよい
rubidium	ルビジウム(金属元素;化学記号は『Rb』)
ruble,rouble	ルーブル(ロシアの貨幣単位で,100kopeck)
rubric	(赤刷りまたは特別な字体の)見出し,章題 / (祈祷(きとう)書の中の)礼拝規程(式法) / (一般に)規程
ruby	〈C〉紅玉,ルビー / 〈U〉ルビー色,深紅色(しんこうしょく) / ルビー色の,深紅の,日本発のプログラミング言語
ruck	(布についた)しわ / 〈C〉《the~》並みの生活 / 《a~》多数(の…)《+『of』+『名』》 / 〈C〉(ラグビーで)ボールを奪い合う
rucksack	リュックサック,背嚢(はいのう)
ruckus	騒ぎ・騒動
ruction	けんか・騒動
rudder	(船の)かじ;(飛行機の)方向舵(ほうこうだ)
rudderless	かじ(方向舵)の無い / 導くものの無い
ruddily	赤らんで,赤く
ruddiness	赤味,赤色
ruddle	代赭(たいしゃ)石 / 羊に印をつける赤い塗料(代赭石で作る) / 〈羊〉に赤い印をつける
ruddy	(顔などが)血色のよい / 《文》赤い,赤味をおびた / あのいやな / いやに,ひどく
rude	(人・人の行為が)『失礼な』,無作法な / 《名詞の前にのみ用いて》大ざっぱに作った,粗雑な / 《名詞の前にのみ用いて》荒々しい,激しい,突然の / 未開の,原始的な / 《名詞の前にのみ用いて》未加工の,自然のままの
rudely	『無作法に』 / 粗雑に / 荒々しく,激しく,突然に
rudeness	無作法 / 粗雑 / 粗暴,激しさ / 未開
rudiment	《the rudiments》(…の)初歩,基本,原理《+『of』+『名』》 / 《the rudiments》(…の)きざし,芽ばえ,初期《+『of』+『名』》 / 〈C〉(生物の)痕跡器官,退化器官
rudimentary	(知識など)初歩の,基本の / 未発達の,未発育の;痕跡の
rue	…を後悔する,残念に思う / 後悔 / ヘンルーダ(においが強く苦い葉の植物;葉は昔,興奮剤・刺激剤に用いられた)
rueful	後悔している,悲しんでいる / 悲しみを催す,痛ましい
ruff	ひだえり(首の周りにアコーディオン状にひだをつけた高いえり;16世紀ごろ流行) / (鳥・獣の)ひだえり状の首毛
ruffed grouse	エリマキライチョウ(北米産の猟鳥)
ruffian	悪漢,ごろつき
ruffle	…の『表面をかき乱す』,しわくちゃにする,〈風〉が〉〈水面〉を波立たせる;〈鳥が〉〈羽毛〉を逆立てる《+『up』+『名,』+『名』+『up』》 / 〈人,人の心〉を落す,いら立たせる,怒らせる / …にひだを取る / 表面をかき乱す,しわくちゃになる,波立つ / いら立つ / (衣服・カーテンなどの)ひだべり,ひだ飾り(frill) / 波立ち
ruffled	かき乱された,しわくちゃの;波立った / ひだ飾りのある
rug	(床の一部に敷く)『敷き物』,じゅうたん,もうせん / (敷物用)毛皮 / (特に旅行・キャンプ用などの)ひざ掛け
rugged	『でこぼこの』,ざらざらした,ごつごつした / (人間の体つき・物の造りなどが)がっしりした,がんじょうな / (物事が)厳しい,困難な / (人・態度・性格などが)粗野な,武骨な
ruin	〈U〉(…の)『破滅』,崩壊,没落;破産《+『of』+『名』》 / 〈C〉崩壊(荒廃)した物,残がい;《複数形で》『廃墟』(はいきょ) / 《単数形で》破滅(崩壊)させるもの(原因) / …を『破滅させる』,崩壊させる,荒壊させる,〈人・会社など〉を破産させる / …を台なしにする,だめにする
ruination	〈U〉破滅,崩壊,荒廃;破産 / 〈C〉破滅(崩壊)の原因,破滅をもたらすもの
ruined	破滅した,崩壊した,荒廃した;破産した
ruinous	破滅させる,没落させる / (建物が)荒廃した
rule	〈C〉『規則』,規定;法則 / 〈C〉『慣例』,慣習;通例,通則 / 〈U〉『支配』,統治;統治期間;統治権 / 〈C〉ものさし,定規(ruler) / 〈国・人など〉を『支配する』,統治する,統御する / 《しばしば受動態で》〈感情などが〉〈人,人の行動など〉を左右する,動かす / 〈裁判所・裁判官などが〉…と裁決する,決定する / 〈紙〉に線を引く / (…を)『支配する』,統治する《+『over』+『名』》 / (…について)裁決する,判定する《+『on』+『名』》;(…に反対の)裁決をする《+『against』+『名』(do『ing』)》・〈米俗〉抜群である、最高である
rulebook	〈C〉規則書;就業規則書 / 《the rulebook》(競技などの)規則集
ruler	『支配者』,統治者 / 『定規』
ruling	支配する,統治する / 支配的な,優勢な,有力な / (法による)判決,決定
rum	ラム酒(サトウキビから作ったアルコール飲料) / 《米》(一般に)酒 / 寄妙な,おかしな
rumble	〈雷・腹・車などが〉ゴロゴロ鳴る / 《方向・状態などを表す副詞[句]を伴って》〈馬車・車などが〉ガラガラ音を立てて進む / 《単数形で》(雷・車などの)ゴロゴロ(ガラガラ)鳴る音 / 《おもに米》車の後部座席(《英》dickey) / 《米俗》ちんぴらの路上げんか / …を見抜く,にだまされない
rumbling	ゴロゴロ(ガラガラ)音をたてる,ゴロゴロ(ガラガラ)鳴る / 〈U〉《a~》ゴロゴロ(ガラガラ)鳴る音 / 《しばしば複数形で》《単数扱い》(…についての)不平,不満《+『about』(over)+『名』》
rumbustious	(人や態度が)にぎやかで陽気な 騒々しい
ruminant	反すう動物(牛・羊・ヤギなど) / 反すうする,反すう動物の・沈思[黙想]する・黙想的
ruminate	〈反すう動物が〉反すうする / (…について)思いを巡らせる,瞑想(めいそう)する《+『about』(『of,on,over』)+『名』(『wh-節』)》
rumination	反すう / 熟考,黙想
ruminative	(人,人の態度が)考え深げな,思いを巡らす
rummage	(…を求めて)〈場所・容器〉をかき回して捜す《+『名』〈場所・容器〉+『for』+『名』》 / 〈物〉をかき回して捜し出す《+『名』+『out』(『up』),+『out』(『up』)+『名』》 / (…を)かき回して捜す《+『about in』(『among』,『through』)+『名』》 / かき回すこと / 《おもに米》(がらくた市で売りに出された)がらくた,古着
rummage sale	(募金のための)慈善市;がらくた市(《英》jumble sale)
rummy	ラミー(カードゲームの一種)
rumor,rumour	『うわさ,』うわさ話,流言
rumored,rumoured	うわさの,うわさされた
rumormonger,rumourmonger	おしゃべり,うわさを広める人
rumour	=rumor
rump	〈C〉(鳥獣の)臀(でん)部,(人の)しり / 〈U〉(特に牛の)しり肉
rumple	…をしわにする,くしゃくしゃにする / しわになる,くしゃくしゃになる / しわ(wrinkle)
rumpus	[がやがやした]騒ぎ,騒音
