refreshing	気分を一新させる,再び元気になる / ざん新な
regard	《『regard』+『名』+『as』+『名』(『形』[『句』])》(…と)〈人・物事など〉を『みなす』,考える(consider) / 《文》《副詞[句]を伴って》(ある感情・態度で)…を見る,注視する / …を『尊重する』 / 《副詞[句]を伴って》…を評価する / 《文》《通例否定文で》〈意見・希望など〉を『考慮にいれる』,に注意を払う / 〈物事が〉…に関係する,関連する / 〈U〉(…に対する)『考慮』,注意,関心《+『for』)『to』)+『名』》 / 〈U〉(…に対する)『敬意』,尊敬,好意《+『for』(『to』)+『名』》 / 〈U〉《おもに文》注視,凝視 / 〈U〉(ある特別な)点,関係,関連 / 《複数形で》(敬意・愛情を表す)あいさつ(greetings,よろしくとの伝言(best wishes
regardful	(…に)注意深い,(…を)心にかける《+『of』+『名』》 / (…に)敬意を表す《+『of』+『名』》
regarding	《おもに商用の文で》…に関して,…の点では(as regards)
regardless	『むとんじゃくな』,不注意な;(…に)むとんじゃくな《+『of』+『名』》 / とにかく(anyway) / (…に)かかわらず《+『of』+『名』》
regatta	ボート(ヨット)レース
regency	〈U〉〈C〉摂政(せっしょう)政治;摂政の職(国王が幼少・不在のとき代行する職務) / 〈U〉〈C〉摂政期間 / 《the R-》(英国の)摂政時代(1811‐1820)
regenerate	(精神的・道徳的に)〈人〉を更生させる / 〈願望など〉をよみがえらせる;〈制度など〉を刷新する / 〈生物が〉〈失った部分,傷ついた部分〉を再生する / 更生する / よみがえる / 〈生物が〉再生する / 生まり変わった / 改良された,再生利用された
regeneration	更生;改心 / よみがえり;刷新 / (生物の)再生
regenerative	更生させる / 刷新する / (生物が)再生する
regent	《しばしばR-》摂政 / 《米》(州立大学・州立学校の)理事 / 摂政の任にある
reggae	レゲイ(西インド諸島に起源を持つロック音楽)
regicide	〈U〉国王殺し,大逆;大逆罪 / 〈C〉国王殺害犯
regime,régime	政治体制;制度 / =regimen
regimen	摂生,養生[法],健康法,食事療法
regiment	(軍隊の)連隊 / 《話》《しばしば複数形で》(…の)大群,大ぜい《+『of』+『名』》 / …をきびしく統制する
regimental	連隊の;連隊に属する / 連隊服;軍服
regimentation	連隊編成 / 規格化
region	(地理的な)『地域』,『地帯』;(特に広大な)地方 / 《複数形で》(宇宙などの)区分,界,属 / (身体の)部分 / (学問などの)分野,領域 / 《複数形で》(都会から離れた)地方
regional	地方の,地域の;地方に特有の,局地的な
regionalism	地域的特質 / 地方主義 / 方言
register	(氏名・出生などの)『登録』,届;記録 / 『登記簿』,『名簿』 / 自動登録機,レジスター / (暖房器などの)空調装置 / 音域,声域;(オルガンの)音栓,ストップ・…を『記録する』 / …を『登録する』,名簿に入れる / 〈郵便物〉を書留にする / 〈機械・器具が〉…を示す / 〈表情などが〉を表す / (…に)『記録する』,記名する《+『with』(『at, in』)+『名』》 / (…に)『登録する』;(…の)選挙人名簿に登録する;(…に)入学する《+『for』+『名』》 / 〈物事が〉心に残る,感銘を与える
registered	記録された;登録(登記)された
registered mail	書留便(《英》registered post)
registered nurse	正看護婦(看護学校を卒業し,国家試験に合格して登録された者)
registrar	(大学・役所などの)記録係,登記係,教務係
registration	〈U〉(…に)登録すること,(…の)登録;書留《+『of』+『名』》 / 《米》《集合的に》登録者数;(特に大学の)在籍者数;受講者数 / 〈C〉登録証明書 / 〈C〉記録された事がら
registration book	(自動車の)登録証明書
registration number	(自動車の)登録番号
registry	〈U〉登録(記録)すること,記載,登記 / 〈C〉登記所,登録事務所 / 〈C〉(誕生・死などの)登録簿,登記簿
regnal	王の,王権の;(…の)治世(御代)の
regnant	君臨する,支配している
regress	後退する,退行する
regression	後退;退化,退歩
regressive	後退する,退行する / (生物が)退化の
regret	…を『後悔する』;…を残念に思う / 〈人が〉〈失われたもの〉を惜しむ,悲しむ / 〈U〉(…に対する)『後悔』,悔い;残念な気持ち,遺憾《+『at』(『for, over』)+『名』(doing)》 / 〈U〉(…に対する)悲しみ,哀惜,哀悼の意《+『over』(『for』)+『名』》 / 〈C〉《複数形で》(招持などへのていねいな)断り[状];(断るための)遺憾の言葉
regretful	後悔の念でいっぱいの;惜しがっている
regrettable	(行為・事件などが)遺憾な,残念な,悲しむべき
regrettably	遺憾ながら,残念なことに
regroup	…を再び集める,再編成する / 〈人などが〉再び集まる
regular	『いつもの』,習慣的な / 『規則正しい』,きちんとした / 『定まった』,決まった;定時の,定期的な / 普通の,標準どおりの / 均整のとれた,整然とした / 《名詞の前にのみ用いて》『正規の』,正式の;本職の / 《名詞の前にのみ用いて》《話》好ましい,すてきな;全くの正真正銘の / (文法で)規則変化の / (カトリック教で)修道会に属する;宗規に従う / 《話》常連 / 正規兵
regularity	規則正しさ,整然としていること
regularize,regularise	…を規則正しくする,秩序だてる
regularly	規則正しく,一様に;正式に;定期的に
regulate	(規則などで)…を『規制する』,『統制する』 / 〈機械など〉を『調整する』 / 〈量や率など〉をある限度内におさえる
regulation	〈C〉『規則』,『規定』;法規,条例 / 〈U〉(…の)『規制』,『調整』《+『of』+『名』》 / 正規の,規定どおりの
regulator	取り締まり人;調整者 / 調整装置
regulo	レグロ(ガスコンロの熱の度合)
regurgitate	〈食物〉を吐く / 食物をもどす;逆流させる
regurgitation	逆流 / (未消化食物の)吐きもどし,反芻(はんすう) / 血液の逆流
rehabilitate	…を元へ戻す,修復する / 〈けが人,病人など〉を社会復帰させる,元の健康体に戻す / 〈人〉を復職させる;〈人〉の名誉を回復する
rehabilitation	(けが人・病人などの)社会復帰,リハビリテーション / 復職;名誉回復
rehash	〈古い材料〉を焼き直す / 焼き直し
rehear	(裁判で)…を再審理する
rehearing	(裁判の)再審理
rehearsal	(劇などの)けいこをすること,リハーサル / 《文》(経験などを)話すこと;物語
rehearse	(公演前に)…をけいこする,リハーサルをする / 〈俳優など〉にけいこをつける / 《文》…を詳しく述べる,物語る
rehouse	〈人〉を新しい家に住まわせる,よい住居に移す
reification	具体化;具象,具体物
reify	〈抽象観念など〉を具体化する,具象化する
reign	〈U〉(君主などによる)『統治』,『支配』 / 〈C〉統治期間,治世,御代(みよ) / 〈人が〉(…を)『統治する』,支配する,(…に)君臨する《+『over』+『名』》 / 〈物事が〉勢力をふるう,行き渡る(prevail)
reimburse	(損害に応じて)〈人〉に弁償する《+『名』〈人〉+『for』+『名』》;〈人〉に〈損失額〉を払い戻す《+『名』〈人〉+『名』,+『名』+『to』+『名』〈人〉》
reimbursement	払い戻し,返済,弁償
rein	《しばしば複数形で》『手綱』 / (…に対する)制御手段;統御力;制御,統率《+『on』(『over』)+『名』》 / 〈人が〉〈馬など〉を手綱で操る,御する / 〈人が〉〈感情など〉を抑制する
reincarnate	(…として)〈新しい肉体〉に生まれ変わらせる《+『as』+『名』》
reincarnation	転生(死後に霊魂が他の肉体に移ること);〈C〉生まれ変わり,化身
reindeer	トナカイ
reinforce	…を増強する,補強する / …に増援する,援兵を送る
reinforced concrete	鉄筋コンクリート
reinforcement	〈U〉増強,補強 / 〈C〉補強材 / 《複数形で》援軍,増援隊
reinstate	(元の状態・地位などに)…を戻す《+『名』+『in』+『名』》
reinstatement	元に戻すこと,復帰,回復,復職,復位
reinsure	…を再保証する / …に再保険をかける
reissue	…を再発行する / 再発行物,(特に)再版,再刊
reiterate	…を繰り返す(repeat);…だと繰り返し言う《+『that節』》
