rock plant	岩生植物(岩の間や岩石庭園に見られる植物)
roll	〈球などが〉『転がる』,転がって行く;〈車輪などが〉回る / 〈車が〉『動く』,進む / 〈人・動物などが〉『転がり回る』 / 〈波などが〉うねる,〈煙などが〉漂う,立ち上る / 〈時が〉過ぎ去る《+『by』(『away』)》 / 〈目が〉ぐるぐる回る / 〈船などが〉横ゆれする / 〈雷・太鼓などが〉ごろごろ鳴る,とどろく / 《話》始める(start) / 〈球など〉を『転がす』;〈車輪など〉を回転させる / 〈車など〉を転がせる;〈家具など〉をころで動かす,転がして運ぶ / …を『丸める』,巻く《+『up』+『名,』+『名』+『up』》 / (…に)…を包む,くるむ《+『名』+『up in』+『名』》 / (ローラーなどで)…を伸ばす,平らにする《+『out』+『名,』+『名』+『out』》 / 〈船・航空機など〉を横揺れさせる / 〈r音など〉を巻舌で発音する / 〈目〉をぐるぐる回す,きょろりとさせる / 〈さいころ〉を投げる / 《米俗》〈酔っぱらいなど〉から盗む(rob) / (球形・円筒形に)『巻いた物』,巻物;(…の)一巻き《+『of』+『名』》 / 名簿,出席簿;目録 / (…の)丸いかたまり《+『of』+『名』》 / (食事用の)ロールパン / 巻き肉;巻き菓子(ロールカステラなど) / (船などの)横揺れ / (雷・太鼓などの)ごろごろいう音,とどろき / =roller・転がり,回転
roll bar	ロールバー(衝突・転覆の際乗客を守るため,車の屋根につけた金属の補強枠)
roll call	点呼,出席調査
roll of honour	=honor roll
roll-on	ロールオン(婦人の下着の一種)
rollback	巻き返し(割戻し)物価対策(政府の処置によって物価などを元の水準に戻すこと)
rolled gold	かぶせ金(filled gold)
roller	(物を延ばしたり平らにしたり,くだいたりするための)『ローラー』 / (物を動かしやすくする)ころ / (布などを)巻き取る軸,巻きつける軸 / (岸に打ち寄せる)大波 / ヘアカーラー(髪にウエーブをつけるのに用いる) / 転がる人
roller bandage	[巻]包帯
roller coaster	ローラーコースター
roller skate	ローラースケート靴
roller towel	巻きタオル,ローラータオル(洗面所などに備え付けの,両端が縫い合わせてあって,次々に引き出して用いる)
roller-skate	ローラースケートをする
rollerskating,roller-skating	ローラースケート
rollick	はしゃぎ回る,はね回る(frolic)
rollicking	はしゃぎ回る,陽気な(merry)
rolling	転がり,回転;転がすこと / (波の)大きなうねり;(土地の)起伏 / (船の)横揺れ / (雷の)とどろき / (ローラーによる)地ならし / 転がる;ぐるっと回る / よろめく / 《名詞の前にのみ用いて》(波など)うねっている;(土地が)起伏している / 横揺れする / とどろく
rolling mill	圧延工場;圧延機
rolling pin	(両側に握りのついた)めん棒,のし棒
rolling stock	鉄道の車両(機関車・客車・貨車)
rollover	(自動車の)転覆,転倒 / (債務返済などの)延期,更新
rolls	開業弁護士名簿
rolltop desk	じゃ腹式ふた付き机
roly-poly	ころころした人(動物) / ころころした
rom	read-only memory / 読み出し専用メモリー・読み出し専用メモリー基本入出力システム
roman	ローマ字体,ローマン活字体 / ローマ字体の
romance	〈U〉(空想的な)『伝奇物語』,冒険物語;恋愛物語 / 〈U〉中世騎士物語 / 〈C〉〈U〉(…との,の間の)恋愛事件,ロマンス《+『with』(『between』)+『名』》 / 〈U〉伝奇的なふんい気 / 〈U〉冒険(空想)を好む性質(気持ち),空想癖 / (…について)作り話をする;空想的(ロマンチック)に考える《+『about』+『名』》 / (…と)恋をする《+『with』+『名』》 / …に言い寄る,求愛する
romantic	『ロマンチックな』,伝奇(冒険,空想,英雄,恋愛)物語的な,小説にありそうな / (人,人の気持ちなどが)『空想的な』(考え・計画などが)非現実的な / 《通例R-》(文学・芸術が)ロマン主義の,ロマン派の / 空想的な人,ロマンチックな人 / 《しばしばR-》ロマン主義(派)の作家(詩人,芸術家) / 《複数形で》空想的(非現実的)な考え,夢想的な感情(話,行動)
romantically	空想的に,ロマンチックに
romanticism	《しばしばR-》ロマンチシズム,ロマン主義(18世紀末から19世紀の初頭の空想・感情の奔放さを重んじた文学・芸術の様式,運動または主義) / 空想的(ロマンチックな)気分(傾向)
romanticist	(文学・絵画・音楽などの)ロマン主義者
romanticize,romanticise	…を空想的(ロマンチック)にする / ロマン主義ふうに扱う / 空想にふける,夢のように描く
romp	はしゃぎ回る,ふざけ回る《+『about』(『around』)》 / (レースで)楽勝する / おてんば娘;はね回る子供 / 騒々しい遊び;はね回り
rompers	ロンパース(上衣とブルーマーが一続きの幼児服)
rondeau	ロンドー(2個脚韻を踏み,最初の語が後に2回くり返される短い定型詩)
rondo	旋回曲,ロンド
roneo	ロニオ複写機(商標名) / …を複写する
rontgen	=roentgen
rood	《古・文》(特に,祭壇の上の大きな)十字架上のキリスト像 / 《現在まれ》ルード(土地面積の単位で1/4acre)
roodscreen	(教会の)内陣仕切り(内陣と聖歌隊席とを仕切り,中央頂上にキリスト十字架像が立ててある木壁)
roof	『屋根』;屋上;《比喩(ひゆ)的に》家,家庭 / (形・位置・働きが)屋根に似た物 / …に屋根をつける;…に(…の)屋根をつける《+『名』+『with』+『名』》
roof garden	屋上庭園;《米》屋上レストラン
roof rack	車の屋根に付ける荷台
roofed	屋根(おおい)のある
roofing	屋根ふき / 屋根ふき材料
roofless	(建物が)屋根のない / (人が)宿なしの
rooftop	屋根;屋上
rooftree	屋根の棟木(むなき)
rook	ミヤガラス(群居性がある;欧州産) / (ごまかしたり,ぺてんにかけて)〈人〉から〈金を〉まき上げる《+『名』〈人〉+[『out』]『of』+『名』》 / (チェス)ルーク (castle) (日本将棋の飛車の動きをする)
rookery	みやがらす(rook)の群居する所(森);ミヤマガラスの群れ / アザラシ(オットセイ,ペンギンなど)の繁殖場
rookie	新任計官;新兵 / 初心者(beginner) / (特に野球で)新人選手,ルーキー
room	〈C〉『部屋』,『室』 / 〈U〉(人・物の占める)『場所』,空間(space) / 〈U〉(事を)受け入れる余地《+『for』+『名』(do『ing』) / 《the room》《集合的に》部屋にいる人々,同席している人たち / 〈C〉《複数形で》(一部屋または数部屋ある)貨し間,下宿 / (…に)下宿する,間借りする《+『at』+『名』〈場所〉『,』+『with』+『名』〈人〉》
room and board	まかない付きの貸間(下宿)
room service	ルームサービス(ホテルで部屋まで食事などを運んでくれること) / 《集合的に》ルームサービス係
roomed	「…屋(部屋)ある」の意を表す
roomer	(通例食事なしの)間借り人
roomette	(寝台車で洗面所・ベッド付きの)個室
roomful	部屋いっぱい(の…)《+of+名》 / 部屋いっぱいの人(物)
roominess	間数の多いこと,広いこと
rooming house	=lodging house
roommate	同宿者,同室者
roomy	間数の多い;広々とした,広い(spacious);(コートなど)ゆったりした
roost	とまり木;(鳥の)ねぐら;鶏舎 / 《話》(人の)休み場所,寝所,宿 / 〈鳥などが〉とまり木に止まる,ねぐらにつく / 〈人が〉泊まる,(特に)一夜を過ごす
