reconciliation	『和解』;甘んじること;調停;調和
redact	〈布告など〉を作成する / …を編集する;…を校正(改訂)する
redbreast	胸の毛が赤い鳥;(特に)コマドリ(robin)
redcap	《米》(駅の)赤帽(porter) / 《英》憲兵
redcoat	(昔の)英国兵
redcurrant	アカフサスグリ(低木に一種) / その赤い実
redden	赤くなる;赤面する / …を赤くする,赤面させる
reddish	赤みがかった,やや過激の
redecorate	〈建物の内部〉を改装する / 改装する
redeem	〈手放した物〉を『買い戻す』;〈ローンなど〉を払い終える,皆済する;(質屋などから)〈抵当〉を請け出す《+『名』+『from』+『名』》 / 〈名誉など〉を取り戻す,回復する / 〈クーポンなど〉を品物(金)に換える / 〈約束など〉を果す,履行する / 〈短所など〉を補う,償う,相殺する / (身のしろ金を支払って)〈人〉を自由にする;(罪から)〈人〉を救う《+『名』+『from』+『名』》
redeemable	買い戻しできる;償いのできる;あがなわれる
redeemer	〈C〉買い戻す人;質(身)請け人 / 《the R-》救い主キリスト
