rooster	『おんどり』
rose-colored	バラ色の(rosy) / 有望な;楽観的な
roseate	バラ色の(rosy);楽観的な
rosebud	バラのつぼみ
rosebush	バラの木(茂み)
roseleaf	バラの花弁;バラの葉
rosemary	マンネンロウ[の葉](南欧産の常緑低木;その葉は調味料・香料として用いる)
rosette	バラの花形飾り;(リボンなどの)バラ結び / (建物の)バラの花形飾り
rosewater	バラ香水
rosewood	シタン(紫壇)(堅い材質の木で,家具に用いる)
rosily	バラのように,バラ色に / 有望に,楽観的に
rosin	ロジン(バイオリンなどの弦にこすりつける固型の松やに) / 〈バイオリンの弓など〉にロジンを塗る
rosiness	バラ色 / 有望,楽観
roster	(軍の)勤務当番表 / (一般に)名簿;名簿に載っている人々
rostrum	演壇,説教壇
rosy	(特に,肌色について)『バラ色の』 / 希望に満ちた,楽観的な
rosé	ロゼ,ロゼワイン(ピンク色のぶどう酒)
rot	『腐る』,朽ちる《+『away』(『off』)》 / だめになる / …を『腐らせる』,腐朽させる / 腐敗,腐れ;腐敗物 / (動植物の)腐敗病;《話》たわ言,ばかなこと
rotary	回る,回転する;回転式の / =traffic circle
rotary engine	回転シリンダー式エンジン
rotate	『回転する』 / 循環する,交替する / …を回転させる / …を循環させる / 〈人〉を交替で服務させる
rotation	〈U〉〈C〉回転 / 〈U〉〈C〉(地球・天体の)自転 / 〈U〉循環;交替;(作物の)輪作
rotatory	(形容詞)回転する(させる) 交代する 循環する 輪番の
rote	機械的なやり方(反復)
rotgut	(体によくない)安物の酒
rotisserie	回転肉焼き器 / 回転肉焼き専門のレストラン
rotogravure	輪転グラビア印刷[物]
rotor	(電動機などの)回転子 / (ヘリコプターなどの)回転翼
rotten	『腐敗した』,腐朽した / 砕けやすい,もろい / 《俗》ひどく悪い,不快な / (道徳的に)腐敗した
rotten borough	腐敗選挙区(英国で1832年の選挙法改正まであり,有権者がほとんどいないのに国会議員を選出していた)
rotter	ろくでなし
rotund	《時におどけて》丸々と太った / (声が)朗々とした
rotunda	丸屋根のある円形建築;丸天井の円形大広間
rotundity	丸々と太っていること / (声が)朗々としていること
rouble	=ruble
rouge	口紅,ほお紅 / べんがら(金属・ガラスなどの研摩剤) / 〈くちびる・ほお〉に紅をつける
rough	(表面が)『粗い』,ざらざらした,きめの粗い・でこぼこの / (動きなどが)『荒っぽい』;(空・海などが)荒れた / (人・態度などが)『粗野な』,荒々しい,無作法な / 『おおよその』,あらましの / (ダイヤモンドなど)自然のままの,未加工の / 《話》困難な,つらい,ひどい;(…に)ひどい,むごい《+『on』+『名』》 / (生活が)非文化的な,不便な / 毛深い,毛むくじゃらの,毛が刈ってない / …を乱暴(手荒)に扱う《+『up』+『名,』+『名』+『up』》 / 〈計画・作品など〉の概略を書く,をざっと下書きする《+『in』(『out』)+『名,』+『名』+『in』(『out』)》 / 〈物の表面など〉をざらざらにする / 手荒く,乱暴に / 〈U〉《the rough》ラフ(ゴルフのコースで芝をはったフェアウェイ以外の部分) / 〈C〉乱暴者
rough stuff	乱暴,暴力行為
rough-and-ready	間に合わせの,ぞんざいな;必要ぎりぎりの
rough-and-tumble	無鉄砲な,めちゃくちゃな,無謀な
roughage	粗い食物(飼料)(繊維を大量に含み腸の蠕動(ぜんどう)を刺激する)
roughcast	あら塗り / 〈壁など〉をあら塗りする
roughdry	〈洗たく物〉を干しただけで[アイロンをかけずに]乾かす,あら干しする
roughen	…を粗くする,ざらざらにする / 粗くなる,ざらざらになる
roughhewn	粗削りの;ざらざらした
roughhouse	ばか騒ぎ;乱暴 / ばか騒ぎする,乱闘する / 〈人〉を手荒く扱う
roughly	『手荒く』,乱暴に,ぞんざいに / 『おおよそ』,概略
roughneck	乱暴者 / 石油採掘で働く労働者
roughness	(表面が)粗いこと,でこぼこ / (天候などの)荒れ,荒天 / 乱暴,粗野,無作法
roughrider	ロデオに出す馬の調教師 / 荒馬を乗りこなす人
roughshod	(馬が)滑り止めのてい鉄を付けた
roulette	〈U〉ルーレット / 〈C〉(切手などにミシン目を付ける)点線機;ミシン目
round	…『を[ぐるっと]回って』,を一周して / …『を曲がって』 / …『の周囲に』,を取り巻いて / …『のあちこちに』,の辺りに / …『ころ』 / (ぐるりと)回って,巡って / 周囲が(に) / あちこち[に],方々[に];行き渡って / 回り道して / (ある場所へ)回って / 『球状の』,丸い / (タイヤ・輪のように)円形の,丸い / (断面の丸い)円筒(円錐)形の / (肩・筆跡などが)丸みのある,丸々とした / 《名詞の前にのみ用いて》(数量が)完全の,ちょうどの / 『丸い物』;円,輪;球,円筒形 / (中心・軸をまわる)『回転』,(天体の)回転運動 / 《しばしば複数形で》(職務上などの)巡回,見回り / 《単数形で》(行い・でき事の一つの)連続;繰り返り;(…が)ひとしきり続くこと《+『of』+『名』》 / (ボクシングの一勝負の中の)『ラウンド』,回,(ゴルフで全部のホールを回る)ラウンド,(カードゲームの)一回り / 輪唱 / (銃砲の)1回の射撃,一斉射撃 / (射撃用弾薬の)1回分 / (牛のもも肉の)丸切り,(パンの)丸切り《+『of』+『名』》 / 輪舞,円舞 / …を『丸くする』,に丸みをつける / …を『回る』,曲がる / 〈端数をもつ数字〉を端数を切り捨てて(概数で)表す《+『down』+『名』+『to』+『名』》 / …を完成する,仕上げる / …をくちびるを丸くして発音する / 『丸くなる』 / 回る,曲る / 完成する
round bracket	=parenthesis
round dance	円舞(ワルツなど);輪舞(輪になって踊る踊り)
round-eye	尻穴・受身役のオカマ・白人女
round-eyed	(驚いたりして)目を丸くした,目を大きく見開いた
round-shouldered	ねこ背の
round-the-clock	24時間ぶっ通しの
roundabout	遠回りの,回り道の・(言葉などが)遠回しの,間接の・= merry-go-round・traffic circle
roundel	(おもに石や木などに刻まれた装飾用の)小さな円形 / 円形紋様
roundelay	短い繰り返しのある歌 / 円舞の一種
rounders	ラウンダーズ(野球に似た英国の球技の一種)
roundhouse	円型機関車車庫(中央に回転台がある) / (半円型の)後甲板船室
roundish	丸みのある,やや丸い
roundly	率直に,遠慮せずに,容赦なく / 完全に,徹底的に / 円形に,丸く
roundness	丸さ / 完全さ
roundsman	(牛乳などの)配達人 巡視する人 ご用聞き
roundtable	〈U〉円卓会議の人々 / 《the Round Table》アーサー王の円卓(King Arthurが部下に上下の別をつけないために用いたもの);円卓の騎士たち(アーサー王とその騎士たち)
roundtrip	往復旅行 / 周遊旅行 / 往復の(《英》return)
roundup	(散らばっている人・物,特に家畜の)狩り集め;(犯人たちの)一斉検挙;(ニュースなどの)総括《+『of』+『名』》 / 《集合的に》家畜を狩り集める人たち
roundworm	回虫
rouse	(眠り・無意識などから)〈人〉の『目を覚まさせる』,を起こす《+『名』〈人〉+『from』(『out of』)+『名』》 / 〈人〉を『奮起させる』,刺激する / 〈感情など〉を刺激する,かき立てる / 《英ではまれ》〈人が〉目を覚ます《+『up』》 / 〈人が〉奮起する,〈感情が〉激する《+『up』》
rousing	奮起させる,心を動かす / 活発な
roustabout	波止場人夫;油田人夫;サーカス小屋の人夫
rout	大敗北 / (敗北の後の)総崩れ,敗走 / …を敗走させる / …をむりやり外へ出す,追い出す / …を見つけ出す,捜し出す《+『名』+『out,』+『out』+『名』》 / 〈豚などが〉…を鼻先でほじくり出す / 〈豚などが〉鼻先で地面をほじくる / かき回して捜す
route	『道筋』,路線,ルート / 《米》(旅商人・配達人などの)巡回路;巡回区域 / …を道筋を決める / …を(…の)ルートで送る《+『名』+『by』(『through』)+『名』》
route march	旅次行軍(兵隊の長距離の訓練行進) 途足(みちあし)
routine	『いつもの手順』,『決まりきった仕事』 / (喜劇・踊りの)型どおりの演技 / (することや,やり方に)変化がないこと,単調 / 『いつもの』,型どおりの / 独創性のない
roux	ルー(小麦粉をバターでいためたもので,スープやソースにとろみをつけるのに用いる)
roué	放とう者
rove	reeveの過去・過去分詞 / さまよう / …をさまよう
rover	さまよう人;流浪者・歩き回る人 / 海賊 / 《古》海賊船
roving	放浪する / 特定の仕事・場所なしでつとめる
