redeeming feature	他の欠点を補う長所,とりえ
referendum	国民(住民)投票
referent	指示するもの(語や記号など);指示物
referral	〈U〉参照(照会,委託,言及)すること;〈C〉参照(照会,委託,言及)された人(事) / 〈C〉推薦された人
refill	…を再び満たす,補充する / 詰めかえ品(スペアインク・かえしんなど)
refine	…を『精製する』,精錬する / 〈言葉・態度など〉を『洗練する』,上品にする,優雅にする
refined	『精製した』,精錬された・優雅な・微妙な・『洗練された』,上品な,優雅な(elegant);《時に軽べつして》お上品な,手の込んだ
refinement	〈U〉精製,精錬 / 〈U〉洗練,上品,優雅 / 〈C〉改良点,工夫 / 〈C〉(…の)極致《+『of』+『名』》
refiner	精製(精錬)業者 / 精製(精錬)機 / みがきをかける人
refinery	精製所;精錬所
refit	〈特に,船〉を修復する,再装備する / 〈特に,船が〉修復される,再装備される / (…の)修復,再装備《+『of』+『名』》
refl.	reflection / reflective / reflex / reflexive
reflate	〈通貨〉を再膨張させる / 〈通貨〉が再膨張する
reflation	通貨再膨張
reflect	〈光・熱・音など〉を『反射する』,はね返す / 〈鏡などが〉〈人・物の姿〉を『映す』,反映する / …を表す,示す / 〈行為・でき事が〉(人などに)〈名誉・不名誉など〉をもたらす,招く《+『名』+『on』(『upon』)+『名』》 / 《『reflect』+『that』(『wh-節・句』)》…であると(…かどうか)よく考える,悟る / (…を)よく考える,熟考する《+『on』(『upon』)+『名』(do『ing』)》 / 〈物事が〉(…に)非難をもたらす,(…の)不名誉となる《+『on』(『upon』)+『名』》
reflecting telescope	反射望遠鏡
reflection	〈U〉(光・熱などの)『反射』,(音の)反響;反射光(熱),反響音《+『of』+『名』》 / 〈C〉(鏡・水面などに映った)『映像』;(親などの)生き写し《+『of』+『名』》 / 〈C〉(気持ち・性格などの)表れ,反映《+『of』+『名』》 / 〈U〉(…についての)『熟考』,沈思《+『on』(『upon』)+『名』》 / 〈C〉《しばしば複数形で》(熟考して得られた)(…についての)意見,考え《+『on』(『upon』)+『名』》 / 〈C〉(…に対する)非難,小言;(…にとって)不名誉となるもの《+『on』(『upon』)+『名』》
reflective	反射(反映,反響)する / 熟考する,思慮深い,内省的な
reflector	反射物;反射鏡;反射望遠鏡
reflex	反射(刺激に対する無意識の反応) / 《複数形で》反射的な動き / (光などの)反射,反射光;映像 / 反射性の / (カメラが)レフ型の,反射型の
reflex camera	レフレックスカメラ(反射鏡でガラス面に像を写して撮影するカメラ)
reflexive	(文法で)再帰の / 再帰動詞;再帰代名詞(たとえば『He』 enjoyed himself.においてenjoyedを再帰動詞,himselfを再帰代名詞という)
refloat	〈沈んだボート・船〉を再浮上させる / 再浮上する
refoot	〈毛糸の靴下など〉の足の部分を編み直す
reforest	〈森〉に再び植林する / 再植林する
reforestation	再植林
reform	…を編成し直す,再び作る / 再編成する,再び形になる / 〈政治・制度など〉を『改善する』,改革する / 〈人〉を『改心させる』 / 改心する / (政治・制度などの)改善,改革
reform school	=reformatory
reformation	(政治・制度などの)改善,改正,改革《+『of』+『名』》 / 改心 / 《the 『R-』》宗教改革(16‐17世紀に全ヨーロッパに起こったCatholic Churchに対する改革運動;この結果として新教(Protestant churches)が生まれた)
reformatory	感化院 少年院(《英》approved school) / 改善(改革)するための
reformer	(政治・制度などの)改革者,改善者
refract	〈水・ガラスなどが〉〈光〉を屈折させる
refracting telescope	屈折望遠鏡
refraction	(光の)屈折[作用]
refractor	〈C〉屈折装置 / 屈折望遠鏡 (=refracting telescope)
refractory	(人などが)手に負えない,強情な / (病気が)治りにくい,がんこな / (金属などが)溶けにくい,耐火性の
refractory brick	耐火性れんが
refrain	(…を)『控える』,『慎む』,思いとどまる《+『from』+『名』(do『ing』)》 / (詩・歌の各節の終りの)繰り返し文句
refrainment	自制
refresh	(飲食物・休息などが)〈人〉を『再び元気にする』,〈気分など〉を再びさわやかにする
refresher	元気を回復させる物;酒,清涼飲料水 / 《英》追加報酬(訴訟が長びいたとき,弁護士に一部支払う謝礼)
refresher course	再教育講習
