chinaware	=china2
choking	息詰まるような,窒息させる,息苦しい / (感動で)むせぶような
choky	〈C〉刑務所《英俗》 / {形}むせるような / 息苦しい
choler	《まれ》かんしゃく,怒気
cholera	コレラ
choleric	怒りっぽい
cholesterol	コレステロール(胆汁・血液・神経組織などの脂肪性成分)
choose	(多数の中から)〈人・物〉を『選択する』,選ぶ / 〈事〉に『決める』 / (…の中から)『選択をする』,選ぶ《~『between』(『from』)+『名』》 / 欲する,望む
chooser	選ぶ人;投票者
choosy, choosey	えり好みする
chop	(なた・おのなどで)…を『たたき切る』,ぶった切る / …をたたき切って(切り開いて)作る / …を切り刻む《+『up』+『名,』+『名』+『up』》 / …を切って短くする / (テニス・クリケットで)〈ボール〉を切る / (…を)たたき切る,(…に)打ってかかる《+『at』+『名』》 / (テニス・クリケットで)ボールを切る / 『たたき切ること』,ぶった切り / 切り取った物;(骨つきの)厚切りの肉 / 小さく立ち騒ぐ波,逆波 / チョップ(テニス・クリケットで切りつけるように打つこと) / あご;ほお / 口 / 〈風が〉急に変わる《+『about』(『around』)》
chop suey	チャプスイ(ぶつ切り肉・野菜などを煮込んだ米国式中華料理)
chopfallen	=chapfallen
chophouse	焼き肉専門店
chopper	切る人(物);大きな肉切り包丁,おの / 《俗》ヘリコプター / 《複数形で》《俗》歯
choppiness	〈U〉波立ち / 不安定さ / 途切れやすさ
chopping block	肉切り台,まないた
choppy	(風が)たえず変わる / (波が)波立つ / 《話》(文句などが)とぎれとぎれの / (海などが)波立つ / (風が)変わりやすい / 《話》(文体など)むらのある
chopstick	(食事用を)はし
choral	合唱隊の,聖歌隊の / 合唱曲の,合唱の / =chorale
chorale	合唱曲
chord	(楽器の)弦 / 感情,情緒 / 和音,コード / =cord4 / 弦(数学で,円周上の2点を結ぶ直線)
chore	(家庭や農場の)雑用,毎日のきまりきった仕事 / (きまりきっていて)つまらない仕事
chorea	舞踏病(顔面筋および四肢のけいれんを起こす神経系の病気)
choreograph	…をバレーに振付けする
choreographer	(バレエ・ダンスなどの)振付け師
choreography	(バレエ・ダンスの)振付け,舞踏法
chorine	コーラスガール
chorister	聖歌隊員,(特に)少年聖歌隊員 / 《米》聖歌隊指揮者
chortle	(うれしそうに)クックッと笑う / クックッといううれしそうな笑い
chorus	《集合的に》『合唱団』 / 合唱曲 / 《集合的に》オペラ・ミュージカルのコーラス団(助演の歌手と踊り手の一団) / (歌の各連に続く)合唱節,リフレイン / 声をそろえて言うこと / …を合唱する / …を声をそろえて言う
chorus girl	コーラスガール(ミュージカル・映画などで歌ったり踊ったりする女性)
chose	chooseの過去形
chosen	chooseの過去分詞 / 選ばれた;精選した;好きで選んだ
