civilized,civilised	『文明開化した』,文明の / 教養のある,上品な
class	〈C〉(何らかの類似性を持つ)(…の)『種類』,類(sort, kind)《+『of』+『名』》 / 〈C〉《集合的に》《単数扱い》『クラス』,学級,組 / 〈U〉〈C〉(クラス単位の)『授業』;授業時間 / 〈C〉《米》《集合的に》(主に高校・大学の)同期生 / 〈C〉《しばしば複数形で》(同程度の教育・経済力・社会的地位などを持つ)『階級』,階層 / 〈C〉(交通機関などの)『等級』 / 〈C〉(英国の大学の)試験の合格等級 / 〈C〉綱(こう)(動植物の分類で門(phylum, division)と目(もく)(order)の間) / 〈U〉《話》(その人の社会的地位を高く見せる)風格 / …を(…の)部類に入れる《+『名』+『among』(『with』)+『名』》,(…として)…を分類する《+『名』+『as』+『名』》
class action	集団訴訟
class list	成績別大学試験合格者クラス名簿
class struggle	階級対立 / (マルクス主義で)階級闘争
class-conscious	階級意識を持った
class-consciousness	階級意識
class.	classic / classical
classic	(一つの分野の中で)『規範となる』,典型的な;第1級の / 伝統的な,由緒のある(traditional) / (型・様式などについて)単純で洗練された / 古典の;古典的な(classical) / 〈C〉(一つの分野の中で)『規範』(『模範』)『となる作品』,代表作 / 〈C〉代表的芸術家,古典的作家 / 《the classics》《しばしばC-》古典文学 / 〈C〉伝統的な(由緒ある)行事
classical	古典の;古典時代の;古典様式の / (文学・芸術において)古典主義の(簡潔で調和を保ち洗練されているのが特徴) / (ジャズ・フォークなどに対して主として20世紀初頭までの)古典派の / (新奇な・実験的なものではなく)伝統的な,正統的な / (専門科目に対して)教養科目の
classicism	《時にC-》古典主義(古代ギリシア・ローマ時代の芸術・文学の基盤であった簡潔・調和・均整・威厳などを尊ぶ立場) / 古典主義への傾倒(信奉),擬古主義
classicist	(文学・芸術における)古典主義者;古典学者
classification	〈U〉〈C〉分類[作業];分類法;分類結果 / 〈U〉(生物学上の)分類
classified	分類された / 《米》機密扱いの
classified advertisement	(新聞・雑誌などの)項目別案内広告
classify	(…に)…を『分類する』,類別する,等級別にする《+『名』+『into』+『名』》 / 《米》〈文書類など〉を機密扱いにする
classless	(社会が)階級制度のない / (人が)特定の社会階級に属さない
classmate	『級友』,同級生
classroom	『クラスルーム』,教室
classy	かっこいい,上等な・すてきな・高級な、しゃれた、いきな・シックな、貴族的な
clastic	(地質が)砕屑(さいせつ)性の
clatter	(堅いものがぶつかり合うときの)『ガチャガチャ』(『ガタガタ』)『という音』 / うるさい騒動 / うるさいおしゃべり / ガチャガチャ(ガタガタ)音を立てる,ガチャガチャ(ガタガタ)音を立てて動く / うるさくしゃべりまくる / …をガチャガチャ(ガタガタ)いわせる
clause	(文法で)『節』(文の一部で「主語+述語動詞」の構造を持っている語の集まり) / (条約・法律などの)『箇条』,条項
claustrophobia	密室恐怖症,閉鎖恐怖症
claustrophobic	密室(閉鎖)恐怖症の
clave	〈C〉クラーベ(打楽器) / 拍子リズムパターン / {動}cleave の過去形(文語)
clavichord	クラビコード(ピアノの前身であるけん盤楽器)
clavicle	鎖骨
clavier	(ピアノ・オルガンの)けん盤 / けん盤楽器
claw	(鳥・動物の足の)『かぎづめ』;かぎづめのある足 / (エビ・カニなどの)はさみ / かぎづめの形をした物(くぎ抜きなど) / …をかぎづめでひっかく(引き裂く) / …をかぎづめでひっかいて作る
claw[-end] hammer	金づち兼用のくぎ抜き
clay	『粘土』;泥土 / (聖書で,人間の肉体が造られているとされる)土
clay pigeon	クレー(クレー射撃競技の的に用いる素焼きの小皿)
clayey	粘土の,粘土質の
claymore	16世紀スコットランド高地人が用いた両手で使う両刃の剣
cld.	called / cleared
clean	『汚れのない』,『清潔な』 / 使っていない / 不純物がはいっていない,純粋な(pure) / 清らかな,潔白な / ゆがみのない,すっきりした / 公正な(fair),規則に従った / 空白の;書き入れてない / 完全な,全くの / 鮮やかな,みごとな / 放射能のない / 完全に,全く,すっかり(completely, entirely) / きれいに / …を『きれいにする』 / …を取り片付ける / 〈肉・魚・野菜など〉を下ごしらえをする / きれいになる;きれいにする / ふき取り掃除
clean energy	無公害エネルギー
clean room	無菌室,清浄室
clean up one's act	行動を改める、行いを改める、行いを清算する、更正する、行いを正す、改めるべき点を改める、改心する、心を入れ替える、振る舞いを変える、まともになる
clean-cut	輪郭がはっきりした / 小ざっぱりとした,きちんとした / 明確な
clean-limbed	(特に若者が)すらりとした,均整のとれた
clean-shaven	きれいにひげを剃(そ)った
cleaner	掃除機 / (また『cleaner's』)クリーニング屋(店) / クリーニングする人;清掃作業員 / 洗剤
cleaning	きれいにすること,掃除;クリーニング
cleaning woman	掃除婦
cleanliness	きれい好き;清潔
cleanly	きれい好きな;清潔な / 『きれいに』,清潔に / 『清らかに』,汚れなく / 全く,すっかり
