capsize	〈特にボート・船が〉転覆する / 〈特にボート・船〉を転覆させる
caravan	『隊商』,(巡礼者などの)旅人隊;(移住民などの)車馬隊 / (ジプシーの)ほろ馬車;(サーカス団の)運搬車;《英》(自動車で引く旅行用の)トレーラー(=trailer )
caravanning	(特に休暇中の)トレーラー旅行
caravansary, caravanserai	隊商宿(特に中近東の大きな中庭のある宿) / 大旅館,大ホテル
caravel	(16世紀ごろのスペイン・ポルトガルの)三本マストの軽帆船
caraway	ヒメウイキョウ(セリ科の植物;実は食用・薬用)
carbide	カーバイド,炭化カルシウム
carbine	騎兵銃,カービン銃
carbineer	(昔の)騎銃兵,カービン兵
carbohydrate	炭水化物,含水炭素
carbolated	石炭酸を含む
carbolic	石炭酸の
carbolic acid	石炭酸
carbon	『炭素』(化学記号は『C』) / 〈C〉炭素棒 / 〈C〉《時に〈U〉》=carbon paper
carbon black	炭素の微粉末,すす(印刷用の黒色インクなどの原料)
carbon copy	カーボン紙による写し(《略》『CC,C.C.』)
carbon date	(含有炭素の放射能測定により)…の年代を測定する
carbon dating	炭素測定法(炭素の含有量による考古学的発掘物の年代測定法)
carbon dioxide	二酸化炭素,炭酸ガス
carbon monoxide	一酸化炭素
carbon paper	カーボン紙
carbon tetrachloride	四塩化炭素(不燃性・揮発性の有毒液体で,消火液や洗浄液などに用いられる)
carbonaceous	炭素質の;炭素を含む
carbonate	炭酸塩 / …を炭酸塩化する,炭酸で飽和させる / …を炭化させる
carbonated	炭酸ガスを含む
carbonated water	炭酸水
carbonation	(特に飲料の)炭酸ガス飽和
carbonic acid	炭酸
carbonize,carbonise	…を炭化する,炭にする / …に炭素を含ませる
carborundum	炭化ケイ素(炭素から作る硬い物質で,研磨剤;商標名)
carboy	耐酸びん(硫酸などを入れる大型のガラスびん)
carbuncle	癰(よう),疔(ちょう)(悪性の吹き出物) / ざくろ石;《古》紅色の宝石(紅玉など)
carburetor,carburettor	(ガソリン機関などの)気化器,キャブレター
carburize,carburise	…を炭素と結合させる
carcass	(けものの)死体;(殺したけものの胴体) / 《話》《軽べつして》(人の)死体;人体 / 《話》《軽べつして》(焼け残った家屋・船などの)骨組み;(一般に)残がい
carcinogen	発がん物質,発がん因子
carcinoma	がん,がん腫
card	『カード』(長方形の厚紙);招待状,名刺,入場券 / =post card / (カードゲームの)礼(playing card) / 《複数形で》《単数扱い》カードゲーム / 《話》おもしろい人;(…の特徴をもつ)人物,やつ / 《米話》(スポーツ試合などの)好い組み合わせ;好番組 / すきばけ,すきぐし;けばを立てる機械 / 〈羊毛・麻など〉をすく;〈布〉にけばを立てる / 厚紙(ボール紙)でできた
card shark	トランプのゲームで素人をカモにして金を巻き上げるプロまたは詐欺師
card vote	カード投票(労働組合の投票で各代表が所属会員数と同じ票数を持つ)
card-carrying	会員証を持っている,(団体に)正式に所属している
cardamom	カルダモン,その実(熱帯アジア産の植物;実は香辛料や薬用)
cardboard	厚紙,ボール紙
cardiac	心臓の
cardigan	カーディガン
cardinal	『基本的な』;主要な / 深紅(しんこう)色の / 〈C〉枢機卿(教皇の最高顧問;その数は70人で深紅色の衣装をまとう) / 〈U〉深紅色 / 〈C〉=cardinal number / (また『cardinal bird』)〈C〉(北米産の)ショウジョウコウカンチョウ
cardinal flower	ベニバナサワギキョウ(赤い花をつける北米産の植物)
cardinal number	基数(1,2,3…などの数)
cardinal point	基本方位(東・西・南・北)
cardinalate	《集合的に》枢機卿 / 枢機卿の職(権威,地位)
cardiogram	心電図
cardiograph	心電計
cardiology	心臓学(心臓の機能や疾患を研究する学問)
cardiopulmonary	心臓や肺の(のための)
cardiovascular	心臓と血管の(に影響する)
cardpunch	(電子計算機に入れる情報の)カード穿孔機
cardsharp	カードのいかさま師
care	〈U〉『心配』,気がかり,悩み / 〈C〉《しばしば複数形で》心配事,苦労の種 / 〈U〉『細心の注意』,十二分の用心 / 〈U〉(…の)『世話』,監督,保護《+『for(of)+名』》 / 〈C〉関心事,気を配るべきこと / 『気にする』,心配する,関心がある / …『したいと思う』,欲する,好む
careen	〈船・車などが〉一方に傾く;傾いて(横ゆれしながら)走る / (船底の修理・清掃のために)〈船〉を傾ける;〈傾けた船底〉を修理(清掃)する / 〈風・波が〉〈船〉を傾ける
career	〈C〉『生涯』,(一生の)経歴 / 〈C〉(特に専門的訓練を要する)『職業』 / 〈U〉進展,進行;速力;疾走 / 疾走する,全速力で走る / 職業としての,プロの
careerism	立身出世主義
careerist	職業人 / 《軽べつして》立身出世主義者
carefree	心配のない,のんきな
careful	(人が)『注意深い』,慎重な,気をつける / 《補語にのみ用いて》(…を)『たいせつにする』,気にかける《+『of』+『名』(『wh-節』)》 / 《名詞の前にのみ用いて》(仕事などが)『入念な』,綿密な
carefully	『注意深く』,気をつけて
carefulness	注意深いこと
careless	(人が)『不注意な』,軽率な / 《補語にのみ用いて》(…に)『無とんじゃくな』,無関心な,(…を)気にしない《+『of』+『名』(『wh-節』)》 / 《名詞の前にのみ用いて》(仕事などが)『不注意な』,不用意な
carelessly	不注意に,うっかり
carelessness	不注意,軽率,うかつ
