cherubic	ケルビムの[ような],天使のような / 丸ぽちゃでかわいらしい
child	(おとなに対して)『子供』,幼児,児童;(小学・中学・高校の)児童 / (親に対して)子,子孫;息子,娘 / (ある環鏡・時代の)影響を受けて生まれた人,(…の)申し子《+『of』+『名』》 / (頭脳・空想などが)産み出したものの,所産《+『of』+『名』》
child labor, child labour	(工場などの)幼年労働
child prodigy	=infant prodigy
child's play	子供の遊びのようにたやすいこと,非常に容易なこと,児戯
childbearing	〈U〉出産 / 妊娠・出産すること
childbirth	出産,分べん
childhood	『幼時』,子供時代
childish	『子供の』;子供らしい / 『幼稚な』
childless	子供のない
childlike	(よい意味で)子供らしい,あどけない
childproof	子供が扱っても壊れない(危険がない)
children	childの複数形
children of Israel	ヘブライ人,ユダヤ人
chili con carne	チリコンカルネ(肉・豆・野菜を煮込んだからし入りメキシコ料理)
chili sauce	チリソース(トマトととうがらしなどを煮つめて作ったソース)
chili,chile,chilli	〈U〉〈C〉チリとうがらし / 〈C〉チリとうがらしを入れた料理(例: chili con carne)
chill	『寒気』,冷気・冷たさ / 『寒さ』,悪寒 / 興ざめ,いや気,失意 / …を『冷やす』 / …を『ぞっとさせる』,に寒けを覚えさせる / 〈興味・意気込み〉をくじく,そぐ / 冷える,寒けを覚える / 『冷たい』,ひんやりする;寒けのする / 『冷淡な』,よそよそしい
chill factor	=wind chill
chiller	冷却装置 / 《話》ぞっとする話
chilliness	冷気;寒け
chilly	『冷え冷えする』,うすら寒い / 冷淡な,よそよそしい
chimaera	=chimera
chime	《複数形で》(一組の)『鐘』(さまざまな音階の音を組み合わせた鐘楼の鐘,玄関のチャイムなど) / 《複数形で》チャイム(鐘の組み合わせによる楽器) / 〈C〉チャイムによる音(音楽);チャイムを鳴らしたような音 / 〈U〉〈C〉《文》調和,一致 / 〈鐘・チャイム〉を『鳴らす』 / …を鐘を鳴らして告げる / …を声をそろえて言う / 〈鐘・チャイムが〉鳴る / (…と)調和する《+『with』+『名』》
chimer	鐘を鳴らす人
chimera	《C-》キメラ(ライオンの頭とヤギの体と竜または蛇の尾を持つギリシア神話の動物) / 〈C〉(一般に想像上の)怪物,奇怪な幻想
chimeric,chimerical	空想的な,妄想の
chimney	『煙突』 / (ランプの)ほや / 煙突食の物;(火山の)噴煙口;(岩面の)直立裂孔(煙突を二つに割ったような裂け目)
chimney corner	炉辺 / 炉すみ(昔ふうの大きな炉の壁ぎわの居こごちのよい座席)
chimneybreast	炉胸(暖炉の部屋に突き出た部分)
chimneypiece	=mantelpiece
chimneypot	煙突の先につけた通風管
chimneystack	合わせ煙突(chimney potを数本まとめた煙出し);(工場などの)大煙突
chimneysweep	煙突そうじ夫
chimp	=chimpanzee
chimpanzee	黒ショウジョウ,チンパンジー
chin	『あご』(下あごの先端) / (鉄棒で)懸垂をする
chin-up	(鉄棒の)懸垂(けんすい)[の動作]
chin-wagging	=chinwag
china	『磁器』(porcelain) / (また『chinaware』)《集合的に》『陶磁器』,瀬戸物
china clay	陶土,白陶土
china shop	陶磁器店,瀬戸物店
