cay	〈C〉小さな砂洲 / サンゴ礁島
center, centre	《通例the center, the centre》(…の)『中心』,中央,中核《+『of』+『名』》 / (…の)『中心地』,中心施設《+『of』+『名』》 / (興味・感情などが)集中する所《+『of』+『名』》 / (スポーツなどで守備位置の)センター,中堅 / 《しばしばthe Center, the Centre》中道派(the Left(左派),the Right(右波)に対する) / …を『中心に置く』 / (…に)…を集中する《+『名』+『on』+『名』》 / (…に)『集中する』,《+『on』(『about』,『around』,『round』)+『名』》
centerboard,centreboard	センターボード(船底に取り付けた安定板)
centered	中軸(中心)を持つ
centerfield	(野球で)センター,中堅
centerfielder	(野球で)センター,中堅手
centerfold	(雑誌などの)2ページ見開き,折込みページ
centerforward,centreforward	(フットボールの)センターフォワード
centerpiece,centrepiece	テーブルの中央飾り(銀器・ガラス器・レース・花など)
centesimal	100分の1の / 100分法の,100進法の
centiare	1平方メートル
centigrade	100分度の,100度目盛りの / 摂氏の(Celsius)(《略》C.)
centigram,centigramme	センチグラム(1/100グラム;《略》cg.)
centiliter,centilitre	センチリットル(1/100リットル;《略》cl.)
centime	〈C〉サンチーム(1フランまたは1ユーロの100分の1)《仏》
centimeter gram second	cgs単位制の
centimeter,centimetre	センチメートル(1/100メートル;《略》cm.)
centipede	ムカデ
central	『中心の』,中央の,中心からの / 『主要な』,中心的な(main) / (音声が)中舌音の / 電話交換局(《英》[telephone]exchange)
central city	(大都市圏の)中心都市
central heating	集中暖房装置
central nervous system	中枢神経系統
centralism	中央集権制,中央集権主義
centrality	中心の位置(状態)
centralization,cantralisation	(…を)集中すること,(…の)集中化,中央集権《+『of』+『名』》
centralize,centralise	…を中心に集める,一点に集中する;…を中央集権化する
centrally	中心に,中央に
centre	=center
centrifuge	遠心分離機
centripetal	中心に向かう,求心性の,求心力による
centrist	中道派議員 / 中道派の
centurion	(古代ローマの軍隊の)百人隊の隊長
