crabgrass	オイシバ(ヒメシバ属)の草
crawly	=creepy
crayfish	ザリガニ;(オーストラリア産)大えび
crayon	クレヨン;クレヨン画 / 〈絵〉をクレヨンで描く
craze	(…で)〈人〉の気を狂わせる《+『名』+『by』(with)+『名』(do『ing』)》 / (…に対する)一時的な熱中(流行)《+『for』+『名』》
crazily	狂気のように / 夢中になって
craziness	狂気,途方もないこと / 熱狂,夢中
crazy	『狂気の』,気違いの / (物事が)『途方もない』,実行不可能な / 《補語にのみ用いて》『熱中している』,夢中の
crazy bone	=funny bone
crazy paving	不ぞろいな石を敷きつめた歩道
crazy quilt	寄せ切れの掛ぶとん
creak	キーキー鳴る,きしる / キーキーという音
creakily	きしって,キーキー(ギシギシ)音をたてて
creakiness	きしむこと,キーキー(ギシギシ)鳴ること
creaky	(戸や階段などが)キーキー鳴る,きしる
cream	〈U〉『クリーム』(牛乳の上部に溜まる脂肪分) / 〈C〉〈U〉『クリーム菓子』,クリーム製食品,クリーム状の食品 / 〈C〉〈U〉『化粧クリーム』;クリーム状の薬品 / 《the cream》(…の)最上の部分,真髄,粋《+『of』+『名』》 / 〈U〉クリーム色 / 〈牛乳〉からクリームをとる / …をクリーム状にする / 〈野菜・乳〉をクリーム(または牛乳)で煮る
cream cheese	クリームチーズ(未発酵の乳牛か生クリームから作ったなめらかなチーズ)
cream horn	クリームホーン(中にクリームをつめて角(つの)形に焼いた菓子)
cream of tartar	酒石英(しゅせきえい)(ふくらし粉の成分)
cream puff	シュークリーム、意気地なし、女々しい男、ホモ野郎、弱虫、新品同様の中古車
cream soda	クリームソーダ(バニラの風味をつけた炭酸飲料)
creamer	クリーム入れ
creamery	酪農品製造所 / 酪農品販売店
creaminess	クリーム状(クリーム色)であること
creampuff	シュークリーム / めめしいやつ
creamy	クリーム状の / クリームを含んだ
crease	(ズボンの)折り目;(紙・布・服などの)しわ / 〈ズボン〉に折り目をつける;…をしわにする / (…で)〈人〉を大笑いさせる《+『名』+『with』+『名』》 / 折り目がつく;しわがよる
