caress	…を愛撫(あいぶ)する,抱き締める,やさしくなでる / やさしい愛撫(キス)
carryon	(手荷物が)機内に持ち込める / 機内持込み手荷物
carryout	(食堂で)お持ち帰り料理 / (料理が)お持ち帰り用の
carryover	後まで持ち越したもの,なごり / (簿記で,次ページ・次期への)繰越し[額]
carsick	乗物に酔った
cart	(1頭立ての)『二輪車』,荷馬車,荷車 / 手押し車 / …を積んで運ぶ / (苦労して)〈物〉をかかえて運ぶ / 《話》…を引きずっていく《+『名』+『off』,+『off』+『名』》
cart track	細いでこぼこ道
cartage	荷車(馬車)による運搬[料金]
carte blanche	白紙委任(状);自由裁量
cartel	カルテル,企業連合 / (交戦国間の)捕虜交換協定書 / (政党が共通の目的のために結ぶ)党派連合 / (決闘の)挑戦状,果たし状
carter	荷馬車を引く人
carthorse	荷馬車用の馬
cartilage	軟骨[組織]
cartilaginous	軟骨の
cartload	荷車(馬車)一台分の荷
cartographer	地図製作者
cartography	地図製作[法]
carton	カートン,段ボールの箱;カートン1杯(の…)《+『of』+『名』》
cartoon	(政治的な)風刺漫画・(モザイク・壁掛け・壁画などの)実物大の下絵・ / (一続きの)漫画・…を漫画化する・(1枚の時事)風刺漫画・アニメ映画,動画(animated cartoon)・(新聞などの)続き漫画・(壁画などの)実物大下絵・漫画を描く
cartoonist	風刺漫画家 / 下絵師
cartridge	弾薬筒,薬包 / (インク・フィルム・レコード用針など差し換えができる)カートリッジ,(録音・録画テープの)カセット
cartridge paper	カートリッジ紙(薬莢(やっきょう)紙包・画用紙などに用いる)
cartwheel	荷(馬)車の車輪 / 横とんぼ返り
carve	…を『刻んで作る』,彫る,彫刻する / (食べやすいように)〈肉〉を切り分ける / 肉を切り分ける
carver	彫刻する人 / 肉を切り分ける人 / =carving knife
carving	〈U〉彫刻・彫刻術 / 〈C〉彫り物,彫刻品
carving fork	肉切り用大型フォーク
carving knife	肉切り用大ナイフ
carwash	洗車場
