chamber pot	(寝室用)便器 おまる
character	〈U〉〈C〉(人の)『性格』,人格 / 〈C〉(物事が持っている)特質,特性 / 〈C〉《まれ》評判,名声 / 〈C〉《修飾語を伴って》(…の)人物;(小説・劇などの)『登場人物』 / 《話》(一般に)人 / 〈U〉《one's(the)~》(…の)資格,地位,身分《+『of』+『名』》 / 〈C〉《話》変わり者 / 〈C〉(意味を表す)文字,記号,字体
characteristic	『特有の』,独特の / 『特性』,特色,特徴
characteristically	特徴的に,独特な方法で;特色として
characterization,characterisation	性格描写 / 特性(特質)を表すこと,特徴づけ
characterize,characterise	…の特性を示す,を特色づける,の特徴をなす / (…であると)〈人など〉の特徴を述べる《+『名』+『as』+『形』》
characterless	特徴のない,平凡な
charactery	文字,記号
charades	ジェスチャー遊び
charbroil	〈食物〉を炭火で焼く / 炭火で焼く
charcoal	〈U〉『炭』,木炭;〈C〉木炭鉛筆 / (また『charcoal drawing』)〈C〉木炭画
charcoal burner	木炭ストーブ,火ばち / 炭焼き人
chard	〈C〉フダンソウ(大きな根と葉を持つ食用植物) / 〈U〉(食用の)その葉と茎
charge	〈C〉(…の)『費用』;料金,請求代金《+『for』+『名』(do『ing』)》 / 〈U〉(…の)『監督』,管理,保護,世話《+『of』+『名』》;〈C〉監督(保護)される人(物) / 〈C〉(…に対する)『非難』,告発,告訴《+『against』+『名』》 / 〈C〉突撃;突撃の合図 / 〈U〉〈C〉(弾薬などの)装てん,装薬;充電《+『of』+『名』》 / 〈C〉(…の)命令,訓令《+『of』+『名』》 / 〈C〉責任,義務 / 〈料金・支払い〉を〈人〉に『請求する』,〈税など〉を課する / 〈買物など〉を『つけにする』,掛け売りにする / (…を)〈物・容器〉に詰める,入れる(fill)《+『名』+『with』+『名』》 / …を『非難する』,責める(blame),告訴する(accuse) / (義務・仕事・責任などを)〈人〉にゆだねる,委託する《+『名』+『with』+『名』》 / 《『charge』+『名』+『to』 do》(…するように)〈人〉に命ずる,訓示する / …に突進する / (…の)値をいう,支払いを請求する《+『for』+『名』》 / (…に)突撃する,突進する《+『at』(『on』)+『名』》
charge account	売り掛け金勘定(《英》credit account)
charge card	クレジットカード
charge sheet	(警察署の)犯罪者名簿
chargeable	責任(罪など)を負わねばならない;(…を)負う《+『with』+『名』》 / 《補語にのみ用いて》(負担・費用などが)(…に)負わされる《+『on』+『名』》
charged	強く気持ちを動かされた / 人の気持ちを強く動かす,論争を巻き起こす
charger	突撃者 / 《文》軍馬,将校乗馬 / 充電器 / (肉を盛る)大皿
chargé d'affaires	代理大使,代理公使
charily	用心深く / 惜しそうに
chariot	(古代の)一人乗り軽二輪戦車(通例2頭立てで,御者は立って操縦し,戦い・競走・狩猟などに用いた)
charioteer	chariotを駆る人(御者)
charisma	人を引きつける非凡な能力(影響力),教祖的な力
charismatic	人を引きつける非凡な能力(影響力)のある,教祖的力のある
charitable	慈悲深い,情け深い;(…に対して)慈悲深い《+『to』+『名』》 / 慈善の,慈善のための / 寛大な,寛容な
charitably	慈悲深く / 寛大に
charity	〈U〉『博愛』,慈愛,思いやり;(キリスト教の)愛 / 〈U〉『慈善』,施し;〈C〉施し物,寄付 / 〈C〉《通例複数形で》慈善事業,慈善施設 / 〈U〉(他人の言動に対する)寛容
charity school	(昔の)慈善学校,貧民学校
charlady	=charwoman
charlatan	大ぼら吹き,山師
charlock	ノハラガシ(黄色い花の咲くアブラナ属の植物)
charlotte	シャルロット(りんごなどの果実を入れたプディング)
charlotte russe	シャルロットルース(カステラの中にカスタードや牛クリームを入れたデザート用菓子)
charm	〈U〉〈C〉(人の心を引きつける)『魅力』;《複数形で》女の魅力 / 〈C〉(…よけの)『まじない』,じゅ文,お守り《+『against』+『名』》 / 〈C〉(時計の鎖などにつける)小さな飾り物 / 《しばしば受動態で》…を『魅惑する』,うっとりさせる(fascinate),喜ばせる / …に魔法をかける(bewitch);…を魔法をかけたようにする
charmer	魔術師;蛇使い / 魅力的な人;美女
charming	『魅力的な』,美しい;楽しい
charnel	納骨堂
