clock tower	時計塔;《the Clock Tower》(英国国会議事堂の)時計塔
closed shop	クローズドショップ(労働組合員のみを雇う工場・会社)
closed syllable	(音声で)閉音節(子音で終わる音節:例candyのcan-)
closed-door	(報道関係者・部外者などを)締め出した;非公開の
closedown	(工場・商店などの)閉鎖,操業中止 / 《英》放送終了
closefisted	しみったれた,けちな
closefitting	体にぴったり合う
closely	『ぴったりと』,きっちりと / 『詳しく』,精密に / 近く,接近して / 密接に,仲よく / ひそかに,内密に
closely-knit	=close-knit
closemouthed	=close-lipped
closeness	接近,近似 / 親密さ / 厳密,精密
closeout	蔵払い,投げ売り
closet	《おもに米》(衣類・食料などを入れる)『戸棚』,物置き,納戸(なんど) / 《まれ》(一般に読書・打ち合わせ,特に祈り・瞑想に用いる)小室,小部屋 / 《古》便所 / …を私室に閉じ込める / 私室で使う(楽しむ)のにふさわしい
closing	閉じる,終りの / 〈U〉閉じること,閉鎖 / 〈C〉〈U〉終了,締め切り;決算
closing price	株式の終り値,引け値
closing time	(特にパブの)閉店時刻
closure	〈U〉閉鎖;閉店,休業 / 〈U〉終止,終局 / 〈C〉《英》=cloture(議会の閉会)
clot	ゼリー状の固まり / 〈血液・ミルクなどが〉凝固する / …を凝固させる
cloth	〈U〉『布』,生地,織物 / 〈C〉(特定の用途に応じる大きさの)『布地』;(特に)テーブル掛け(table cloth),ふきん(dishcloth),ぞうきん(duster) / 〈U〉布表紙,クロース / 〈U〉ラシャ / 〈C〉黒の聖服;《文》《the~》聖職
clothe	…に衣服を着せる / …に衣服を与える / 《文》…をすっかりおおう,一面におおう / 《文》(権力・資格などを)〈人〉に付与する《+『名』+『with』+『名』》
clothes	『衣服』,着物 / (シーツ・毛布など)寝具,夜具(bedclothes)
clothes brush	洋服ブラシ
clothes hanger	=hanger1
clothes peg	=clothespin
clothes tree	コート(帽子)掛け
clothesbasket	洗濯物入れ
clotheshorse	干し物掛け,衣桁(いこう) / 《米話》いつも流行の服を着ている人
clothesline	物干し綱
clothespin	洗濯ばさみ(《英》clothes peg)
clothespress	洋服だんす
clothier	服地(生地)屋(人),毛織物商;服屋,(特に)紳士服仕立て屋(小売商)
clothing	『衣類』,衣料品
clotted cream	固形クリーム(牛乳を徐々に熱して作る)
cloture	(議会で投票前の)討論終結
cloud	『雲』 / (…の)『雲状のもの』《+『of』+『名』》 / (昆虫・鳥・飛行機などの)大群,大集団《+『of』+『名』》 / (疑惑・苦悩などの)暗い影《+『of』+『名』》 / (鏡・ガラスなどの)くもり / 〈煙などが〉…を『曇らせる』 / 〈事件などが〉…に暗い影を投げかける,を汚す / 〈物・事が〉〈心・頭など〉をぼんやりさせる,混乱させる / 〈空・ガラスなどが〉『曇る』《+『over』(『up』)》 / (悩み・心配などで)〈顔などが〉曇る,暗くなる《+『over』 『with』+『名』》
cloud nine	天にも昇る心地, 意気揚々
cloud-capped	(山・丘など)頂上が雲に包まれた
cloud-cuckoo land	夢想(理想)郷
cloudbank	下層雲の厚いかたまり
cloudburst	(突然の)穀雨,どしゃ降り
cloudily	曇って,暗く
cloudiness	曇り,曇天;(気象用語で)雲量 / もうろう;陰うつ
cloudless	雲のない,晴れわたった
cloudlet	小さな雲
cloudy	(空などが)『曇った』 / (煙などが)雲のような;(川・水などが)濁った;(大理石などが)曇りのうる / (言葉などが)はっきりしない;(心などが)曇った,陰うつな
clout	〈C〉《話》手でなぐること / 〈U〉《米話》政治的影響力,実力 / …を手でなぐる
clove	チョウジの木(熱帯産の常緑高木) / チョウジの干したつぼみ(香料用) / 小球根,小鱗茎(ユリ・ニンニクなどの親球根から派生した小さな球根) / cleaveの過去形
clove hitch	とっくり結び,巻き結び
cloven	cleaveの過去分詞
cloven hoof	分趾蹄(ぶんしてい)(牛などの割れたひづめ)
clover	『クローバー』,ツメクサ
cloverleaf	クローバーの葉 / 四つ葉のクローバー型の立体交差路
clown	(サーカスなどの)道化,道化役[者] / (集団の中の)おどけ者 / 道化役をする,おどける
clownish	おどけ者めいた,こっけいな
cloy	〈ごちそう・ぜいたくなどが〉〈人・食欲など〉をあきあきさせる,うんざりさせる / 〈ごちそう・ぜいたくなどが〉あきがくる
club	『こん棒』 / (ゴルフなどの)『クラブ』,打球棒 / (社交・スポーツなどの)『クラブ』,同好会;クラブ室,クラブ会館 / (カードで)クラブのマーク;クラブの札;《複数形で》《単数・複数扱い》クラブの組 / ナイトクラブ / …をこん棒でなぐる
club chair	(一種の)安楽いす
club sandwich	クラブサンドイッチ(3枚重ねのパンの間につめ物をした米国風サンドイッチ)
club soda	soda water
club steak	クラブステーキ(牛の肋骨寄りの腰肉のステーキ)
clubbable	会員になれる,会員として気に入られる
clubfoot	内反足,えび足 / 〈U〉内反足である状態
clubfooted	内反足の,えび足の
clubhouse	クラブ会館(会員の社交・集会などに用いる;食事・宿泊もできる)
cluck	コッコッ(めんどりの鳴き声) / 〈めんどりが〉コッコッと鳴く
