Capricorn	摩羯(まかつ)宮(天宮の12区分の第10宮) / (星座の)山羊(やぎ)座
Ce	ceriumの化学記号
Celebes	セレベス島(Sulawesi島の旧名で,インドネシア共和国に属す)
Cellular	細胞の,細胞質の,細胞状の / 小室(小区画)のある / (生地など)目の透いている
Celsius	摂氏の(centigrade)
Celt	〈C〉ケルト人 / 《the Celts》ケルト族(アーリア族の一派;現在はアイルランド,ウェールズ,スコットランドに残存)
Celtic	ケルト人(族)の;ケルト語の / ケルト語
Cenozoic	(地質時代の)新生代の / 新生代
Central African Empire	中央アフリカ帝国
Central America	中央アメリカ(北米大陸の南端でメキシコと南米の間の地域)
Central Asia	中央アジア
Central Daylight Time	(米国の)中央夏時間(日本との時差14時間;《略》CDT,C.D.T.)
Central Standard Time	(米国の)中央標準時(日本との時差15時間;《略》CST,C.S.T)
Central park	セントラルパーク(ニューヨーク市の中心部にある公園)
Centrifugal	中心から外に向かう,遠心性の,遠心力による
Cerberus	ケルベロス(ギリシア・ローマ神話の地獄の門の頭が3つある番犬)
Ceres	ケレース(ローマ神話の穀物の女神;ギリシア神話のDemeterにあたる)
Cervantes	セルバンテス(『Miguel de Cervantes』;1547‐1616;スペインの小説家で「ドンキホーテ」Don Quixoteが代表作)
Cesarean section	=Caesarean section
Ceylon	セイロン(インド南端の島;スリランカ(Sri Lanka)共和国)
Ceylonese	セイロン[島]の / セイロン島[人]
Cf	californiumの化学記号
Ch.,ch.	chapter / church
Chablis	シャブリワイン(フランス産の辛口白ぶどう酒)
Chad	チャド(アフリカ中西部の共和国)
Chairlift	[チェア]リフト(スキーヤーを運ぶためにいすをつるしたケーブル)
Chanc.	Chancellor / Chancery
Channel Islands	チャンネル諸島(イギリス海峡にある英領の諸島)
Chanukah	=Hanukkah
Chap.,chap.	chapter (章)
Charleston	チャールストン(1920年代にはやった活発な踊り)
Charon	カロン(ギリシア神話の冥土(めいど)の川(Styx)の渡し守)
Charybdis	カリブディス(Sicily島沖のうず巻きを擬人化したギリシア神話の怪物)
Chaucer	チョーサー(『Geoffrey』~;1340?‐1400;英詩の父といわれる詩人;The Canterbury Talesの作者)
Cherokee	〈C〉チェロキー族(アメリカインディアンの一部族) / 〈U〉チェロキー語
Cheshire cat	チェシアキャット 《Lewis Carrollの著作「Alice's Adventures in Wonderland」 に出るにやにや笑う猫》
Cheyenne	〈U〉〈C〉シャイアン族[の人](アメリカインディアンの一部族) / シャイアン(米国Wyoming州の州都)
Chianti	キャンティ(イタリア産の辛口赤ぶどう酒)
Chicago	『シカゴ』(『I』Illinois州にある米国の大都市)
Chicano	メキシコ系米国人
Chief Executive	〈C〉最高経営責任者(CEO) / 行政長官
Chihuahua	チワワ犬(小型の愛がん犬)
Chile	チリ(南米太平洋岸の共和国;首都はSantiago)
Chilean	チリの;チリ人の / チリ人
Chin.	China / Chinese
China	『中国』(正式名『the People's Republic of China』中華人民共和国)
Chinatown	(サンフランシスコ・ニューヨークなどの)中国人街
Chinese	『中国の』;中国ふうの / 『中国人の』 / 『中国語の』 / 〈C〉『中国人』 / 〈U〉『中国語』
Chinese Wall	万里の長城
Chinese cabbage	白菜
Chinese ink	墨[汁]
Chinese lantern	ちょうちん
Chinese mushroom	シイタケ
Chinese puzzle	中国のむずかしい判じ物 / (一般に)むずかしいパズル,難問
Chink	《軽蔑して》中国人(差別的表現として使われる)
Chinook	チヌーク(アメリカ北西海岸に吹く暖かい湿った風;またはロッキー山脈の東側に吹く暖かいそよ風)
Chippendale	(優雅な)チッペンデール風家具[18世紀英国の家具師の名より] / (家具が)チッペンデール様式の;優雅な
Chopin	ショパン(『Frederic François~』;1810?‐49;ポーランドの作曲家・ピアニスト)
Chr.	Christ / Christian
Christ	『イエスキリスト』 / おや,何だって(驚き,怒りを表す下品な語) / 《no, yesの前において強意的に用いて》
Christendom	《古》全キリスト教国,キリスト教世界 / 《集合的に》キリスト教徒
Christian	『キリスト者』(教徒) / 《話》りっぱな人 / 『キリストの』;『キリスト教の』,キリスト教徒の / キリスト(キリスト教)を信じる / キリスト教徒にふさわしい / 《話》りっぱな
Christian Era	キリスト紀元,西暦紀元
Christian Science	クリスチャンサイエンス(キリスト教の一派;信仰の力で病気がなおると説く)
Christian Scientist	クリスチャンサイエンス教徒
Christian name	=first name
Christiania	クリスチャニア(スキーを平行にしたまま行う回転法)
Christianity	キリスト教 / 《集合的に》キリスト教徒
