cinquefoil	キジムシロ(バラ科の植物;ある種は五弁の葉を持つ)
city	〈C〉(特に行政権を持っている)『都市』,都会,規模の大きい町 / 〈C〉《米》市(州の公認を得た市議会を持つ行政区で一般にtown, villageよりも大きい) / 《the city》《集合的に》都市の[全]市民,全市 / 《the City》シティ(Londonの旧市街で商業・金融の中心地域)
city born	都会生まれの
city council	市議会,市会
city editor	〈C〉地方版編集長《米》 / 市内ニュース担当編集者
city father	市会議員
city hall	市庁舎,市役所 / 市当局
city manager	(公選によらず市会の任命する)市政管理者
city-state	(古代ギリシアのアテネなどの)都市国家(polis)
civ.	civil / civilian
civet	〈U〉麝香(じゃこう)(ジャコウネコから採る香水の原料) / 〈C〉(またcivet cat)ジャコウネコ
civic	市民の,市民としての / 都市の,市の
civics	公民学,公民科;市政学,市政論
civil	『市民の』,一般市民の;市民(公民)としての / (軍・教会に対して)民間の,世俗の / 国内に起こる;政府と国民との間の / 民法の,民事の / 『礼儀正しい』,ていねいな
civil defense	民間防衛(戦時・災害時における民間による組織的な防衛活動)
civil disobedience	市民的不服従(政令や法律に非暴力手段で抵抗すること)
civil engineer	土木技師
civil engineering	土木工学
civil law	民事法,民法 / ローマ法
civil liberty	(法的に個人に保証された)市民[として]の自由
civil list	(議会の承認を得た)年間王室費
civil marriage	民事婚(宗教的儀式によらず登記官吏の前で行う結婚)
civil rights	市民権,公民権(選挙権,言論の自由,法のもとでの平等など諸権利の総称)
civil servant	公務員
civil service	行政事務(立法・司法・防衛関係以外の公務)
civil war	〈C〉内戦 / 〈U〉内乱 / 《the Civil War》(米国の)南北戦争(1861‐65)(英国の)Charles1世と国会との戦争(1642‐49)
civilian	(軍人・警官・消防署員・聖職者に対して)一般市民,民間人,文民 / (比較変化なし)民間の,一般市民の / (武官に対して)文官の
civility	〈U〉礼儀正しさ,ていねい / 〈C〉ていねいな言葉,礼儀にかなった行為
civilization	〈U〉〈C〉(物質的・社会的・科学的・政治的に高度な)『文明』;(特定の地域・国民・時代に発達した)『文明』[様式] / 《集合的に》文明世界;文明人 / 〈U〉(…の)文明化,開化《+『of』+『名』》
civilize,civilise	(国の教育政策などで)〈個人・社会など〉を『文明化する』,教化する
