confiding	人を信じやすい
congeries	(物・思考の)集まり,集積
congest	(…で)〈道路・乗り物など〉を混雑させる,いっぱいにする《+『名』+『with』+『名』》 / …をうっ血(充血)させる / 混雑する,いっぱいになる;うっ血(充血)する
congested	(場所などが)込み合った,混雑した / うっ血(充血)した
congestion	(人・貨物などの)密集,充満;混雑,雑踏・うっ血,充血
congestive	うっ血(充血)の,うっ血(充血)性の
conglomerate	固まりになった;密集した / 礫岩(れきがん)の / 複合企業の / (いろいろな物の)集合体;丸いかたまり / 礫岩(径2mm以上の礫から成る岩石) / 複合企業 / …を集めて丸く固める / 丸く固まる
conglomeration	(物が集まって)丸く固まること;丸いかたまり;(雑多な物の)集まり,集塊
congrats	=congratulations
congratulate	(…に対して)〈人〉に『お祝いを言う』,喜びを述べる《+『名』+『on』(『upon』)+『名』(do『ing』)》
congratulation	《複数形で》(また『congrats』)(…に対する)『祝いの言葉』,祝辞《+『on』+『名』》 / 〈U〉『祝い』,祝賀
congratulatory	祝賀の
congregate	集合する / …を集める
congregation	〈U〉〈C〉(人・物の)集まり,集合;集まった人々 / 〈C〉《集合的に》(礼拝に集まる)会衆
congregational	集合の;会衆の / 《C-》組合教会制(主義)の
congress	〈C〉(代議員・委員による)『大会』,代議員会,会議 / 《C》《米》『国会』,議会(the Senate「上院」とthe House [of representatives]「下院」から成る)
congressional	会議の / 《米》国会の
congressman	国会議員,下院議員
congresswoman	婦人国会(下院)議員
congruence	一致,適合,調和 / (数学で,図形などの)合同
congruency	=congruence
congruent	(数字などが)符合する,(2図形が)合同の;(…と)一致している,ふさわしい《+『with』(『to』)+『名』》
congruity	〈U〉一致,適合[性],調和;〈C〉《通例複数形で》一致点 / 〈U〉(数学で,図形の)合同
congruous	=congruent
conic	円すい[形]の
conical	=conic
conifer	(松・モミなど球果をつける)球果植物,針葉樹
coniferous	球果を結ぶ,松かさをつける
conj.	conjugation / conjunction
conjectural	推測による,憶測の / 推測好きな
conjecture	〈U〉推測すること,憶測 / 〈C〉(…についての)推論,推量した意見《+『on』+『名』》;(…という)推論《+『that節』》 / (…について)推測する,推量する《+『about』+『名』(『wh-節』)》 / …を推測する,推量する
conjoin	…を結合(連合)させる / 結合する
conjoint	結合した / 共同の,連帯の
conjugal	夫婦の;婚姻上の,結婚の
conjugate	〈動詞〉を活用(変化)させる / 〈動詞が〉活用(変化)する / 〈単細胞生物が〉接合する / (特に対になって)結合した,接合の
conjugation	〈C〉(動詞の)活用,[語形]変化 / 〈U〉結合,連結 / 〈U〉(単細胞生物の)接合
conjunct	結合した
conjunction	〈C〉『接続詞』(and,but,for,sinceなど) / 《文》〈U〉〈C〉結合,連結;(事件などの)同時発生 / 〈U〉合(ごう)(二つ以上の天体が同じ黄経上にあること)
conjunctive	結合(接合)の,結合する / (文法で)接続[法]の / 接続詞;〈U〉接続法
conjuncture	(重大な危機をはらんだ)局面,場合;急場
conjure	…を魔法で出す(呼び出す)《+『up』+『名,』+『名』+『up』》 / (魔法をかけられたかのように)〈記憶など〉を思い起こす,呼び起こす《+『up』+『名,』+『名』+『up』》 / 《おもに文》…を懇願する;〈人〉に懇願する / 魔法を使う;手品(奇術)をする
conjurer, conjuror	魔法使い;手品師,奇術師
conk	〈人〉の頭をゴツンとやる / 鼻
conked-out	(機械などが)止まりかけた,だめになった
conker	トチの木の実 / 《複数形で》トチの実遊び(トチの実をひもに結びつけて相手の実を割るゲーム)
connect	〈2個の物〉を『連結する』,結びつける;(…と)…を結合する電話でつなぐ《+『名』+『with』(『to』)+『名』》 / 《受動態で》(…と)…を『関係させる』,親類関係にする《+『名』+『with』+『名』》 / (…で)…を連想する,結びつけて考える《+『名』+『with』+『名』》 / 〈物・事柄などが〉(…と)関連している,つながる《+『with』+『名』(『wh-節』)》 / 〈交通機関が〉(…と)連絡(接続)している《+『with』+『名』》
connected	連結した / 親戚(せき)関係の / 関係(連絡)のある
connecting rod	連結棒(特に内燃機関のピストンとクランク軸をつなぐ棒)
connection,connexion	〈C〉〈U〉(…と…との)『関係』,つながり《+『of』+『名』+『with』+『名』》,(…間の)関係《+『between』+『名』》 / 〈C〉〈U〉(…間の)(電車など交通機関の)『連絡』;(電話などの)接続《+『between』+『名』》 / 〈C〉連絡列車(船,飛行機,バス) / 〈C〉《複数形で》関係先,(宿売の)得意先,顧客 / 〈U〉親類関係;〈C〉親類,縁者;《複数形で》有名な知人,ひき
connective	結びつける,連結の,接続の / 連結辞(接続詞・関係代名詞など)
connector	(電気の)接続子,(電話の)接続器 / (一般に)連絡者;(列車の)連結手;連結物;(車両の)連結器
connexion	=connection
conning tower	(軍艦の)司令塔 / (潜水艦の)展望塔
conniption	ヒステリーの発作,かんしゃく
connivance	(悪事を)見逃すこと,黙認《+『at』(『in』)+『名』》
connive	(悪事などを)見逃す,黙認する,大目に見《+『at』+『名』》 / (…と)共謀する《+『with』+『名』》
connoisseur	(美術品などの)鑑定家,目利き
