caryatid	(ギリシア建築の)女像柱
cataclysmic	(社会的{しゃかいてき})大変動、激変{げきへん}、一大異変 地殻{ちかく}が激変{げきへん}する(くらいの) 大変動の,激変の
catacomb	地下墓地
catafalque	棺台 / 無蓋の霊柩(れいきゅう)車
catalepsy	強梗症(感覚喪失・硬直などのヒステリー症状)
cataleptic	強梗(硬)症の / 強梗(硬)症患者
catalog, catalogue	『目録』,カタログ,(大学などの)案内書,説明書 / …を目録に載せる,の目録を作る
cataloger	目録(カタログ)作製者
catalpa	キササゲ類の植物(北米・アジア産)
catalysis	(化学反応の)触媒現象,触媒作用
catalyst	触媒[剤]
catalytic	触媒[作用]の
catalytic converter	(有毒ガスなどを除く)触媒コンバーター
catamaran	(丸太を横に並べた)いかだ / 双胴船
catamount	ネコ科の野獣;オオヤマネコ,アメリカライオンなど
catapult	(古代の)石弓,投石器 / (航空母艦の)飛行機射出装置 / …を石弓(射出装置)で射出する
cataract	〈C〉大滝 / 〈C〉《複数形で》奔流 / 〈U〉〈C〉白内障,白そこひ
catarrh	カタル(特にかぜなどで鼻・のどなどの粘膜に起こる炎症)
catarrhal	カタル性の
catastrophe	(突然の)大変動,大災害 / 悲劇的結末,破局
catastrophic	悲劇的な,大異変の,破滅的な
catastrophically	悲劇的に,破滅的に
catatonia	緊張[型分裂]病(筋肉硬直や精神混迷を伴う)
catbird	ネコマネドリ(北米産のツグミの一種)
catboat	1本マストで1枚帆の帆船
catcall	(不満を表す)猫の声をまねたやじ,非難の口笛 / やじる
